accession,description
ERZ794801,"Antibiogram for study PRJEB21997, sample SAMEA104188740"
ERZ794820,"Antibiogram for study PRJEB21997, sample SAMEA104188759"
ERZ794850,"Antibiogram for study PRJEB14873, sample SAMEA4350784"
ERZ795323,"Antibiogram for study PRJEB25629, sample SAMEA5166663"
ERZ908651,"Antibiogram for study PRJDB7087, sample SAMD00126376"
ERZ908654,"Antibiogram for study PRJDB7087, sample SAMD00126469"
ERZ908657,"Antibiogram for study PRJDB7087, sample SAMD00126418"
ERZ908682,"Antibiogram for study PRJDB7087, sample SAMD00126398"
ERZ908687,"Antibiogram for study PRJDB7087, sample SAMD00126404"
ERZ908691,"Antibiogram for study PRJDB7087, sample SAMD00126386"
ERZ908693,"Antibiogram for study PRJDB7087, sample SAMD00126576"
ERZ908696,"Antibiogram for study PRJDB7087, sample SAMD00126566"
ERZ908729,"Antibiogram for study PRJDB7087, sample SAMD00126396"
ERZ908737,"Antibiogram for study PRJDB7087, sample SAMD00126364"
ERZ908745,"Antibiogram for study PRJDB7087, sample SAMD00126569"
ERZ908770,"Antibiogram for study PRJDB7087, sample SAMD00126434"
ERZ908781,"Antibiogram for study PRJDB7087, sample SAMD00126526"
ERZ908808,"Antibiogram for study PRJDB7087, sample SAMD00126448"
ERZ908822,"Antibiogram for study PRJDB7087, sample SAMD00126594"
ERZ908848,"Antibiogram for study PRJDB7087, sample SAMD00126416"
ERZ908853,"Antibiogram for study PRJDB7087, sample SAMD00126558"
ERZ908858,"Antibiogram for study PRJDB7087, sample SAMD00126482"
ERZ908876,"Antibiogram for study PRJDB7087, sample SAMD00126419"
ERZ908886,"Antibiogram for study PRJDB7087, sample SAMD00126537"
ERZ908890,"Antibiogram for study PRJDB7087, sample SAMD00126567"
ERZ794791,"Antibiogram for study PRJEB21997, sample SAMEA104188779"
ERZ794812,"Antibiogram for study PRJEB21997, sample SAMEA104188763"
ERZ794842,"Antibiogram for study PRJEB21997, sample SAMEA104188745"
ERZ794852,"Antibiogram for study PRJEB14873, sample SAMEA4350775"
ERZ794855,"Antibiogram for study PRJEB14873, sample SAMEA4350790"
ERZ908660,"Antibiogram for study PRJDB7087, sample SAMD00126479"
ERZ908678,"Antibiogram for study PRJDB7087, sample SAMD00126536"
ERZ908683,"Antibiogram for study PRJDB7087, sample SAMD00126382"
ERZ908686,"Antibiogram for study PRJDB7087, sample SAMD00126481"
ERZ908724,"Antibiogram for study PRJDB7087, sample SAMD00126460"
ERZ908725,"Antibiogram for study PRJDB7087, sample SAMD00126387"
ERZ908728,"Antibiogram for study PRJDB7087, sample SAMD00126496"
ERZ908748,"Antibiogram for study PRJDB7087, sample SAMD00126372"
ERZ908754,"Antibiogram for study PRJDB7087, sample SAMD00126440"
ERZ908759,"Antibiogram for study PRJDB7087, sample SAMD00126486"
ERZ908760,"Antibiogram for study PRJDB7087, sample SAMD00126379"
ERZ908776,"Antibiogram for study PRJDB7087, sample SAMD00126505"
ERZ908782,"Antibiogram for study PRJDB7087, sample SAMD00126454"
ERZ908798,"Antibiogram for study PRJDB7087, sample SAMD00126415"
ERZ908829,"Antibiogram for study PRJDB7087, sample SAMD00126532"
ERZ908874,"Antibiogram for study PRJDB7087, sample SAMD00126563"
ERZ908894,"Antibiogram for study PRJDB7087, sample SAMD00126451"
ERZ794737,"Antibiogram for study PRJEB21997, sample SAMEA104188735"
ERZ794747,"Antibiogram for study PRJEB21997, sample SAMEA104188727"
ERZ794758,"Antibiogram for study PRJEB21997, sample SAMEA104188725"
ERZ794759,"Antibiogram for study PRJEB21997, sample SAMEA104188749"
ERZ794765,"Antibiogram for study PRJEB21997, sample SAMEA104188792"
ERZ794774,"Antibiogram for study PRJEB21997, sample SAMEA104188709"
ERZ794780,"Antibiogram for study PRJEB21997, sample SAMEA104188748"
ERZ794802,"Antibiogram for study PRJEB21997, sample SAMEA104188733"
ERZ795321,"Antibiogram for study PRJEB25629, sample SAMEA5166661"
ERZ795326,"Antibiogram for study PRJEB25629, sample SAMEA5166666"
ERZ795327,"Antibiogram for study PRJEB25629, sample SAMEA5166667"
ERZ481723,"Antibiogram for study PRJNA292901, sample SAMN04014842"
ERZ794753,"Antibiogram for study PRJEB21997, sample SAMEA104188770"
ERZ794760,"Antibiogram for study PRJEB21997, sample SAMEA104188698"
ERZ794763,"Antibiogram for study PRJEB21997, sample SAMEA104188783"
ERZ794776,"Antibiogram for study PRJEB21997, sample SAMEA104188785"
ERZ794804,"Antibiogram for study PRJEB21997, sample SAMEA104188764"
ERZ794854,"Antibiogram for study PRJEB14873, sample SAMEA4350785"
ERZ908664,"Antibiogram for study PRJDB7087, sample SAMD00126429"
ERZ908666,"Antibiogram for study PRJDB7087, sample SAMD00126604"
ERZ908668,"Antibiogram for study PRJDB7087, sample SAMD00126409"
ERZ908680,"Antibiogram for study PRJDB7087, sample SAMD00126432"
ERZ908712,"Antibiogram for study PRJDB7087, sample SAMD00126425"
ERZ908714,"Antibiogram for study PRJDB7087, sample SAMD00126580"
ERZ908735,"Antibiogram for study PRJDB7087, sample SAMD00126510"
ERZ908740,"Antibiogram for study PRJDB7087, sample SAMD00126493"
ERZ908746,"Antibiogram for study PRJDB7087, sample SAMD00126441"
ERZ908753,"Antibiogram for study PRJDB7087, sample SAMD00126494"
ERZ908758,"Antibiogram for study PRJDB7087, sample SAMD00126427"
ERZ908761,"Antibiogram for study PRJDB7087, sample SAMD00126485"
ERZ908762,"Antibiogram for study PRJDB7087, sample SAMD00126600"
ERZ908806,"Antibiogram for study PRJDB7087, sample SAMD00126512"
ERZ908810,"Antibiogram for study PRJDB7087, sample SAMD00126447"
ERZ908825,"Antibiogram for study PRJDB7087, sample SAMD00126575"
ERZ908838,"Antibiogram for study PRJDB7087, sample SAMD00126391"
ERZ908847,"Antibiogram for study PRJDB7087, sample SAMD00126556"
ERZ908861,"Antibiogram for study PRJDB7087, sample SAMD00126562"
ERZ908865,"Antibiogram for study PRJDB7087, sample SAMD00126514"
ERZ908875,"Antibiogram for study PRJDB7087, sample SAMD00126405"
ERZ908888,"Antibiogram for study PRJDB7087, sample SAMD00126411"
ERZ794766,"Antibiogram for study PRJEB21997, sample SAMEA104188682"
ERZ794807,"Antibiogram for study PRJEB21997, sample SAMEA104188694"
ERZ794851,"Antibiogram for study PRJEB14873, sample SAMEA4350771"
ERZ795317,"Antibiogram for study PRJEB25629, sample SAMEA104712328"
ERZ795322,"Antibiogram for study PRJEB25629, sample SAMEA5166662"
ERZ794784,"Antibiogram for study PRJEB21997, sample SAMEA104188776"
ERZ794799,"Antibiogram for study PRJEB21997, sample SAMEA104188696"
ERZ794866,"Antibiogram for study PRJEB14873, sample SAMEA4350777"
ERZ908659,"Antibiogram for study PRJDB7087, sample SAMD00126568"
ERZ908674,"Antibiogram for study PRJDB7087, sample SAMD00126459"
ERZ908690,"Antibiogram for study PRJDB7087, sample SAMD00126444"
ERZ908692,"Antibiogram for study PRJDB7087, sample SAMD00126466"
ERZ908703,"Antibiogram for study PRJDB7087, sample SAMD00126414"
ERZ908705,"Antibiogram for study PRJDB7087, sample SAMD00126477"
ERZ908709,"Antibiogram for study PRJDB7087, sample SAMD00126491"
ERZ908715,"Antibiogram for study PRJDB7087, sample SAMD00126365"
ERZ908726,"Antibiogram for study PRJDB7087, sample SAMD00126377"
ERZ908764,"Antibiogram for study PRJDB7087, sample SAMD00126518"
ERZ908778,"Antibiogram for study PRJDB7087, sample SAMD00126546"
ERZ908783,"Antibiogram for study PRJDB7087, sample SAMD00126552"
ERZ908785,"Antibiogram for study PRJDB7087, sample SAMD00126487"
ERZ908786,"Antibiogram for study PRJDB7087, sample SAMD00126550"
ERZ908793,"Antibiogram for study PRJDB7087, sample SAMD00126413"
ERZ908812,"Antibiogram for study PRJDB7087, sample SAMD00126508"
ERZ908826,"Antibiogram for study PRJDB7087, sample SAMD00126389"
ERZ908834,"Antibiogram for study PRJDB7087, sample SAMD00126584"
ERZ908835,"Antibiogram for study PRJDB7087, sample SAMD00126572"
ERZ908841,"Antibiogram for study PRJDB7087, sample SAMD00126581"
ERZ908870,"Antibiogram for study PRJDB7087, sample SAMD00126462"
ERZ908877,"Antibiogram for study PRJDB7087, sample SAMD00126527"
ERZ908880,"Antibiogram for study PRJDB7087, sample SAMD00126401"
ERZ908887,"Antibiogram for study PRJDB7087, sample SAMD00126373"
ERZ794767,"Antibiogram for study PRJEB21997, sample SAMEA104188756"
ERZ794844,"Antibiogram for study PRJEB21997, sample SAMEA104188734"
ERZ794857,"Antibiogram for study PRJEB14873, sample SAMEA4350780"
ERZ795318,"Antibiogram for study PRJEB25629, sample SAMEA104712337"
ERZ908650,"Antibiogram for study PRJDB7087, sample SAMD00126571"
ERZ908663,"Antibiogram for study PRJDB7087, sample SAMD00126602"
ERZ908671,"Antibiogram for study PRJDB7087, sample SAMD00126592"
ERZ908685,"Antibiogram for study PRJDB7087, sample SAMD00126410"
ERZ908732,"Antibiogram for study PRJDB7087, sample SAMD00126371"
ERZ908744,"Antibiogram for study PRJDB7087, sample SAMD00126464"
ERZ908803,"Antibiogram for study PRJDB7087, sample SAMD00126548"
ERZ908813,"Antibiogram for study PRJDB7087, sample SAMD00126549"
ERZ908878,"Antibiogram for study PRJDB7087, sample SAMD00126500"
ERZ908879,"Antibiogram for study PRJDB7087, sample SAMD00126428"
ERZ908893,"Antibiogram for study PRJDB7087, sample SAMD00126529"
ERZ794742,"Antibiogram for study PRJEB21997, sample SAMEA104188691"
ERZ794811,"Antibiogram for study PRJEB21997, sample SAMEA104188728"
ERZ794830,"Antibiogram for study PRJEB21997, sample SAMEA104188742"
ERZ794836,"Antibiogram for study PRJEB21997, sample SAMEA104188781"
ERZ794837,"Antibiogram for study PRJEB21997, sample SAMEA104188695"
ERZ794849,"Antibiogram for study PRJEB14873, sample SAMEA4350783"
ERZ794868,"Antibiogram for study PRJEB14873, sample SAMEA4350788"
ERZ908655,"Antibiogram for study PRJDB7087, sample SAMD00126492"
ERZ908656,"Antibiogram for study PRJDB7087, sample SAMD00126591"
ERZ908669,"Antibiogram for study PRJDB7087, sample SAMD00126370"
ERZ908697,"Antibiogram for study PRJDB7087, sample SAMD00126551"
ERZ908700,"Antibiogram for study PRJDB7087, sample SAMD00126400"
ERZ908704,"Antibiogram for study PRJDB7087, sample SAMD00126513"
ERZ908713,"Antibiogram for study PRJDB7087, sample SAMD00126516"
ERZ908721,"Antibiogram for study PRJDB7087, sample SAMD00126577"
ERZ908747,"Antibiogram for study PRJDB7087, sample SAMD00126597"
ERZ908750,"Antibiogram for study PRJDB7087, sample SAMD00126588"
ERZ908763,"Antibiogram for study PRJDB7087, sample SAMD00126522"
ERZ908796,"Antibiogram for study PRJDB7087, sample SAMD00126504"
ERZ908809,"Antibiogram for study PRJDB7087, sample SAMD00126503"
ERZ908820,"Antibiogram for study PRJDB7087, sample SAMD00126388"
ERZ908836,"Antibiogram for study PRJDB7087, sample SAMD00126557"
ERZ908850,"Antibiogram for study PRJDB7087, sample SAMD00126430"
ERZ908852,"Antibiogram for study PRJDB7087, sample SAMD00126436"
ERZ908855,"Antibiogram for study PRJDB7087, sample SAMD00126524"
ERZ908885,"Antibiogram for study PRJDB7087, sample SAMD00126367"
ERZ794754,"Antibiogram for study PRJEB21997, sample SAMEA104188746"
ERZ794756,"Antibiogram for study PRJEB21997, sample SAMEA104188711"
ERZ794778,"Antibiogram for study PRJEB21997, sample SAMEA104188721"
ERZ794826,"Antibiogram for study PRJEB21997, sample SAMEA104188719"
ERZ908867,"Antibiogram for study PRJDB7087, sample SAMD00126596"
ERZ908883,"Antibiogram for study PRJDB7087, sample SAMD00126545"
ERZ908661,"Antibiogram for study PRJDB7087, sample SAMD00126470"
ERZ908676,"Antibiogram for study PRJDB7087, sample SAMD00126528"
ERZ908681,"Antibiogram for study PRJDB7087, sample SAMD00126501"
ERZ908694,"Antibiogram for study PRJDB7087, sample SAMD00126439"
ERZ908695,"Antibiogram for study PRJDB7087, sample SAMD00126393"
ERZ908710,"Antibiogram for study PRJDB7087, sample SAMD00126601"
ERZ908739,"Antibiogram for study PRJDB7087, sample SAMD00126490"
ERZ908767,"Antibiogram for study PRJDB7087, sample SAMD00126553"
ERZ908773,"Antibiogram for study PRJDB7087, sample SAMD00126554"
ERZ908789,"Antibiogram for study PRJDB7087, sample SAMD00126369"
ERZ908799,"Antibiogram for study PRJDB7087, sample SAMD00126450"
ERZ908824,"Antibiogram for study PRJDB7087, sample SAMD00126523"
ERZ908842,"Antibiogram for study PRJDB7087, sample SAMD00126471"
ERZ908857,"Antibiogram for study PRJDB7087, sample SAMD00126473"
ERZ908872,"Antibiogram for study PRJDB7087, sample SAMD00126590"
ERZ908882,"Antibiogram for study PRJDB7087, sample SAMD00126506"
