accession,description
ERZ1077495,"Antibiogram for study PRJEB23993, sample SAMEA104437741"
ERZ1077500,"Antibiogram for study PRJEB23993, sample SAMEA104437746"
ERZ1077503,"Antibiogram for study PRJEB23993, sample SAMEA104437749"
ERZ2186434,"Antibiogram for study PRJEB44355, sample SAMEA8574809"
ERZ1077402,"Antibiogram for study PRJEB23993, sample SAMEA104437461"
ERZ1077428,"Antibiogram for study PRJEB23993, sample SAMEA104437490"
ERZ1077468,"Antibiogram for study PRJEB23993, sample SAMEA104437714"
ERZ2186452,"Antibiogram for study PRJEB44355, sample SAMEA8574803"
ERZ2186465,"Antibiogram for study PRJEB44355, sample SAMEA8574834"
ERZ1077404,"Antibiogram for study PRJEB23993, sample SAMEA104437463"
ERZ1077408,"Antibiogram for study PRJEB23993, sample SAMEA104437467"
ERZ1077431,"Antibiogram for study PRJEB23993, sample SAMEA104437641"
ERZ1077467,"Antibiogram for study PRJEB23993, sample SAMEA104437713"
ERZ1077501,"Antibiogram for study PRJEB23993, sample SAMEA104437747"
ERZ2186443,"Antibiogram for study PRJEB44355, sample SAMEA8574801"
ERZ2186466,"Antibiogram for study PRJEB44355, sample SAMEA8574816"
ERZ1077405,"Antibiogram for study PRJEB23993, sample SAMEA104437464"
ERZ1077436,"Antibiogram for study PRJEB23993, sample SAMEA104437646"
ERZ1077441,"Antibiogram for study PRJEB23993, sample SAMEA104437651"
ERZ1077459,"Antibiogram for study PRJEB23993, sample SAMEA104437701"
ERZ1077482,"Antibiogram for study PRJEB23993, sample SAMEA104437728"
ERZ1077485,"Antibiogram for study PRJEB23993, sample SAMEA104437731"
ERZ1077488,"Antibiogram for study PRJEB23993, sample SAMEA104437734"
ERZ2186439,"Antibiogram for study PRJEB44355, sample SAMEA8574800"
ERZ2186453,"Antibiogram for study PRJEB44355, sample SAMEA8574810"
ERZ2186473,"Antibiogram for study PRJEB44355, sample SAMEA8574843"
ERZ1077443,"Antibiogram for study PRJEB23993, sample SAMEA104437653"
ERZ1077499,"Antibiogram for study PRJEB23993, sample SAMEA104437745"
ERZ2186442,"Antibiogram for study PRJEB44355, sample SAMEA8574827"
ERZ2186448,"Antibiogram for study PRJEB44355, sample SAMEA8574840"
ERZ2186449,"Antibiogram for study PRJEB44355, sample SAMEA8574805"
ERZ2186480,"Antibiogram for study PRJEB44355, sample SAMEA8574807"
ERZ1077456,"Antibiogram for study PRJEB23993, sample SAMEA104437698"
ERZ1077462,"Antibiogram for study PRJEB23993, sample SAMEA104437708"
ERZ1077491,"Antibiogram for study PRJEB23993, sample SAMEA104437737"
ERZ2186468,"Antibiogram for study PRJEB44355, sample SAMEA8574844"
ERZ2186471,"Antibiogram for study PRJEB44355, sample SAMEA8574845"
ERZ2186483,"Antibiogram for study PRJEB44355, sample SAMEA8574832"
ERZ1077433,"Antibiogram for study PRJEB23993, sample SAMEA104437643"
ERZ1077444,"Antibiogram for study PRJEB23993, sample SAMEA104437654"
ERZ2186454,"Antibiogram for study PRJEB44355, sample SAMEA8574848"
ERZ2186463,"Antibiogram for study PRJEB44355, sample SAMEA8574836"
ERZ2186476,"Antibiogram for study PRJEB44355, sample SAMEA8574847"
ERZ1077400,"Antibiogram for study PRJEB23993, sample SAMEA104437459"
ERZ1077432,"Antibiogram for study PRJEB23993, sample SAMEA104437642"
ERZ1077439,"Antibiogram for study PRJEB23993, sample SAMEA104437649"
ERZ1077446,"Antibiogram for study PRJEB23993, sample SAMEA104437656"
ERZ1077472,"Antibiogram for study PRJEB23993, sample SAMEA104437718"
ERZ1077481,"Antibiogram for study PRJEB23993, sample SAMEA104437727"
ERZ1077398,"Antibiogram for study PRJEB23993, sample SAMEA104437457"
ERZ1077419,"Antibiogram for study PRJEB23993, sample SAMEA104437481"
ERZ1077454,"Antibiogram for study PRJEB23993, sample SAMEA104437696"
ERZ1077474,"Antibiogram for study PRJEB23993, sample SAMEA104437720"
ERZ1077502,"Antibiogram for study PRJEB23993, sample SAMEA104437748"
ERZ2186461,"Antibiogram for study PRJEB44355, sample SAMEA8574826"
ERZ1077483,"Antibiogram for study PRJEB23993, sample SAMEA104437729"
ERZ2186444,"Antibiogram for study PRJEB44355, sample SAMEA8574813"
ERZ1077417,"Antibiogram for study PRJEB23993, sample SAMEA104437479"
ERZ1077422,"Antibiogram for study PRJEB23993, sample SAMEA104437484"
ERZ1077423,"Antibiogram for study PRJEB23993, sample SAMEA104437485"
ERZ1077450,"Antibiogram for study PRJEB23993, sample SAMEA104437692"
ERZ1077451,"Antibiogram for study PRJEB23993, sample SAMEA104437693"
ERZ1077452,"Antibiogram for study PRJEB23993, sample SAMEA104437694"
ERZ1077477,"Antibiogram for study PRJEB23993, sample SAMEA104437723"
ERZ1077478,"Antibiogram for study PRJEB23993, sample SAMEA104437724"
ERZ1077490,"Antibiogram for study PRJEB23993, sample SAMEA104437736"
ERZ2186438,"Antibiogram for study PRJEB44355, sample SAMEA8574835"
ERZ2186475,"Antibiogram for study PRJEB44355, sample SAMEA8574822"
ERZ1077396,"Antibiogram for study PRJEB23993, sample SAMEA104437455"
ERZ1077424,"Antibiogram for study PRJEB23993, sample SAMEA104437486"
ERZ1077447,"Antibiogram for study PRJEB23993, sample SAMEA104437689"
ERZ1077486,"Antibiogram for study PRJEB23993, sample SAMEA104437732"
ERZ1077498,"Antibiogram for study PRJEB23993, sample SAMEA104437744"
ERZ1077504,"Antibiogram for study PRJEB23993, sample SAMEA104437750"
ERZ2186436,"Antibiogram for study PRJEB44355, sample SAMEA8574838"
ERZ2186437,"Antibiogram for study PRJEB44355, sample SAMEA8574824"
ERZ2186451,"Antibiogram for study PRJEB44355, sample SAMEA8574842"
ERZ794768,"Antibiogram for study PRJEB21997, sample SAMEA104188702"
ERZ794790,"Antibiogram for study PRJEB21997, sample SAMEA104188739"
ERZ794796,"Antibiogram for study PRJEB21997, sample SAMEA104188765"
ERZ908662,"Antibiogram for study PRJDB7087, sample SAMD00126565"
ERZ908684,"Antibiogram for study PRJDB7087, sample SAMD00126433"
ERZ908701,"Antibiogram for study PRJDB7087, sample SAMD00126539"
ERZ908707,"Antibiogram for study PRJDB7087, sample SAMD00126406"
ERZ908720,"Antibiogram for study PRJDB7087, sample SAMD00126579"
ERZ908738,"Antibiogram for study PRJDB7087, sample SAMD00126468"
ERZ908751,"Antibiogram for study PRJDB7087, sample SAMD00126461"
ERZ908757,"Antibiogram for study PRJDB7087, sample SAMD00126394"
ERZ908766,"Antibiogram for study PRJDB7087, sample SAMD00126578"
ERZ908775,"Antibiogram for study PRJDB7087, sample SAMD00126431"
ERZ908779,"Antibiogram for study PRJDB7087, sample SAMD00126488"
ERZ908788,"Antibiogram for study PRJDB7087, sample SAMD00126446"
ERZ908804,"Antibiogram for study PRJDB7087, sample SAMD00126375"
ERZ908814,"Antibiogram for study PRJDB7087, sample SAMD00126540"
ERZ908833,"Antibiogram for study PRJDB7087, sample SAMD00126484"
ERZ908844,"Antibiogram for study PRJDB7087, sample SAMD00126574"
ERZ908854,"Antibiogram for study PRJDB7087, sample SAMD00126475"
ERZ908856,"Antibiogram for study PRJDB7087, sample SAMD00126547"
ERZ908860,"Antibiogram for study PRJDB7087, sample SAMD00126383"
ERZ908863,"Antibiogram for study PRJDB7087, sample SAMD00126361"
ERZ908866,"Antibiogram for study PRJDB7087, sample SAMD00126533"
ERZ908868,"Antibiogram for study PRJDB7087, sample SAMD00126586"
ERZ908873,"Antibiogram for study PRJDB7087, sample SAMD00126599"
ERZ908892,"Antibiogram for study PRJDB7087, sample SAMD00126465"
ERZ1077410,"Antibiogram for study PRJEB23993, sample SAMEA104437469"
ERZ1077414,"Antibiogram for study PRJEB23993, sample SAMEA104437473"
