run_accession,study_accession,BioSample,tax_id,scientific_name,submitted_ftp,Strain_Number,Origin,Year,Phenotype,Reference
SRR5160549,PRJNA186035,SAMN06074134,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-191/07,Chicken,2007,NAL,"Campioni et al., 2014."
SRR5160633,PRJNA186035,SAMN06074079,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-135/07,Chicken,2007,NAL,"Campioni et al., 2014."
SRR5160634,PRJNA186035,SAMN06074081,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-387/06,Chicken,2006,NAL,"Campioni et al., 2014."
SRR5160635,PRJNA186035,SAMN06074136,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-143/07,Farm_Environment,2007,NAL,"Campioni et al., 2014."
SRR5160638,PRJNA186035,SAMN06074078,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-139/07,Chicken,2007,NAL,"Campioni et al., 2014."
SRR5160639,PRJNA186035,SAMN06074135,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-189/07,Chicken,2007,Sensitive,"Campioni et al., 2014."
SRR5160640,PRJNA186035,SAMN06074080,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-131/07,Chicken,2007,NAL,"Campioni et al., 2014."
SRR5160641,PRJNA186035,SAMN06074131,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-255/07,Chicken,2007,NAL,"Campioni et al., 2014."
SRR5160643,PRJNA186035,SAMN06074133,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-199/07,Chicken,2007,NAL,"Campioni et al., 2014."
SRR5160644,PRJNA186035,SAMN06074122,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-327/08,Farm_Environment,2008,NAL,"Campioni et al., 2014."
SRR5160645,PRJNA186035,SAMN06074132,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-217/07,Chicken,2007,Sensitive,"Campioni et al., 2014."
SRR5160646,PRJNA186035,SAMN06074129,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-27/08,Chicken,2008,NAL,"Campioni et al., 2014."
SRR5160647,PRJNA186035,SAMN06074121,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-331/08,Farm_Environment,2008,NAL,"Campioni et al., 2014."
SRR5160648,PRJNA186035,SAMN06074120,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-11/09,Farm_Environment,2009,NAL,"Campioni et al., 2014."
SRR5160649,PRJNA186035,SAMN06074124,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-257/08,Chicken,2008,Sensitive,"Campioni et al., 2014."
SRR5160650,PRJNA186035,SAMN06074119,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-21/09,Chicken,2009,NAL,"Campioni et al., 2014."
SRR5160658,PRJNA186035,SAMN06074117,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-107/09,Farm_Environment,2009,NAL,"Campioni et al., 2014."
SRR5160660,PRJNA186035,SAMN06074111,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-179/10,Farm_Environment,2010,NAL,"Campioni et al., 2014."
SRR5160663,PRJNA186035,SAMN06074113,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-217/09,Chicken,2009,NAL,"Campioni et al., 2014."
SRR5160665,PRJNA186035,SAMN06074112,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-229/09,Chicken,2009,NAL,"Campioni et al., 2014."
SRR5160666,PRJNA186035,SAMN06074109,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-197/10,Farm_Environment,2010,NAL,"Campioni et al., 2014."
SRR5160668,PRJNA186035,SAMN06074162,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-219/10,Farm_Environment,2010,NAL,"Campioni et al., 2014."
SRR5232056,PRJNA186035,SAMN06074128,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-129/08,Chicken,2008,NAL,"Campioni et al., 2014."
SRR5232061,PRJNA186035,SAMN06074126,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-203/08,Chicken,2008,NAL,"Campioni et al., 2014."
SRR5232062,PRJNA186035,SAMN06074127,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-133/08,Chicken,2008,NAL,"Campioni et al., 2014."
SRR5232080,PRJNA186035,SAMN06074125,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-227/08,Chicken,2008,NAL,"Campioni et al., 2014."
SRR5232081,PRJNA186035,SAMN06074123,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-317/08,Farm_Environment,2008,NAL,"Campioni et al., 2014."
SRR5232082,PRJNA186035,SAMN06074116,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-113/09,Farm_Environment,2009,NAL,"Campioni et al., 2014."
SRR5232083,PRJNA186035,SAMN06074118,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-37/09,Chicken,2009,Sensitive,"Campioni et al., 2014."
SRR5232084,PRJNA186035,SAMN06074115,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-141/09,Farm_Environment,2009,NAL,"Campioni et al., 2014."
SRR5232085,PRJNA186035,SAMN06074114,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-165/09,Chicken,2009,NAL,"Campioni et al., 2014."
SRR5381280,PRJNA186035,SAMN06611255,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-252,Food,2007,NAL,"Campioni et al., 2012."
SRR5819637,PRJNA186035,SAMN06073080,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-4,Human,1986,Sensitive,"Campioni et al., 2012."
SRR5819643,PRJNA186035,SAMN06074181,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-1551,Human,2014,NAL,This study
SRR5819786,PRJNA186035,SAMN06073080,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-4,Human,1986,Sensitive,"Campioni et al., 2012."
SRR5819791,PRJNA186035,SAMN06074181,149539,Salmonella enterica subsp. enterica serovar Enteritidis,NA,SE-1551,Human,2014,NAL,This study
