Assembly,Level,WGS,BioSample,Isolate,Taxonomy,Sequencing Platform*,Year w,Country,City,Anatomical Site,Meropenem+,Levofloxacin +,Amikacin+,Colistin+,MLSTǂ
GCA_000792345.1,Scaffold,JTPJ00000000,SAMN03105682,AZPAE14985,Pseudomonas aeruginosa,MiSeq,2010,China,Shatin,RTI,0.12,0.12,2,1,1076
GCA_000792325.1,Scaffold,JTPK00000000,SAMN03105681,AZPAE14984,Pseudomonas aeruginosa,MiSeq,2010,France,Paris,UTI,>32,>32,128,1,233
GCA_000792305.1,Scaffold,JTPL00000000,SAMN03105680,AZPAE14983,Pseudomonas aeruginosa,MiSeq,2010,Croatia,Split,RTI,16,8,16,1,111
GCA_000792285.1,Scaffold,JTPM00000000,SAMN03105679,AZPAE14982,Pseudomonas aeruginosa,MiSeq,2010,Croatia,Split,RTI,0.06,0.5,2,1,1420
GCA_000792745.1,Scaffold,JTOQ00000000,SAMN03105701,AZPAE15004,Pseudomonas aeruginosa,MiSeq,2011,Colombia,Bogota,RTI,0.06,0.5,2,1,1758
GCA_000792725.1,Scaffold,JTOR00000000,SAMN03105700,AZPAE15003,Pseudomonas aeruginosa,MiSeq,2011,Colombia,Bogota,RTI,>32,4,>128,1,235
GCA_000792705.1,Scaffold,JTOS00000000,SAMN03105699,AZPAE15002,Pseudomonas aeruginosa,MiSeq,2010,Spain,Bilbao,IAI,>32,>32,64,1,111
GCA_000792675.1,Scaffold,JTOT00000000,SAMN03105698,AZPAE15001,Pseudomonas aeruginosa,MiSeq,2011,Colombia,Bogota,IAI,8,0.5,2,1,1757
GCA_000792665.1,Scaffold,JTOU00000000,SAMN03105697,AZPAE15000,Pseudomonas aeruginosa,MiSeq,2010,Spain,Bilbao,UTI,16,32,16,1,235
GCA_000792635.1,Scaffold,JTOV00000000,SAMN03105696,AZPAE14999,Pseudomonas aeruginosa,MiSeq,2010,Spain,Bilbao,IAI,0.12,0.5,1,1,557
GCA_000792625.1,Scaffold,JTOW00000000,SAMN03105695,AZPAE14998,Pseudomonas aeruginosa,MiSeq,2010,Spain,Palma de Mallorca,UTI,0.25,0.25,1,0.5,348
GCA_000792605.1,Scaffold,JTOX00000000,SAMN03105694,AZPAE14997,Pseudomonas aeruginosa,MiSeq,2010,Spain,Palma de Mallorca,UTI,0.25,4,1,1,395
GCA_000792575.1,Scaffold,JTOY00000000,SAMN03105693,AZPAE14996,Pseudomonas aeruginosa,MiSeq,2010,Spain,Palma de Mallorca,IAI,0.5,0.5,2,2,646
GCA_000792565.1,Scaffold,JTOZ00000000,SAMN03105692,AZPAE14995,Pseudomonas aeruginosa,MiSeq,2010,Spain,Palma de Mallorca,IAI,2,0.5,2,1,231
GCA_000792545.1,Scaffold,JTPA00000000,SAMN03105691,AZPAE14994,Pseudomonas aeruginosa,MiSeq,2010,Germany,Heidelberg,IAI,8,1,1,1,1749
GCA_000792515.1,Scaffold,JTPB00000000,SAMN03105690,AZPAE14993,Pseudomonas aeruginosa,MiSeq,2010,Spain,Madrid,UTI,2,>32,2,1,untyped
GCA_000792505.1,Scaffold,JTPC00000000,SAMN03105689,AZPAE14992,Pseudomonas aeruginosa,MiSeq,2010,Germany,München,IAI,0.06,0.5,1,1,1751
GCA_000792465.1,Scaffold,JTPE00000000,SAMN03105687,AZPAE14990,Pseudomonas aeruginosa,MiSeq,2010,China,Hong Kong,IAI,0.25,0.5,2,2,319
GCA_000792475.1,Scaffold,JTPD00000000,SAMN03105688,AZPAE14991,Pseudomonas aeruginosa,MiSeq,2010,Spain,Santander,IAI,0.06,0.25,2,0.5,316
GCA_000792425.1,Scaffold,JTPG00000000,SAMN03105685,AZPAE14988,Pseudomonas aeruginosa,MiSeq,2010,China,Shatin,UTI,2,2,2,1,1076
GCA_000795565.1,Scaffold,JTZI00000000,SAMN03105423,AZPAE13864,Pseudomonas aeruginosa,HiSeq,2010,India,unknown,unknown,2,>32,32,1,597
GCA_000795535.1,Scaffold,JTWQ00000000,SAMN03105493,AZPAE14716,Pseudomonas aeruginosa,MiSeq,2012,Venezuela,unknown,IAI,>32,16,128,2,308
GCA_000795525.1,Scaffold,JTZJ00000000,SAMN03105422,AZPAE13860,Pseudomonas aeruginosa,HiSeq,2010,India,unknown,unknown,>32,>32,>128,1,111
GCA_000795505.1,Scaffold,JTZK00000000,SAMN03105421,AZPAE13858,Pseudomonas aeruginosa,HiSeq,2010,India,unknown,unknown,16,>32,32,1,823
GCA_000795485.1,Scaffold,JTZL00000000,SAMN03105420,AZPAE13856,Pseudomonas aeruginosa,HiSeq,2010,India,unknown,unknown,0.5,32,64,1,308
GCA_000795465.1,Scaffold,JTZM00000000,SAMN03105419,AZPAE13853,Pseudomonas aeruginosa,HiSeq,2010,India,unknown,unknown,16,>32,32,1,823
GCA_000795435.1,Scaffold,JTZN00000000,SAMN03105418,AZPAE13850,Pseudomonas aeruginosa,HiSeq,2010,India,unknown,unknown,16,32,64,0.5,235
GCA_000795425.1,Scaffold,JTZO00000000,SAMN03105417,AZPAE13848,Pseudomonas aeruginosa,HiSeq,2010,India,unknown,unknown,0.25,4.001,16.001,1,316
GCA_000795405.1,Scaffold,JTZP00000000,SAMN03105416,AZPAE13757,Pseudomonas aeruginosa,HiSeq,2009,Canada,unknown,RTI,>32,8,>128,1,146
GCA_000795385.1,Scaffold,JTVG00000000,SAMN03105529,AZPAE14828,Pseudomonas aeruginosa,MiSeq,2005,United States,Detroit,IAI,0.5,1,4,1,1728
GCA_000795365.1,Scaffold,JTVH00000000,SAMN03105528,AZPAE14827,Pseudomonas aeruginosa,MiSeq,2005,United States,Detroit,IAI,16,32,4,0.5,179
GCA_000795345.1,Scaffold,JTVI00000000,SAMN03105527,AZPAE14826,Pseudomonas aeruginosa,MiSeq,2005,United States,Detroit,RTI,0.5,32,4,1,308
GCA_000795325.1,Scaffold,JTVJ00000000,SAMN03105526,AZPAE14825,Pseudomonas aeruginosa,MiSeq,2005,Germany,Koln,RTI,2,4,8,1,1727
GCA_000795305.1,Scaffold,JTVK00000000,SAMN03105525,AZPAE14824,Pseudomonas aeruginosa,MiSeq,2005,Germany,Koln,RTI,0.25,2,2,1,395
GCA_000795285.1,Scaffold,JTVL00000000,SAMN03105524,AZPAE14823,Pseudomonas aeruginosa,MiSeq,2005,Germany,Koln,RTI,0.25,0.25,2,1,155
GCA_000795265.1,Scaffold,JTVM00000000,SAMN03105523,AZPAE14822,Pseudomonas aeruginosa,MiSeq,2004,Brazil,Sao Paulo,IAI,8,32,>128,1,277
GCA_000795235.1,Scaffold,JTVN00000000,SAMN03105522,AZPAE14821,Pseudomonas aeruginosa,MiSeq,2004,Brazil,Sao Paulo,UTI,>32,>32,>128,1,277
GCA_000795225.1,Scaffold,JTVO00000000,SAMN03105521,AZPAE14820,Pseudomonas aeruginosa,MiSeq,2004,Brazil,Sao Paulo,IAI,0.06,0.5,2,1,1122
GCA_000795205.1,Scaffold,JTVP00000000,SAMN03105520,AZPAE14819,Pseudomonas aeruginosa,MiSeq,2004,Brazil,Sao Paulo,UTI,>32,>32,>128,1,277
GCA_000795185.1,Scaffold,JTVQ00000000,SAMN03105519,AZPAE14818,Pseudomonas aeruginosa,MiSeq,2004,France,Besancon,IAI,0.5,8,2,1,167
GCA_000796405.1,Scaffold,JTYC00000000,SAMN03105455,AZPAE14505,Pseudomonas aeruginosa,HiSeq,2011,France,Paris,RTI,>8,>8,4,ND,654
GCA_000796385.1,Scaffold,JTYD00000000,SAMN03105454,AZPAE14499,Pseudomonas aeruginosa,HiSeq,2011,Spain,Santander,UTI,0.125,0.5,0.25,ND,348
GCA_000795165.1,Scaffold,JTVR00000000,SAMN03105518,AZPAE14817,Pseudomonas aeruginosa,MiSeq,2004,France,Besancon,UTI,0.25,0.5,2,1,386
GCA_000795145.1,Scaffold,JTVS00000000,SAMN03105517,AZPAE14816,Pseudomonas aeruginosa,MiSeq,2004,France,Besancon,RTI,1,1,4,0.5,671
GCA_000795115.1,Scaffold,JTVT00000000,SAMN03105516,AZPAE14815,Pseudomonas aeruginosa,MiSeq,2004,France,Besancon,RTI,0.25,0.5,1,1,395
GCA_000795105.1,Scaffold,JTVU00000000,SAMN03105515,AZPAE14814,Pseudomonas aeruginosa,MiSeq,2004,France,Besancon,IAI,0.25,1,4,1,395
GCA_000794995.1,Scaffold,JTVZ00000000,SAMN03105510,AZPAE14809,Pseudomonas aeruginosa,MiSeq,2004,India,Mumbai,RTI,0.12,1,4,1,385
GCA_000794985.1,Scaffold,JTWA00000000,SAMN03105509,AZPAE14732,Pseudomonas aeruginosa,MiSeq,2012,United States,unknown,RTI,16,0.25,8,1,235
GCA_000794965.1,Scaffold,JTWB00000000,SAMN03105508,AZPAE14731,Pseudomonas aeruginosa,MiSeq,2012,Italy,unknown,RTI,16,8,32,1,1726
GCA_000794945.1,Scaffold,JTWC00000000,SAMN03105507,AZPAE14730,Pseudomonas aeruginosa,MiSeq,2012,Italy,unknown,RTI,32,8,32,1,235
GCA_000794925.1,Scaffold,JTWD00000000,SAMN03105506,AZPAE14729,Pseudomonas aeruginosa,MiSeq,2012,Italy,unknown,UTI,>32,32,128,4,111
GCA_000794905.1,Scaffold,JTWE00000000,SAMN03105505,AZPAE14728,Pseudomonas aeruginosa,MiSeq,2012,United States,unknown,IAI,16,32,8,1,111
GCA_000794885.1,Scaffold,JTWF00000000,SAMN03105504,AZPAE14727,Pseudomonas aeruginosa,MiSeq,2012,United States,unknown,IAI,16,16,4,1,111
GCA_000794865.1,Scaffold,JTWG00000000,SAMN03105503,AZPAE14726,Pseudomonas aeruginosa,MiSeq,2012,United States,unknown,UTI,2,>32,8,1,235
GCA_000794845.1,Scaffold,JTWH00000000,SAMN03105502,AZPAE14725,Pseudomonas aeruginosa,MiSeq,2012,United States,unknown,RTI,1,2,16,1,17
GCA_000794825.1,Scaffold,JTXB00000000,SAMN03105482,AZPAE14704,Pseudomonas aeruginosa,MiSeq,2012,Greece,unknown,IAI,16,2,2,1,116
GCA_000794405.1,Scaffold,JTXV00000000,SAMN03105462,AZPAE14554,Pseudomonas aeruginosa,HiSeq,2010,Spain,Santander,RTI,>8,>8,8,ND,111
GCA_000794365.1,Scaffold,JTUV00000000,SAMN03105540,AZPAE14839,Pseudomonas aeruginosa,MiSeq,2006,China,Beijing,IAI,16,2,2,1,260
GCA_000794335.1,Scaffold,JTUW00000000,SAMN03105539,AZPAE14838,Pseudomonas aeruginosa,MiSeq,2006,China,Beijing,RTI,8,16,16,0.5,767
GCA_000794325.1,Scaffold,JTUX00000000,SAMN03105538,AZPAE14837,Pseudomonas aeruginosa,MiSeq,2006,China,Beijing,RTI,8,2,2,1,111
GCA_000794305.1,Scaffold,JTUY00000000,SAMN03105537,AZPAE14836,Pseudomonas aeruginosa,MiSeq,2006,China,Beijing,RTI,4,4,4,1,162
GCA_000794285.1,Scaffold,JTUZ00000000,SAMN03105536,AZPAE14835,Pseudomonas aeruginosa,MiSeq,2006,China,Beijing,RTI,8,8,2,1,111
GCA_000794265.1,Scaffold,JTVB00000000,SAMN03105534,AZPAE14833,Pseudomonas aeruginosa,MiSeq,2005,Argentina,Victoria,UTI,2,>32,64,1,244
GCA_000794555.1,Scaffold,JTXO00000000,SAMN03105469,AZPAE14690,Pseudomonas aeruginosa,MiSeq,2012,Romania,unknown,UTI,4,>32,16,1,235
GCA_000794545.1,Scaffold,JTXP00000000,SAMN03105468,AZPAE14689,Pseudomonas aeruginosa,MiSeq,2012,Mexico,unknown,RTI,32,>32,>128,1,235
GCA_000794505.1,Scaffold,JTXQ00000000,SAMN03105467,AZPAE14688,Pseudomonas aeruginosa,MiSeq,2012,Mexico,unknown,unknown,>32,>32,>128,1,1724
GCA_000794515.1,Scaffold,JTXR00000000,SAMN03105466,AZPAE14687,Pseudomonas aeruginosa,MiSeq,2012,Mexico,unknown,RTI,>32,>32,>128,1,167
GCA_000794485.1,Scaffold,JTXT00000000,SAMN03105464,AZPAE14566,Pseudomonas aeruginosa,HiSeq,2011,China,Shatin,UTI,0.5,2,2,ND,179
GCA_000794445.1,Scaffold,JTXU00000000,SAMN03105463,AZPAE14557,Pseudomonas aeruginosa,HiSeq,2010,Germany,Koln,RTI,8,0.5,4,ND,498
GCA_000794425.1,Scaffold,JTXW00000000,SAMN03105461,AZPAE14550,Pseudomonas aeruginosa,HiSeq,2010,China,Beijing,RTI,0.125,0.5,4,ND,257
GCA_000794455.1,Scaffold,JTXS00000000,SAMN03105465,AZPAE14570,Pseudomonas aeruginosa,HiSeq,2010,Germany,unknown,UTI,2,>8,2,ND,348
GCA_000795085.1,Scaffold,JTVV00000000,SAMN03105514,AZPAE14813,Pseudomonas aeruginosa,MiSeq,2004,India,Mumbai,UTI,0.5,0.5,1,2,740
GCA_000795065.1,Scaffold,JTVW00000000,SAMN03105513,AZPAE14812,Pseudomonas aeruginosa,MiSeq,2004,India,Mumbai,IAI,0.06,0.03,0.5,1,308
GCA_000795045.1,Scaffold,JTVX00000000,SAMN03105512,AZPAE14811,Pseudomonas aeruginosa,MiSeq,2004,India,Mumbai,RTI,>32,32,>128,2,233
GCA_000795025.1,Scaffold,JTVY00000000,SAMN03105511,AZPAE14810,Pseudomonas aeruginosa,MiSeq,2004,India,Mumbai,UTI,0.12,0.25,2,1,132
GCA_000794805.1,Scaffold,JTXC00000000,SAMN03105481,AZPAE14703,Pseudomonas aeruginosa,MiSeq,2012,Philippines,unknown,IAI,>32,>32,16,1,235
GCA_000794785.1,Scaffold,JTXD00000000,SAMN03105480,AZPAE14702,Pseudomonas aeruginosa,MiSeq,2012,Philippines,unknown,RTI,>32,32,8,1,235
GCA_000794745.1,Scaffold,JTXE00000000,SAMN03105479,AZPAE14701,Pseudomonas aeruginosa,MiSeq,2012,Philippines,unknown,IAI,2,8,1,1,348
GCA_000794725.1,Scaffold,JTXG00000000,SAMN03105477,AZPAE14699,Pseudomonas aeruginosa,MiSeq,2012,United States,unknown,IAI,16,2,1,1,253
GCA_000794735.1,Scaffold,JTXF00000000,SAMN03105478,AZPAE14700,Pseudomonas aeruginosa,MiSeq,2012,Philippines,unknown,RTI,>32,>32,32,1,309
GCA_000794705.1,Scaffold,JTXH00000000,SAMN03105476,AZPAE14698,Pseudomonas aeruginosa,MiSeq,2012,Israel,unknown,RTI,0.5,2,1,1,463
GCA_000794675.1,Scaffold,JTXI00000000,SAMN03105475,AZPAE14697,Pseudomonas aeruginosa,MiSeq,2012,Israel,unknown,RTI,0.12,4,2,1,640
GCA_000794665.1,Scaffold,JTXJ00000000,SAMN03105474,AZPAE14695,Pseudomonas aeruginosa,MiSeq,2012,Israel,unknown,RTI,2,2,2,1,253
GCA_000794645.1,Scaffold,JTXK00000000,SAMN03105473,AZPAE14694,Pseudomonas aeruginosa,MiSeq,2012,Romania,unknown,UTI,16,>32,32,1,235
GCA_000794625.1,Scaffold,JTXL00000000,SAMN03105472,AZPAE14693,Pseudomonas aeruginosa,MiSeq,2012,Romania,unknown,IAI,1,32,4,1,487
GCA_000794605.1,Scaffold,JTXN00000000,SAMN03105470,AZPAE14691,Pseudomonas aeruginosa,MiSeq,2012,United States,unknown,RTI,4,0.5,4,1,847
GCA_000794585.1,Scaffold,JTXM00000000,SAMN03105471,AZPAE14692,Pseudomonas aeruginosa,MiSeq,2012,United States,unknown,IAI,>32,32,64,1,309
GCA_000794245.1,Scaffold,JTVA00000000,SAMN03105535,AZPAE14834,Pseudomonas aeruginosa,MiSeq,2005,Argentina,Victoria,UTI,8,>32,32,1,244
GCA_000794195.1,Scaffold,JTVF00000000,SAMN03105530,AZPAE14829,Pseudomonas aeruginosa,MiSeq,2005,United States,Detroit,RTI,4,0.25,0.25,1,308
GCA_000794185.1,Scaffold,JTVE00000000,SAMN03105531,AZPAE14830,Pseudomonas aeruginosa,MiSeq,2005,Argentina,Victoria,IAI,2,32,32,1,235
GCA_000794175.1,Scaffold,JTVD00000000,SAMN03105532,AZPAE14831,Pseudomonas aeruginosa,MiSeq,2005,Argentina,Victoria,RTI,0.5,0.5,8,1,348
GCA_000794165.1,Scaffold,JTVC00000000,SAMN03105533,AZPAE14832,Pseudomonas aeruginosa,MiSeq,2005,Argentina,Victoria,RTI,0.06,0.25,1,1,111
GCA_000794095.1,Scaffold,JTRG00000000,SAMN03105633,AZPAE14935,Pseudomonas aeruginosa,MiSeq,2008,France,Rouen Cedex,RTI,0.25,0.03,4,0.25,17
GCA_000794085.1,Scaffold,JTRI00000000,SAMN03105631,AZPAE14933,Pseudomonas aeruginosa,MiSeq,2009,France,Rouen Cedex,UTI,0.25,32,32,1,111
GCA_000794055.1,Scaffold,JTSD00000000,SAMN03105610,AZPAE14912,Pseudomonas aeruginosa,MiSeq,2008,Croatia,Split,RTI,32,>32,32,1,235
GCA_000793905.1,Scaffold,JTRH00000000,SAMN03105632,AZPAE14934,Pseudomonas aeruginosa,MiSeq,2009,France,Rouen Cedex,IAI,0.12,0.25,2,1,1743
GCA_000793885.1,Scaffold,JTSB00000000,SAMN03105612,AZPAE14914,Pseudomonas aeruginosa,MiSeq,2008,Spain,Santander,UTI,0.25,>32,4,1,274
GCA_000793865.1,Scaffold,JTRL00000000,SAMN03105628,AZPAE14930,Pseudomonas aeruginosa,MiSeq,2009,Germany,Aachen,UTI,0.5,1,1,1,1742
GCA_000793845.1,Scaffold,JTSC00000000,SAMN03105611,AZPAE14913,Pseudomonas aeruginosa,MiSeq,2008,Croatia,Split,UTI,0.25,0.5,2,1,1737
GCA_000794045.1,Scaffold,JTQU00000000,SAMN03105645,AZPAE14947,Pseudomonas aeruginosa,MiSeq,2009,China,Beijing,UTI,8,2,16,2,527
GCA_000794025.1,Scaffold,JTQZ00000000,SAMN03105640,AZPAE14942,Pseudomonas aeruginosa,MiSeq,2009,China,Hong Kong,IAI,8,0.25,1,1,233
GCA_000794005.1,Scaffold,JTRZ00000000,SAMN03105614,AZPAE14916,Pseudomonas aeruginosa,MiSeq,2008,Spain,Bilbao,RTI,16,4,64,1,1766
GCA_000793985.1,Scaffold,JTSE00000000,SAMN03105609,AZPAE14911,Pseudomonas aeruginosa,MiSeq,2008,India,Mumbai,IAI,2,2,2,1,532
GCA_000793955.1,Scaffold,JTNM00000000,SAMN03105731,AZPAE15034,Pseudomonas aeruginosa,MiSeq,2011,Spain,Bilbao,RTI,2,16,2,0.5,298
GCA_000793945.1,Scaffold,JTRB00000000,SAMN03105638,AZPAE14940,Pseudomonas aeruginosa,MiSeq,2009,France,Rouen Cedex,UTI,16,>32,4,1,348
GCA_000793915.1,Scaffold,JTSJ00000000,SAMN03105604,AZPAE14906,Pseudomonas aeruginosa,MiSeq,2008,Germany,Koln,RTI,0.25,2,0.25,1,560
GCA_000793665.1,Scaffold,JTRY00000000,SAMN03105615,AZPAE14917,Pseudomonas aeruginosa,MiSeq,2008,Spain,Bilbao,IAI,32,32,8,1,1740
GCA_000793645.1,Scaffold,JTRD00000000,SAMN03105636,AZPAE14938,Pseudomonas aeruginosa,MiSeq,2008,France,Rouen Cedex,RTI,16,16,4,1,308
GCA_000793615.1,Scaffold,JTSK00000000,SAMN03105603,AZPAE14905,Pseudomonas aeruginosa,MiSeq,2008,Germany,Koln,RTI,0.25,2,1,1,560
GCA_000793595.1,Scaffold,JTRC00000000,SAMN03105637,AZPAE14939,Pseudomonas aeruginosa,MiSeq,2009,Colombia,Bogota,RTI,>32,4,16,4,1744
GCA_000793745.1,Scaffold,JTRV00000000,SAMN03105618,AZPAE14920,Pseudomonas aeruginosa,MiSeq,2008,Spain,Bilbao,UTI,16,8,2,1,377
GCA_000793725.1,Scaffold,JTNN00000000,SAMN03105730,AZPAE15033,Pseudomonas aeruginosa,MiSeq,2011,France,Rouen Cedex,IAI,0.06,0.03,0.25,0.5,274
GCA_000793705.1,Scaffold,JTSI00000000,SAMN03105605,AZPAE14907,Pseudomonas aeruginosa,MiSeq,2008,China,Shatin,IAI,4,0.25,2,1,1736
GCA_000793685.1,Scaffold,JTRJ00000000,SAMN03105630,AZPAE14932,Pseudomonas aeruginosa,MiSeq,2009,Germany,Aachen,RTI,8,0.5,2,1,313
GCA_000793825.1,Scaffold,JTRU00000000,SAMN03105619,AZPAE14921,Pseudomonas aeruginosa,MiSeq,2009,France,Paris,RTI,0.5,2,2,1,633
GCA_000793805.1,Scaffold,JTSH00000000,SAMN03105606,AZPAE14908,Pseudomonas aeruginosa,MiSeq,2008,Spain,Palma de Mallorca,IAI,0.25,0.12,4,1,633
GCA_000793785.1,Scaffold,JTRE00000000,SAMN03105635,AZPAE14937,Pseudomonas aeruginosa,MiSeq,2008,France,Rouen Cedex,IAI,16,>32,8,1,621
GCA_000793765.1,Scaffold,JTRK00000000,SAMN03105629,AZPAE14931,Pseudomonas aeruginosa,MiSeq,2009,Germany,Aachen,RTI,16,4,8,1,266
GCA_000792975.1,Scaffold,JTOF00000000,SAMN03105712,AZPAE15015,Pseudomonas aeruginosa,MiSeq,2011,Germany,Koln,UTI,1,32,8,1,235
GCA_000792965.1,Scaffold,JTOE00000000,SAMN03105713,AZPAE15016,Pseudomonas aeruginosa,MiSeq,2011,United States,Detroit,UTI,1,4,4,1,253
GCA_000792945.1,Scaffold,JTOG00000000,SAMN03105711,AZPAE15014,Pseudomonas aeruginosa,MiSeq,2011,Germany,Koln,RTI,0.25,0.5,2,1,1033
GCA_000792925.1,Scaffold,JTOH00000000,SAMN03105710,AZPAE15013,Pseudomonas aeruginosa,MiSeq,2011,Germany,Koln,IAI,0.5,0.25,1,1,244
GCA_000792895.1,Scaffold,JTOI00000000,SAMN03105709,AZPAE15012,Pseudomonas aeruginosa,MiSeq,2011,Germany,Koln,IAI,0.12,0.5,4,1,252
GCA_000792885.1,Scaffold,JTOJ00000000,SAMN03105708,AZPAE15011,Pseudomonas aeruginosa,MiSeq,2010,Spain,Santander,IAI,4,2,1,1,253
GCA_000792855.1,Scaffold,JTOK00000000,SAMN03105707,AZPAE15010,Pseudomonas aeruginosa,MiSeq,2010,Spain,Santander,RTI,0.5,>32,2,1,175
GCA_000792845.1,Scaffold,JTOL00000000,SAMN03105706,AZPAE15009,Pseudomonas aeruginosa,MiSeq,2010,Spain,Santander,RTI,0.25,16,1,1,111
GCA_000793135.1,Scaffold,JTMY00000000,SAMN03105745,AZPAE15048,Pseudomonas aeruginosa,MiSeq,2012,Germany,München,UTI,4,0.25,2,1,234
GCA_000793125.1,Scaffold,JTNX00000000,SAMN03105720,AZPAE15023,Pseudomonas aeruginosa,MiSeq,2011,Spain,Madrid,IAI,32,4,2,0.5,untyped
GCA_000793105.1,Scaffold,JTNY00000000,SAMN03105719,AZPAE15022,Pseudomonas aeruginosa,MiSeq,2011,France,Nantes Cedex,UTI,0.5,8,1,1,387
GCA_000793085.1,Scaffold,JTNZ00000000,SAMN03105718,AZPAE15021,Pseudomonas aeruginosa,MiSeq,2011,Argentina,Victoria,IAI,2,>32,64,0.5,244
GCA_000793055.1,Scaffold,JTOA00000000,SAMN03105717,AZPAE15020,Pseudomonas aeruginosa,MiSeq,2010,France,Besancon,RTI,16,4,4,1,1752
GCA_000793045.1,Scaffold,JTOB00000000,SAMN03105716,AZPAE15019,Pseudomonas aeruginosa,MiSeq,2010,France,Besancon,RTI,0.06,0.25,2,1,309
GCA_000793025.1,Scaffold,JTOC00000000,SAMN03105715,AZPAE15018,Pseudomonas aeruginosa,MiSeq,2011,United States,Detroit,IAI,2,32,2,1,17
GCA_000793005.1,Scaffold,JTOD00000000,SAMN03105714,AZPAE15017,Pseudomonas aeruginosa,MiSeq,2011,United States,Detroit,IAI,1,2,4,1,1759
GCA_000793245.1,Scaffold,JTMN00000000,SAMN03105756,AZPAE15059,Pseudomonas aeruginosa,MiSeq,2012,France,Nantes Cedex,RTI,0.06,1,4,1,313
GCA_000793255.1,Scaffold,JTMM00000000,SAMN03105757,AZPAE15060,Pseudomonas aeruginosa,MiSeq,2012,France,Nantes Cedex,UTI,1,>32,4,1,348
GCA_000793225.1,Scaffold,JTMO00000000,SAMN03105755,AZPAE15058,Pseudomonas aeruginosa,MiSeq,2012,France,Nantes Cedex,RTI,2,0.015,1,1,235
GCA_000793205.1,Scaffold,JTMP00000000,SAMN03105754,AZPAE15057,Pseudomonas aeruginosa,MiSeq,2012,China,Beijing,RTI,0.5,8,4,1,1753
GCA_000793185.1,Scaffold,JTMR00000000,SAMN03105752,AZPAE15055,Pseudomonas aeruginosa,MiSeq,2012,Colombia,Bogota,UTI,1,0.5,4,2,1761
GCA_000793165.1,Scaffold,JTMQ00000000,SAMN03105753,AZPAE15056,Pseudomonas aeruginosa,MiSeq,2012,China,Beijing,RTI,>32,4,4,0.5,635
GCA_000793365.1,Scaffold,JTMH00000000,SAMN03105762,AZPAE15065,Pseudomonas aeruginosa,MiSeq,2012,Brazil,Curitiba,RTI,>32,16,32,0.5,261
GCA_000793385.1,Scaffold,JTMA00000000,SAMN03105769,AZPAE15072,Pseudomonas aeruginosa,MiSeq,2004,Germany,Heidelberg,UTI,0.25,1,8,1,274
GCA_000793345.1,Scaffold,JTMI00000000,SAMN03105761,AZPAE15064,Pseudomonas aeruginosa,MiSeq,2012,Brazil,Curitiba,IAI,16,32,4,1,1560
GCA_000793315.1,Scaffold,JTMJ00000000,SAMN03105760,AZPAE15063,Pseudomonas aeruginosa,MiSeq,2012,Brazil,Curitiba,RTI,1,128,64,1,235
GCA_000793295.1,Scaffold,JTML00000000,SAMN03105758,AZPAE15061,Pseudomonas aeruginosa,MiSeq,2012,France,Nantes Cedex,UTI,0.12,0.25,2,1,633
GCA_000793285.1,Scaffold,JTMK00000000,SAMN03105759,AZPAE15062,Pseudomonas aeruginosa,MiSeq,2012,Brazil,Curitiba,UTI,0.12,0.25,2,1,644
GCA_000793505.1,Scaffold,JTMB00000000,SAMN03105768,AZPAE15071,Pseudomonas aeruginosa,MiSeq,2004,Germany,Heidelberg,RTI,8,2,4,0.5,17
GCA_000793485.1,Scaffold,JTMC00000000,SAMN03105767,AZPAE15070,Pseudomonas aeruginosa,MiSeq,2004,Germany,Heidelberg,UTI,8,0.5,4,1,395
GCA_000793455.1,Scaffold,JTMD00000000,SAMN03105766,AZPAE15069,Pseudomonas aeruginosa,MiSeq,2004,Germany,Heidelberg,IAI,8,0.25,2,1,155
GCA_000793445.1,Scaffold,JTME00000000,SAMN03105765,AZPAE15068,Pseudomonas aeruginosa,MiSeq,2004,Germany,Heidelberg,RTI,0.25,0.25,2,1,17
GCA_000793395.1,Scaffold,JTMG00000000,SAMN03105763,AZPAE15066,Pseudomonas aeruginosa,MiSeq,2003,Croatia,Split,UTI,0.06,2,4,1,111
GCA_000793415.1,Scaffold,JTMF00000000,SAMN03105764,AZPAE15067,Pseudomonas aeruginosa,MiSeq,2004,Germany,Heidelberg,IAI,1,2,2,2,319
GCA_000796205.1,Scaffold,JTYL00000000,SAMN03105446,AZPAE14415,Pseudomonas aeruginosa,HiSeq,2009,Portugal,unknown,UTI,1,16,8,1,111
GCA_000796175.1,Scaffold,JTYM00000000,SAMN03105445,AZPAE14410,Pseudomonas aeruginosa,HiSeq,2012,Germany,Heidelberg,IAI,0.5,0.5,2,ND,242
GCA_000796165.1,Scaffold,JTWZ00000000,SAMN03105484,AZPAE14706,Pseudomonas aeruginosa,MiSeq,2012,Greece,unknown,IAI,>32,>32,128,1,235
GCA_000796145.1,Scaffold,JTYN00000000,SAMN03105444,AZPAE14404,Pseudomonas aeruginosa,HiSeq,2012,China,Shatin,IAI,0.06,0.5,4,ND,1248
GCA_000796125.1,Scaffold,JTYO00000000,SAMN03105443,AZPAE14403,Pseudomonas aeruginosa,HiSeq,2011,France,Rouen Cedex,IAI,>8,>8,4,ND,175
