Assembly,Level,WGS,BioSample,Isolate,Taxonomy,Sequencing Platform*,Year w,Country,City,Anatomical Site,Meropenem+,Levofloxacin +,Amikacin+,Colistin+,MLSTǂ
GCA_000790245.1,Scaffold,JTTU00000000,SAMN03105567,AZPAE14868,Pseudomonas aeruginosa,MiSeq,2007,Argentina,Victoria,IAI,0.12,0.25,2,1,1733
GCA_000790205.1,Scaffold,JTTW00000000,SAMN03105565,AZPAE14866,Pseudomonas aeruginosa,MiSeq,2007,China,Shatin,RTI,0.12,0.5,2,1,1101
GCA_000790215.1,Scaffold,JTTV00000000,SAMN03105566,AZPAE14867,Pseudomonas aeruginosa,MiSeq,2007,China,Shatin,RTI,0.03,0.015,0.5,0.5,244
GCA_000790065.1,Scaffold,JTUC00000000,SAMN03105559,AZPAE14860,Pseudomonas aeruginosa,MiSeq,2007,Spain,Bilbao,IAI,1,>32,0.5,0.5,308
GCA_000790035.1,Scaffold,JTUD00000000,SAMN03105558,AZPAE14859,Pseudomonas aeruginosa,MiSeq,2007,Spain,Bilbao,UTI,0.12,0.5,2,1,640
GCA_000790185.1,Scaffold,JTTX00000000,SAMN03105564,AZPAE14865,Pseudomonas aeruginosa,MiSeq,2007,India,Chennai,RTI,>32,>32,>128,1,357
GCA_000790145.1,Scaffold,JTTZ00000000,SAMN03105562,AZPAE14863,Pseudomonas aeruginosa,MiSeq,2007,India,Chennai,RTI,0.25,>32,2,1,357
GCA_000790155.1,Scaffold,JTTY00000000,SAMN03105563,AZPAE14864,Pseudomonas aeruginosa,MiSeq,2007,India,Chennai,RTI,0.12,0.5,2,1,16
GCA_000790115.1,Scaffold,JTNI00000000,SAMN03105735,AZPAE15038,Pseudomonas aeruginosa,MiSeq,2012,France,Paris,IAI,4,0.5,4,1,116
GCA_000790105.1,Scaffold,JTUA00000000,SAMN03105561,AZPAE14862,Pseudomonas aeruginosa,MiSeq,2007,India,Chennai,UTI,2,>32,8,1,621
GCA_000790085.1,Scaffold,JTUB00000000,SAMN03105560,AZPAE14861,Pseudomonas aeruginosa,MiSeq,2007,Spain,Bilbao,IAI,0.06,4,4,1,132
GCA_000790735.1,Scaffold,JTNF00000000,SAMN03105738,AZPAE15041,Pseudomonas aeruginosa,MiSeq,2012,Germany,Koln,UTI,2,0.25,2,0.5,1754
GCA_000790725.1,Scaffold,JTTB00000000,SAMN03105586,AZPAE14887,Pseudomonas aeruginosa,MiSeq,2007,Croatia,Split,IAI,32,>32,32,1,235
GCA_000790705.1,Scaffold,JTTC00000000,SAMN03105585,AZPAE14886,Pseudomonas aeruginosa,MiSeq,2007,Croatia,Split,UTI,16,1,4,1,111
GCA_000790685.1,Scaffold,JTTD00000000,SAMN03105584,AZPAE14885,Pseudomonas aeruginosa,MiSeq,2007,Croatia,Split,IAI,0.06,0.25,4,1,1718
GCA_000790645.1,Scaffold,JTTF00000000,SAMN03105582,AZPAE14883,Pseudomonas aeruginosa,MiSeq,2007,Croatia,Split,RTI,0.03,0.12,2,1,701
GCA_000790655.1,Scaffold,JTTE00000000,SAMN03105583,AZPAE14884,Pseudomonas aeruginosa,MiSeq,2007,Croatia,Split,RTI,16,1,4,1,1184
GCA_000790625.1,Scaffold,JTMT00000000,SAMN03105750,AZPAE15053,Pseudomonas aeruginosa,MiSeq,2012,Argentina,Victoria,UTI,0.25,0.25,2,1,699
GCA_000790605.1,Scaffold,JTTG00000000,SAMN03105581,AZPAE14882,Pseudomonas aeruginosa,MiSeq,2007,Spain,Santander,RTI,32,8,4,1,865
GCA_000790585.1,Scaffold,JTNW00000000,SAMN03105721,AZPAE15024,Pseudomonas aeruginosa,MiSeq,2011,Spain,Madrid,IAI,0.25,0.25,2,1,253
GCA_000790565.1,Scaffold,JTTH00000000,SAMN03105580,AZPAE14881,Pseudomonas aeruginosa,MiSeq,2007,Spain,Santander,IAI,1,>32,4,1,175
GCA_000790545.1,Scaffold,JTTI00000000,SAMN03105579,AZPAE14880,Pseudomonas aeruginosa,MiSeq,2007,Spain,Santander,RTI,0.25,>32,4,1,175
GCA_000790525.1,Scaffold,JTTJ00000000,SAMN03105578,AZPAE14879,Pseudomonas aeruginosa,MiSeq,2007,United States,Roseburg,RTI,0.5,8,16,1,116
GCA_000790385.1,Scaffold,JTTP00000000,SAMN03105572,AZPAE14873,Pseudomonas aeruginosa,MiSeq,2007,Argentina,Victoria,RTI,0.5,0.25,2,1,883
GCA_000790355.1,Scaffold,JTTQ00000000,SAMN03105571,AZPAE14872,Pseudomonas aeruginosa,MiSeq,2007,Argentina,Victoria,RTI,32,>32,8,1,244
GCA_000790345.1,Scaffold,JTNH00000000,SAMN03105736,AZPAE15039,Pseudomonas aeruginosa,MiSeq,2012,Germany,Heidelberg,UTI,0.06,0.06,0.25,1,309
GCA_000790325.1,Scaffold,JTTR00000000,SAMN03105570,AZPAE14871,Pseudomonas aeruginosa,MiSeq,2007,Argentina,Victoria,UTI,0.5,0.25,4,1,885
GCA_000790465.1,Scaffold,JTNE00000000,SAMN03105739,AZPAE15042,Pseudomonas aeruginosa,MiSeq,2012,Germany,Heidelberg,UTI,2,0.25,1,0.5,1120
GCA_000790445.1,Scaffold,JTTM00000000,SAMN03105575,AZPAE14876,Pseudomonas aeruginosa,MiSeq,2007,United States,Detroit,IAI,0.5,0.5,2,0.5,1732
GCA_000790425.1,Scaffold,JTTN00000000,SAMN03105574,AZPAE14875,Pseudomonas aeruginosa,MiSeq,2007,United States,Detroit,RTI,0.06,0.25,1,1,381
GCA_000790405.1,Scaffold,JTTO00000000,SAMN03105573,AZPAE14874,Pseudomonas aeruginosa,MiSeq,2007,United States,Detroit,RTI,16,>32,8,1,235
GCA_000791105.1,Scaffold,JTSO00000000,SAMN03105599,AZPAE14901,Pseudomonas aeruginosa,MiSeq,2008,India,Chennai,IAI,0.06,0.25,2,1,1739
GCA_000791085.1,Scaffold,JTSP00000000,SAMN03105598,AZPAE14900,Pseudomonas aeruginosa,MiSeq,2008,India,Chennai,IAI,16,>32,8,2,untyped
GCA_000791065.1,Scaffold,JTSQ00000000,SAMN03105597,AZPAE14899,Pseudomonas aeruginosa,MiSeq,2008,India,Chennai,UTI,0.06,0.5,2,1,1735
GCA_000791035.1,Scaffold,JTSR00000000,SAMN03105596,AZPAE14898,Pseudomonas aeruginosa,MiSeq,2008,India,Chennai,RTI,0.5,0.5,2,1,253
GCA_000791025.1,Scaffold,JTSS00000000,SAMN03105595,AZPAE14897,Pseudomonas aeruginosa,MiSeq,2008,India,Chennai,IAI,0.5,0.5,2,1,1765
GCA_000791005.1,Scaffold,JTNV00000000,SAMN03105722,AZPAE15025,Pseudomonas aeruginosa,MiSeq,2011,Spain,Madrid,UTI,0.25,0.5,2,1,253
GCA_000790985.1,Scaffold,JTNB00000000,SAMN03105742,AZPAE15045,Pseudomonas aeruginosa,MiSeq,2011,France,Nantes Cedex,UTI,0.5,1,2,1,253
GCA_000790965.1,Scaffold,JTST00000000,SAMN03105594,AZPAE14895,Pseudomonas aeruginosa,MiSeq,2008,Germany,Heidelberg,IAI,0.25,0.5,2,1,968
GCA_000790905.1,Scaffold,JTSV00000000,SAMN03105592,AZPAE14893,Pseudomonas aeruginosa,MiSeq,2008,France,Besancon,UTI,0.12,0.12,2,1,395
GCA_000790885.1,Scaffold,JTSW00000000,SAMN03105591,AZPAE14892,Pseudomonas aeruginosa,MiSeq,2008,France,Besancon,RTI,8,1,4,1,313
GCA_000790935.1,Scaffold,JTSU00000000,SAMN03105593,AZPAE14894,Pseudomonas aeruginosa,MiSeq,2008,Germany,Heidelberg,IAI,4,0.25,0.5,1,308
GCA_000790915.1,Scaffold,JTNG00000000,SAMN03105737,AZPAE15040,Pseudomonas aeruginosa,MiSeq,2012,Germany,Heidelberg,IAI,16,8,4,1,274
GCA_000790865.1,Scaffold,JTSX00000000,SAMN03105590,AZPAE14891,Pseudomonas aeruginosa,MiSeq,2008,France,Besancon,RTI,0.12,0.5,2,1,262
GCA_000790835.1,Scaffold,JTMZ00000000,SAMN03105744,AZPAE15047,Pseudomonas aeruginosa,MiSeq,2012,Argentina,Victoria,RTI,>32,>32,128,1,298
GCA_000790825.1,Scaffold,JTSY00000000,SAMN03105589,AZPAE14890,Pseudomonas aeruginosa,MiSeq,2008,France,Besancon,UTI,8,32,4,1,175
GCA_000790805.1,Scaffold,JTSZ00000000,SAMN03105588,AZPAE14889,Pseudomonas aeruginosa,MiSeq,2008,China,Shatin,IAI,1,0.5,2,1,773
GCA_000790785.1,Scaffold,JTTA00000000,SAMN03105587,AZPAE14888,Pseudomonas aeruginosa,MiSeq,2007,United States,Detroit,IAI,1,2,2,1,606
GCA_000790765.1,Scaffold,JTND00000000,SAMN03105740,AZPAE15043,Pseudomonas aeruginosa,MiSeq,2012,France,Nantes Cedex,IAI,0.25,1,4,1,446
GCA_000791265.1,Scaffold,JTRQ00000000,SAMN03105623,AZPAE14925,Pseudomonas aeruginosa,MiSeq,2008,Brazil,Sao Paulo,IAI,0.06,0.5,2,1,1737
GCA_000791235.1,Scaffold,JTNT00000000,SAMN03105724,AZPAE15027,Pseudomonas aeruginosa,MiSeq,2011,Spain,Bilbao,UTI,0.06,0.5,2,1,1086
GCA_000791225.1,Scaffold,JTRR00000000,SAMN03105622,AZPAE14924,Pseudomonas aeruginosa,MiSeq,2008,Brazil,Sao Paulo,RTI,0.25,0.5,4,1,155
GCA_000791205.1,Scaffold,JTRS00000000,SAMN03105621,AZPAE14923,Pseudomonas aeruginosa,MiSeq,2008,Brazil,Sao Paulo,RTI,>32,>32,>128,1,277
GCA_000791185.1,Scaffold,JTRT00000000,SAMN03105620,AZPAE14922,Pseudomonas aeruginosa,MiSeq,2009,France,Paris,RTI,>32,>32,128,1,233
GCA_000791155.1,Scaffold,JTSL00000000,SAMN03105602,AZPAE14904,Pseudomonas aeruginosa,MiSeq,2008,Spain,Madrid,IAI,8,>32,2,1,244
GCA_000791145.1,Scaffold,JTSM00000000,SAMN03105601,AZPAE14903,Pseudomonas aeruginosa,MiSeq,2008,Spain,Madrid,IAI,0.25,0.5,1,1,1738
GCA_000791125.1,Scaffold,JTSN00000000,SAMN03105600,AZPAE14902,Pseudomonas aeruginosa,MiSeq,2008,Argentina,Victoria,RTI,32,0.06,32,0.5,235
GCA_000791665.1,Scaffold,JTMW00000000,SAMN03105747,AZPAE15050,Pseudomonas aeruginosa,MiSeq,2012,China,Hong Kong,IAI,0.25,0.25,1,2,360
GCA_000791635.1,Scaffold,JTQM00000000,SAMN03105653,AZPAE14955,Pseudomonas aeruginosa,MiSeq,2009,France,Nantes Cedex,IAI,0.12,0.5,1,1,260
GCA_000791625.1,Scaffold,JTQN00000000,SAMN03105652,AZPAE14954,Pseudomonas aeruginosa,MiSeq,2009,France,Nantes Cedex,IAI,32,16,2,1,285
GCA_000791605.1,Scaffold,JTQO00000000,SAMN03105651,AZPAE14953,Pseudomonas aeruginosa,MiSeq,2009,China,Shatin,IAI,0.12,0.12,2,1,179
GCA_000791345.1,Scaffold,JTQY00000000,SAMN03105641,AZPAE14943,Pseudomonas aeruginosa,MiSeq,2009,Colombia,Bogota,RTI,0.5,0.06,1,4,1746
GCA_000791325.1,Scaffold,JTRN00000000,SAMN03105626,AZPAE14928,Pseudomonas aeruginosa,MiSeq,2008,Brazil,Sao Paulo,UTI,0.06,0.25,2,1,1766
GCA_000791305.1,Scaffold,JTRO00000000,SAMN03105625,AZPAE14927,Pseudomonas aeruginosa,MiSeq,2008,Brazil,Sao Paulo,IAI,2,0.25,1,4,267
GCA_000791275.1,Scaffold,JTRP00000000,SAMN03105624,AZPAE14926,Pseudomonas aeruginosa,MiSeq,2008,Brazil,Sao Paulo,UTI,16,>32,4,1,274
GCA_000792025.1,Scaffold,JTPW00000000,SAMN03105669,AZPAE14972,Pseudomonas aeruginosa,MiSeq,2010,Germany,Aachen,IAI,0.25,1,1,0.5,1567
GCA_000792005.1,Scaffold,JTPX00000000,SAMN03105668,AZPAE14971,Pseudomonas aeruginosa,MiSeq,2010,China,Shatin,IAI,0.5,0.12,0.12,1,274
GCA_000791985.1,Scaffold,JTNQ00000000,SAMN03105727,AZPAE15030,Pseudomonas aeruginosa,MiSeq,2011,Germany,München,IAI,32,16,8,1,245
GCA_000791965.1,Scaffold,JTPY00000000,SAMN03105667,AZPAE14970,Pseudomonas aeruginosa,MiSeq,2010,United States,Roseburg,IAI,16,32,4,1,308
GCA_000791945.1,Scaffold,JTPZ00000000,SAMN03105666,AZPAE14969,Pseudomonas aeruginosa,MiSeq,2010,United States,Roseburg,IAI,2,32,4,1,308
GCA_000791915.1,Scaffold,JTQA00000000,SAMN03105665,AZPAE14968,Pseudomonas aeruginosa,MiSeq,2009,Croatia,Split,RTI,32,32,1,1,235
GCA_000791905.1,Scaffold,JTQC00000000,SAMN03105663,AZPAE14965,Pseudomonas aeruginosa,MiSeq,2009,France,Nantes Cedex,RTI,0.12,0.25,1,0.5,1750
GCA_000791885.1,Scaffold,JTQB00000000,SAMN03105664,AZPAE14967,Pseudomonas aeruginosa,MiSeq,2009,Croatia,Split,RTI,2,1,1,1,1767
GCA_000791855.1,Scaffold,JTNP00000000,SAMN03105728,AZPAE15031,Pseudomonas aeruginosa,MiSeq,2011,Germany,Aachen,IAI,0.12,0.25,2,1,395
GCA_000791835.1,Scaffold,JTQD00000000,SAMN03105662,AZPAE14964,Pseudomonas aeruginosa,MiSeq,2009,France,Nantes Cedex,RTI,0.25,0.25,1,1,1750
GCA_000792095.1,Scaffold,JTPT00000000,SAMN03105672,AZPAE14975,Pseudomonas aeruginosa,MiSeq,2010,China,Beijing,RTI,0.12,0.5,2,1,879
GCA_000792085.1,Scaffold,JTPU00000000,SAMN03105671,AZPAE14974,Pseudomonas aeruginosa,MiSeq,2010,Germany,Aachen,RTI,0.25,0.5,0.5,1,155
GCA_000792065.1,Scaffold,JTPV00000000,SAMN03105670,AZPAE14973,Pseudomonas aeruginosa,MiSeq,2010,Germany,Aachen,RTI,4,0.25,1,1,395
GCA_000792045.1,Scaffold,JTNC00000000,SAMN03105741,AZPAE15044,Pseudomonas aeruginosa,MiSeq,2012,France,Nantes Cedex,IAI,0.25,0.12,4,1,1320
GCA_000792165.1,Scaffold,JTPQ00000000,SAMN03105675,AZPAE14978,Pseudomonas aeruginosa,MiSeq,2010,United States,Roseburg,UTI,4,16,4,1,244
GCA_000792145.1,Scaffold,JTNR00000000,SAMN03105726,AZPAE15029,Pseudomonas aeruginosa,MiSeq,2011,France,Paris,RTI,>32,32,>128,1,233
GCA_000792155.1,Scaffold,JTPR00000000,SAMN03105674,AZPAE14977,Pseudomonas aeruginosa,MiSeq,2010,China,Beijing,UTI,0.12,0.25,2,1,1437
GCA_000792115.1,Scaffold,JTPS00000000,SAMN03105673,AZPAE14976,Pseudomonas aeruginosa,MiSeq,2010,China,Beijing,RTI,32,>32,4,1,1295
GCA_000791585.1,Scaffold,JTQP00000000,SAMN03105650,AZPAE14952,Pseudomonas aeruginosa,MiSeq,2009,China,Shatin,IAI,2,0.5,2,1,1736
GCA_000791565.1,Scaffold,JTNO00000000,SAMN03105729,AZPAE15032,Pseudomonas aeruginosa,MiSeq,2011,France,Rouen Cedex,IAI,0.5,0.5,1,0.5,360
