PATRIC ID,Isolation Source,Isolation Date,Serotype,US State of Isolation,SRA Run Accession,AUG,AMP,AXO,AZI,CHL,CIP,COT,FIS,FOX,GEN,NAL,STR,TET,TIO,KAN
590.12895,Chicken Breast,2012,Enteritidis,CA,SRR3664706,<=1,2,<=0.25,4,8,0.03,<=0.12,<=16,2,0.5,4,NA,<=4,1,<=8
590.12896,Chicken Breast,2012,Heidelberg,CA,SRR3664707,<=1,<=1,<=0.25,4,8,<=0.015,<=0.12,<=16,1,0.5,4,NA,<=4,1,<=8
590.12897,Ground Turkey,2012,"IIIa 18:z4,z23:-",CA,SRR3664708,<=1,<=1,<=0.25,4,4,<=0.015,<=0.12,<=16,2,<=0.25,2,NA,<=4,0.5,<=8
590.12898,Ground Turkey,2012,"IIIa 18:z4,z23:-",CA,SRR3664709,<=1,<=1,<=0.25,4,4,<=0.015,<=0.12,<=16,2,<=0.25,2,NA,<=4,0.5,<=8
590.12899,Chicken Breast,2012,Enteritidis,GA,SRR3664710,<=1,2,<=0.25,2,4,0.03,<=0.12,<=16,2,0.5,4,NA,<=4,1,<=8
590.129,Ground Turkey,2012,Saintpaul,MN,SRR3664711,8,>32,<=0.25,4,4,<=0.015,<=0.12,<=16,2,>16,4,64,>32,2,<=8
590.12901,Chicken Wings,2012,Enteritidis,MN,SRR3664712,<=1,<=1,<=0.25,4,4,<=0.015,<=0.12,<=16,2,0.5,4,NA,<=4,1,<=8
590.12902,Chicken Breast,2012,Kentucky,MN,SRR3664713,<=1,<=1,<=0.25,2,4,<=0.015,<=0.12,32,2,0.5,4,64,<=4,0.5,<=8
590.12903,Chicken Breast,2012,Heidelberg,OR,SRR3664714,<=1,<=1,<=0.25,4,4,<=0.015,<=0.12,<=16,2,0.5,4,NA,<=4,0.5,<=8
590.12904,Chicken Breast,2012,Kentucky,PA,SRR3664715,<=1,<=1,<=0.25,2,4,<=0.015,<=0.12,<=16,2,0.5,4,>64,<=4,0.5,<=8
590.12905,Chicken Breast,2012,Kentucky,PA,SRR3664716,>32,>32,16,2,4,<=0.015,<=0.12,64,32,0.5,4,>64,<=4,>8,<=8
590.12906,Chicken Breast,2012,Typhimurium var. 5-,PA,SRR3664717,<=1,2,<=0.25,4,4,<=0.015,<=0.12,>256,2,>16,2,64,>32,1,<=8
590.12907,Chicken Breast,2012,Kentucky,PA,SRR3664718,32,>32,32,2,<=2,<=0.015,<=0.12,32,32,0.5,2,>64,<=4,>8,<=8
590.12908,Chicken Breast,2012,Typhimurium var. 5-,PA,SRR3664719,>32,>32,16,4,8,<=0.015,<=0.12,>256,>32,<=0.25,4,NA,>32,>8,<=8
590.12909,Chicken Breast,2012,Typhimurium var. 5-,TN,SRR3664720,>32,>32,16,4,4,<=0.015,<=0.12,>256,>32,0.5,4,NA,>32,>8,<=8
590.1291,Ground Turkey,2012,Schwarzengrund,TN,SRR3664721,>32,>32,32,4,8,<=0.015,<=0.12,<=16,32,0.5,2,NA,<=4,>8,>64
590.12911,Chicken Breast,2012,"I 4,12:i:-",CT,SRR3664722,>32,>32,32,4,8,<=0.015,<=0.12,>256,>32,<=0.25,4,NA,>32,8,>64
590.12912,Chicken Breast,2012,Heidelberg,GA,SRR3664723,<=1,<=1,<=0.25,4,4,<=0.015,<=0.12,<=16,2,0.5,4,NA,<=4,0.5,<=8
590.12913,Chicken Breast,2012,Kentucky,GA,SRR3664724,<=1,<=1,<=0.25,4,4,<=0.015,<=0.12,<=16,1,<=0.25,2,64,>32,0.5,<=8
590.12914,Ground Turkey,2012,Brandenburg,GA,SRR3664725,<=1,2,<=0.25,4,8,<=0.015,<=0.12,>256,2,1,2,>64,>32,1,>64
590.12915,Ground Turkey,2012,Brandenburg,GA,SRR3664726,<=1,2,<=0.25,4,8,<=0.015,<=0.12,<=16,2,1,2,NA,<=4,1,<=8
590.12916,Pork Chop,2012,Typhimurium var. 5-,GA,SRR3664727,4,>32,<=0.25,4,8,0.03,<=0.12,>256,2,1,4,>64,>32,0.5,<=8
590.12917,Chicken Breast,2012,Typhimurium var. 5-,MD,SRR3664728,32,>32,8,4,4,<=0.015,<=0.12,>256,16,<=0.25,4,NA,>32,8,<=8
590.12918,Chicken Breast,2012,Typhimurium var. 5-,MD,SRR3664729,32,>32,8,4,4,<=0.015,<=0.12,>256,16,<=0.25,4,NA,>32,8,<=8
590.12919,Chicken Breast,2012,Typhimurium var. 5-,MD,SRR3664730,<=1,<=1,<=0.25,4,4,<=0.015,<=0.12,>256,2,<=0.25,4,NA,>32,0.5,<=8
590.1292,Chicken Breast,2012,"I 9,12:non-motile",MD,SRR3664731,<=1,<=1,<=0.25,4,8,0.03,<=0.12,32,2,0.5,4,NA,<=4,1,<=8
590.12921,Chicken Breast,2012,Typhimurium,MD,SRR3664732,>32,>32,16,2,4,<=0.015,<=0.12,>256,>32,<=0.25,2,NA,>32,>8,<=8
590.12922,Ground Turkey,2012,Worthington,MD,SRR3664733,<=1,2,<=0.25,8,16,0.06,<=0.12,<=16,8,0.5,4,8,<=4,1,NA
590.12923,Ground Turkey,NA,Reading,MD,SRR3664734,4,>32,<=0.25,4,8,0.03,<=0.12,64,4,0.5,4,>64,>32,1,>64
590.12924,Chicken Breast,2012,Kentucky,MD,SRR3664735,<=1,<=1,<=0.25,1,4,<=0.015,<=0.12,32,2,0.5,2,>64,<=4,1,<=8
590.12925,Chicken Breast,2012,Typhimurium var. 5-,MD,SRR3664736,>32,>32,8,4,4,<=0.015,<=0.12,>256,16,0.5,2,>64,>32,8,<=8
590.12926,Ground Beef,2012,Newport,MD,SRR3664737,<=1,<=1,<=0.25,2,4,<=0.015,<=0.12,<=16,2,0.5,4,NA,<=4,0.5,<=8
590.12927,Chicken Breast,2012,Kentucky,MD,SRR3664738,<=1,<=1,<=0.25,2,<=2,<=0.015,<=0.12,32,1,0.5,2,>64,<=4,0.5,<=8
590.12928,Chicken Breast,2012,Typhimurium,MD,SRR3664739,32,>32,8,4,4,<=0.015,<=0.12,>256,32,<=0.25,4,NA,>32,>8,<=8
590.12929,Chicken Breast,2012,Typhimurium var. 5-,MD,SRR3664740,32,>32,8,4,8,<=0.015,<=0.12,>256,32,<=0.25,4,NA,>32,8,<=8
590.1293,Ground Turkey,NA,Typhimurium var. 5-,MD,SRR3664741,>32,>32,32,4,4,<=0.015,<=0.12,>256,>32,0.5,4,>64,>32,>8,>64
590.12931,Ground Turkey,2012,Saintpaul,MD,SRR3664742,16,>32,<=0.25,4,8,<=0.015,<=0.12,32,2,0.5,4,NA,>32,1,<=8
590.12932,Ground Turkey,NA,Derby,MD,SRR3664743,<=1,<=1,<=0.25,4,8,<=0.015,<=0.12,32,4,0.5,4,NA,>32,1,<=8
590.12933,Ground Beef,2012,Dublin,MD,SRR3664744,4,>32,<=0.25,2,>32,<=0.015,<=0.12,>256,8,0.5,4,>64,>32,1,>64
590.12934,Ground Turkey,2012,Hadar,MN,SRR3664745,<=1,<=1,<=0.25,4,4,<=0.015,<=0.12,32,2,0.5,4,64,>32,0.5,<=8
590.12935,Chicken Breast,2012,Enteritidis,MN,SRR3664746,<=1,2,<=0.25,4,8,0.03,<=0.12,<=16,2,0.5,4,NA,<=4,1,<=8
590.12936,Ground Turkey,2012,Enteritidis,MN,SRR3664747,<=1,<=1,<=0.25,4,8,0.03,<=0.12,<=16,2,0.5,4,NA,<=4,1,<=8
590.12937,Ground Turkey,2012,Saintpaul,NM,SRR3664748,8,>32,<=0.25,4,8,<=0.015,<=0.12,32,4,>16,2,64,>32,1,<=8
590.12938,Chicken Breast,2012,Heidelberg,NM,SRR3664749,<=1,<=1,<=0.25,4,8,<=0.015,<=0.12,<=16,1,0.5,4,NA,<=4,0.5,<=8
590.12939,Chicken Breast,2012,Enteritidis,NM,SRR3664750,<=1,<=1,<=0.25,4,4,0.03,<=0.12,<=16,2,0.5,4,NA,<=4,1,<=8
590.1294,Chicken Breast,2012,Kentucky,NM,SRR3664751,<=1,<=1,<=0.25,4,4,<=0.015,<=0.12,<=16,4,0.5,2,>64,>32,1,<=8
590.12941,Chicken Breast,2012,Kentucky,NM,SRR3664752,>32,>32,32,4,8,<=0.015,<=0.12,64,32,16,4,>64,>32,>8,<=8
590.12942,Chicken Breast,2012,Typhimurium,NM,SRR3664753,<=1,<=1,<=0.25,4,4,<=0.015,<=0.12,<=16,2,0.5,4,NA,<=4,0.5,<=8
590.12943,Chicken Breast,2012,Typhimurium,NM,SRR3664754,<=1,2,<=0.25,4,8,<=0.015,<=0.12,<=16,2,0.5,4,NA,<=4,1,<=8
590.12944,Chicken Breast,2012,Kentucky,NM,SRR3664755,<=1,2,<=0.25,4,4,<=0.015,<=0.12,<=16,2,0.5,2,64,>32,1,<=8
590.12945,Ground Turkey,2012,"IIIa 18:z4,z23:-",NM,SRR3664756,<=1,<=1,<=0.25,4,4,<=0.015,<=0.12,<=16,2,0.5,2,NA,<=4,0.5,<=8
590.12946,Chicken Breast,2012,Enteritidis,OR,SRR3664757,<=1,2,<=0.25,4,8,0.03,<=0.12,32,2,0.5,4,NA,<=4,1,<=8
590.12947,Chicken Breast,2012,Typhimurium var. 5-,PA,SRR3664758,32,>32,8,4,8,<=0.015,<=0.12,>256,16,0.5,4,NA,>32,8,>64
590.12948,Chicken Breast,2012,Enteritidis,PA,SRR3664759,<=1,2,<=0.25,4,8,0.03,<=0.12,32,2,0.5,4,NA,<=4,1,<=8
590.12949,Chicken Breast,2012,Typhimurium var. 5-,PA,SRR3664760,>32,>32,8,4,8,<=0.015,<=0.12,>256,32,0.5,4,NA,>32,8,<=8
