Strain,Accession,BioSample,BioProject,Lineage                                       (Clone-ST-SCCmec),CHL,CIP,CLI,ERI,GEN,MET,OXA,RIF,SXT,TET
UG260,JAALUG000000000,SAMN14171727,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG261,QDHJ00000000,SAMN08977811,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UG275,QDHH00000000,SAMN08977814,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UG277,QDHG00000000,SAMN08977815,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UG278,JAALUF000000000,SAMN14171728,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG280,JAALSJ000000000,SAMN14171729,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG282,QDHF00000000,SAMN08977816,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UG284,JAALTK000000000,SAMN14171730,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG286,QEJV00000000,SAMN08977817,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UG287,JAALRT000000000,SAMN14171731,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG289,JAALTD000000000,SAMN14171732,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG297,JAALOZ000000000,SAMN14171733,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG790,JAALRR000000000,SAMN14171734,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG797,JAALQE000000000,SAMN14171735,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG834,LGWL00000000,SAMN03940762,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UG929,JAALRL000000000,SAMN14171736,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG944,LGXY00000000,SAMN03940770,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UG946,JAALSH000000000,SAMN14171737,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG948,JAALTE000000000,SAMN14171738,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG952,JAALRM000000000,SAMN14171739,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG955,JAALTJ000000000,SAMN14171740,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG964,JAALVJ000000000,SAMN14171741,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG975,JAALVD000000000,SAMN14171742,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG983,JAALVV000000000,SAMN14171743,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG988,JAALVR000000000,SAMN14171744,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG990,JAALVN000000000,SAMN14171745,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG992,JAALVL000000000,SAMN14171746,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG993,LGVX00000000,SAMN03940771,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UG995,JAALSC000000000,SAMN14171747,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UG999,JAALPZ000000000,SAMN14171748,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UMX742,JAALVK000000000,SAMN14171749,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UMX748,JAALWG000000000,SAMN14171750,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UMX750,LGWF00000000,SAMN03940756,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UMX769,JAALXC000000000,SAMN14171751,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UMX773,MJHX00000000,SAMN05721751,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UMX781,JAALRS000000000,SAMN14171752,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UMX783,JAALVM000000000,SAMN14171753,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UMX784,JAALOV000000000,SAMN14171754,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UMX940,JAALWJ000000000,SAMN14171755,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP1006,LPWT00000000,SAMN04346843,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UP1007,JAALRK000000000,SAMN14171756,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP101,JAALQB000000000,SAMN14171757,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP1017,JAALWK000000000,SAMN14171758,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP1021,JAALSS000000000,SAMN14171759,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP1022,JAALSW000000000,SAMN14171760,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP1023,JAALUC000000000,SAMN14171761,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP1024,JAALTO000000000,SAMN14171762,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP103,JAALWM000000000,SAMN14171763,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP1066,JAALRP000000000,SAMN14171764,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP107,JAALUA000000000,SAMN14171765,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP1076,JAALQA000000000,SAMN14171766,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP1080,JAALRA000000000,SAMN14171767,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP1082,JAALPS000000000,SAMN14171768,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP1150,JAALPK000000000,SAMN14171769,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP1168,JAALWL000000000,SAMN14171770,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP118,JAALWW000000000,SAMN14171771,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP130,JAALTQ000000000,SAMN14171772,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP35,JAALWA000000000,SAMN14171773,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP72,LGWY00000000,SAMN03940725,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UP75,JAALVO000000000,SAMN14171774,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP80,JAALVW000000000,SAMN14171775,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP81,LGWZ00000000,SAMN03940726,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UP83,JAALVS000000000,SAMN14171776,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP87,JAALWC000000000,SAMN14171777,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP91,JAALVP000000000,SAMN14171778,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP92,JAALXD000000000,SAMN14171779,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UP93,JAALWQ000000000,SAMN14171780,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UV1026,MIHK00000000,SAMN05721758,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UV1155,LGWB00000000,SAMN03940775,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UV1166,LPWO00000000,SAMN04346838,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UV1167,MJHZ00000000,SAMN05721759,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UV1170,JAALPW000000000,SAMN14171781,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UV1173,JAALOY000000000,SAMN14171782,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UV1174,JAALWD000000000,SAMN14171783,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UV1176,JAALQF000000000,SAMN14171784,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UV1178,JAALPA000000000,SAMN14171785,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UV156,JAALWN000000000,SAMN14171786,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UV157,JAALUS000000000,SAMN14171787,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UV160,JAALUI000000000,SAMN14171788,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UV163,JAALOX000000000,SAMN14171789,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UV164,JAALRQ000000000,SAMN14171790,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UV165,LGXB00000000,SAMN03940728,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UV166,JAALUY000000000,SAMN14171791,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UV170,LGXC00000000,SAMN03940729,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UV171,JAALTS000000000,SAMN14171792,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UV177,JAALUX000000000,SAMN14171793,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UV179,LPWQ00000000,SAMN04346840,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UV185,LGXE00000000,SAMN03940731,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UV695,MIHJ00000000,SAMN05721760,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UV699,MIHI00000000,SAMN05721761,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
