Strain,Accession,BioSample,BioProject,Lineage                                       (Clone-ST-SCCmec),CHL,CIP,CLI,ERI,GEN,MET,OXA,RIF,SXT,TET
UA807,JAALOT000000000,SAMN14171573,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA808,JAALUJ000000000,SAMN14171574,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA810,JAALUQ000000000,SAMN14171575,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA812,JAALQN000000000,SAMN14171576,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA813,LGWK00000000,SAMN03940761,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UA819,JAAMFH000000000,SAMN14171577,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA821,JAALOS000000000,SAMN14171578,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA825,LPWP00000000,SAMN04346839,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UA833,JAALWX000000000,SAMN14171579,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA854,JAALVF000000000,SAMN14171580,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA856,JAALVH000000000,SAMN14171581,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA857,JAALSU000000000,SAMN14171582,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA858,JAALWP000000000,SAMN14171583,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA860,JAALSB000000000,SAMN14171584,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA863,JAALTN000000000,SAMN14171585,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA864,JAALWO000000000,SAMN14171586,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA866,JAATHH000000000,SAMN14171587,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA874,JAALUZ000000000,SAMN14171589,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA877,JAALXB000000000,SAMN14171590,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA893,JAALWH000000000,SAMN14171591,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA896,JAALOQ000000000,SAMN14171593,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA904,JAALVE000000000,SAMN14171594,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA908,JAALVC000000000,SAMN14171595,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA912,JAALTG000000000,SAMN14171596,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UA913,LGXR00000000,SAMN03940763,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UA923,LGXT00000000,SAMN03940765,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UA925,LGXU00000000,SAMN03940766,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UA935,LGXV00000000,SAMN03940767,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UA938,LGXW00000000,SAMN03940768,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UA939,LGXX00000000,SAMN03940769,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UB355,JAALPO000000000,SAMN14171597,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB365,JAALSP000000000,SAMN14171598,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB470,JAALUN000000000,SAMN14171599,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB472,JAALSF000000000,SAMN14171600,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB473,JAALTH000000000,SAMN14171601,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB475,JAALRH000000000,SAMN14171602,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB480,JAALQH000000000,SAMN14171603,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB481,JAALST000000000,SAMN14171604,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB484,JAALQK000000000,SAMN14171605,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB491,JAALRG000000000,SAMN14171606,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB492,JAALQU000000000,SAMN14171607,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB493,JAALPY000000000,SAMN14171608,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB495,JAALUO000000000,SAMN14171609,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB499,JAALQM000000000,SAMN14171610,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB504,JAALPP000000000,SAMN14171611,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB505,JAALQW000000000,SAMN14171612,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB506,JAALSV000000000,SAMN14171613,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB507,JAALTC000000000,SAMN14171614,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB508,JAALRX000000000,SAMN14171615,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB509,JAALQJ000000000,SAMN14171616,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB510,JAALPN000000000,SAMN14171617,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB512,LGWR00000000,SAMN03940749,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UB513,JAALRU000000000,SAMN14171618,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB514,LPWK00000000,SAMN04346834,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UB516,JAALSL000000000,SAMN14171619,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB519,JAALSN000000000,SAMN14171620,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB524,JAALUL000000000,SAMN14171621,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB525,JAALSD000000000,SAMN14171622,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB526,MIIB00000000,SAMN05721738,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UB527,JAALQZ000000000,SAMN14171623,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB528,JAALQV000000000,SAMN14171624,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB529,JAALQP000000000,SAMN14171625,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB530,JAALSQ000000000,SAMN14171626,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB531,JAALRO000000000,SAMN14171627,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB532,JAALRD000000000,SAMN14171628,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB537,JAALSE000000000,SAMN14171629,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB541,JAALUB000000000,SAMN14171630,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB543,JAALRF000000000,SAMN14171631,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB546,JAALUP000000000,SAMN14171632,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB548,JAALRC000000000,SAMN14171633,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB549,JAALPB000000000,SAMN14171634,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB550,JAALSX000000000,SAMN14171635,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB557,JAALQC000000000,SAMN14171636,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB561,JAALTV000000000,SAMN14171637,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB562,JAALQI000000000,SAMN14171638,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB563,LGWS00000000,SAMN03940750,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UB564,JAALQG000000000,SAMN14171639,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB566,JAALQS000000000,SAMN14171640,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB572,LGWT00000000,SAMN03940751,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UB575,JAALTF000000000,SAMN14171641,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB577,JAALQD000000000,SAMN14171642,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB579,JAALOW000000000,SAMN14171643,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB581,JAALVT000000000,SAMN14171644,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB583,MIIA00000000,SAMN05721739,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UB584,JAALPL000000000,SAMN14171645,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB586,JAALQT000000000,SAMN14171646,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB587,JAALOR000000000,SAMN14171647,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB588,JAALPU000000000,SAMN14171648,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB590,LGWU00000000,SAMN03940752,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UB591,QEKD00000000,SAMN08977788,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UB592,JAALPI000000000,SAMN14171649,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB593,JAALPQ000000000,SAMN14171650,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB594,LGWC00000000,SAMN03940753,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UB596,JAALPR000000000,SAMN14171651,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB597,JAALPV000000000,SAMN14171652,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB598,JAALPG000000000,SAMN14171653,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB599,LGYJ00000000,SAMN03944930,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UB601,JAALQQ000000000,SAMN14171654,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB605,LGWD00000000,SAMN03940754,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UB606,JAALUK000000000,SAMN14171655,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB608,JAALTI000000000,SAMN14171656,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB610,JAALSO000000000,SAMN14171657,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB613,JAALSZ000000000,SAMN14171658,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB614,JAALVB000000000,SAMN14171659,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB615,JAALVI000000000,SAMN14171660,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB619,JAALVG000000000,SAMN14171661,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB635,JAALVU000000000,SAMN14171662,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB641,JAALWR000000000,SAMN14171663,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB644,JAALWZ000000000,SAMN14171664,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB647,JAALPH000000000,SAMN14171665,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB648,JAALTP000000000,SAMN14171666,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB651,JAALSY000000000,SAMN14171667,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB652,JAALRE000000000,SAMN14171668,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB657,MIHZ00000000,SAMN05721740,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UB662,LGYK00000000,SAMN03944931,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UB664,JAALQL000000000,SAMN14171669,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB665,JAALXA000000000,SAMN14171670,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB666,JAALWV000000000,SAMN14171671,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB667,JAALSA000000000,SAMN14171672,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB668,JAALUU000000000,SAMN14171673,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB669,JAALVY000000000,SAMN14171674,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB671,JAALPJ000000000,SAMN14171675,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB672,JAALUM000000000,SAMN14171676,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB674,JAALWI000000000,SAMN14171677,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB675,JAALWB000000000,SAMN14171678,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UB681,JAATHI000000000,SAMN14171679,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UC113,JAALWU000000000,SAMN14171680,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UC121,JAALWY000000000,SAMN14171681,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UC150,JAALPE000000000,SAMN14171682,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UC151,LGXA00000000,SAMN03940727,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UC155,JAALSR000000000,SAMN14171683,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UC16,LGTV00000000,SAMN03940720,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UC17,JAALVQ000000000,SAMN14171684,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UC279,LGXL00000000,SAMN03940738,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UC28,JAALVZ000000000,SAMN14171685,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UC283,JAALTL000000000,SAMN14171686,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UC311,LGXM00000000,SAMN03940739,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UC312,MIHX00000000,SAMN05721742,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UC313,LGXN00000000,SAMN03940740,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UC330,LGXO00000000,SAMN03940741,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UC334,LGXP00000000,SAMN03940742,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UC388,JAALWS000000000,SAMN14171687,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UC50,LMZC00000000,SAMN03940721,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UC54,LGWW00000000,SAMN03940723,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UC554,JAALPC000000000,SAMN14171688,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UC60,LGWX00000000,SAMN03940724,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UC622,MIHW00000000,SAMN05721743,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UC623,LGWE00000000,SAMN03940755,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UC625,JAALWF000000000,SAMN14171689,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UC63,JAALVX000000000,SAMN14171690,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UC678,JAALUT000000000,SAMN14171691,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UC691,JAALSK000000000,SAMN14171692,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UC692,JAALTW000000000,SAMN14171693,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UC693,JAALRJ000000000,SAMN14171694,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UC916,LGXS00000000,SAMN03940764,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UCL356,JAALQO000000000,SAMN14171695,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UCL362,JAALTA000000000,SAMN14171696,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UCL376,JAALUE000000000,SAMN14171697,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UCL378,LGWM00000000,SAMN03940744,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UCL380,QDHX00000000,SAMN08977791,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UCL383,JAALVA000000000,SAMN14171698,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UCL401,LGWP00000000,SAMN03940747,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UCL402,JAALSG000000000,SAMN14171699,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UCL414,JAALTZ000000000,SAMN14171700,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UCL428,QDHS00000000,SAMN08977797,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UCL430,JAALRZ000000000,SAMN14171701,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UCL438,JAALRV000000000,SAMN14171702,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UCL441,JAALTB000000000,SAMN14171703,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UCL443,JAALSM000000000,SAMN14171704,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UCL446,JAALQY000000000,SAMN14171705,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UCL454,QEKA00000000,SAMN08977802,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UCL456,JAALRY000000000,SAMN14171706,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UCL720,MIHU00000000,SAMN05721745,PRJNA291213,NA,S,S,S,S,S,R,S,S,S,S
UCL729,JAALOU000000000,SAMN14171707,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UCL739,JAALOP000000000,SAMN14171708,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UE1105,JAALRB000000000,SAMN14171709,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UE1110,JAATHG000000000,SAMN14171710,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
UE1116,JAALRW000000000,SAMN14171711,PRJNA595928,NA,S,S,S,S,S,R,S,S,S,S
