SRA_run,BioSample_ID,isolate_name,isolation_latitude,isolation_longitude,ERS Number,MLST,spa,SCCMec,isolation_country,city,source,HosCom,mrsa,mrsa__groupcolour,PEN_phenotype,FOX_phenotype,CIP_phenotype,MFX_phenotype,AMK_phenotype,GEN_phenotype,TOB_phenotype,ERY_phenotype,CLI_phenotype,TCY_phenotype,FUS_phenotype,MUP_phenotype,RIF_phenotype,TMP_phenotype
ERR033294,SAMEA698695,223_ES_125,41.50335,-5.746279,ERS026979,125,t067,IVc,Spain,ZAMORA,BC,HA,1,#ED462F,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,resistant,,,,,
ERR033531,SAMEA698529,224_ES_125,39.98607,-0.036,ERS026987,125,t067,IVc,Spain,CASTELLON De LA PLANA,BC,CO,1,#ED462F,resistant,resistant,resistant,resistant,resistant,,resistant,,,,,,,
ERR033525,SAMEA698515,225_ES_125,40.34912,-3.828811,ERS026982,125,t067,IVa,Spain,Alcorcon,BC,CO,1,#FFF734,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,,,,,,
ERR033527,SAMEA698363,226_ES_125,40.34912,-3.828811,ERS026991,125,t837,IV,Spain,Alcorcon,BC,HA,1,#FFF734,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,,,,,,
ERR033299,SAMEA698690,227_ES_125,42.34087,-3.699731,ERS026974,125,t067,IVc,Spain,BURGOS,BC,CO,1,#ED462F,resistant,resistant,resistant,resistant,,resistant,resistant,resistant,,,,,,
ERR033532,SAMEA698528,228_ES_125,39.98607,-0.036,ERS026986,125,t067,IV,Spain,CASTELLON De LA PLANA,BC,CO,1,#ED462F,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,,,,,,
ERR033300,SAMEA698685,229_ES_125,43.22142,-2.813527,ERS026973,125,t067,IV,Spain,GALDAKAO,BC,CO,1,#FFF734,resistant,resistant,resistant,resistant,resistant,,resistant,,,,,,,
ERR033558,SAMEA698402,23_PL_45,53.13035,18.02686,ERS026938,45,t1574,IVc,Poland,Bydgoszcz,BC,HA,1,#FFF734,resistant,resistant,,,,,,,,,,,,
ERR033302,SAMEA698682,230_ES_125,41.7636,-2.464921,ERS026971,125,t067,IVc,Spain,SORIA,BC,HA,1,#FFF734,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,,,,,,
ERR033491,SAMEA698574,232_DE_5,48.68567,9.015253,ERS026820,5,t002,II,Germany,Boeblingen,BC,CO,1,#ED462F,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,resistant,,,,,
ERR033400:ERR033646,SAMEA698203,233_GR_5,37.97918,23.71665,ERS026833,5,t002,II,Greece,Athens,BC,,1,#FFF734,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,resistant,,,,,
ERR033359,SAMEA698544,234_CZ_5,49.75616,16.46947,ERS026727,5,t002,II,Czech,Svitavy,BC,HA,1,#ED462F,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,resistant,,,,,
ERR033702,SAMEA698730,235_IT_5,41.97763,12.46632,ERS026889,5,t242,II,Italy,Roma,BC,HA,1,#FFF734,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,resistant,,,,,
ERR033516,SAMEA698448,236_PT_105,40.21149,-8.429201,ERS026953,105,t002,II,Portugal,Coimbra,BC,HA,1,#FFF734,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,resistant,,,,,
ERR033501:ERR038669,SAMEA698474,24_FR_2876,48.7991,2.262465,ERS026775,2876,t1510,,France,CLAMART,BC,HA,0,#FFF734,resistant,,,,,,,,,,,,,
ERR033403:ERR033649,SAMEA698200,240_DE_225,51.29434,13.53506,ERS026830,225,t003,II,Germany,Grossenhain,BC,CO,1,#ED462F,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,resistant,,,,,
ERR033404:ERR033650,SAMEA698581,241_DE_225,51.76078,14.32748,ERS026829,225,t003,II,Germany,Cottbus,PF,HA,1,#ED462F,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,resistant,,,,,
ERR033494,SAMEA698437,242_DE_225,50.11151,8.680506,ERS026816,225,t003,II,Germany,Frankfurt am Main,BC,HA,1,#ED462F,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,resistant,,,,,
ERR033478,SAMEA698281,243_DE_225,47.86995,12.64545,ERS026809,225,t003,II,Germany,Traunstein,BC,,1,#ED462F,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,resistant,,,,,
ERR033489,SAMEA698572,244_DE_225,51.33968,12.3713,ERS026822,225,t003,II,Germany,Leipzig,BC,HA,1,#ED462F,resistant,resistant,resistant,resistant,,,,resistant,resistant,,,,,
ERR033482,SAMEA698283,245_DE_225,54.0972,13.38801,ERS026805,225,t1568,II,Germany,Greifswald,CSF,CO,1,#ED462F,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,resistant,,resistant,,,
ERR033396:ERR033642,SAMEA698576,246_DE_225,50.927,11.58701,ERS026826,225,t003,II,Germany,Jena,BC,,1,#FFF734,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,resistant,,resistant,,,
ERR033356,SAMEA698617,247_CZ_225,49.22686,17.66898,ERS026716,225,t003,II,Czech,Zlin,BC,HA,1,#FFF734,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,resistant,,,,,
ERR033360,SAMEA698543,248_CZ_225,50.03053,14.45494,ERS026726,225,t003,II,Czech,Praha,BC,HA,1,#FFF734,resistant,resistant,resistant,resistant,resistant,,resistant,resistant,resistant,,,,,
