Run,ArrayExpress-SPECIES,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sample_Name,SRA Study,STRAIN,Submitter_Id,ShortName,NAME,Azithromycin,Ceftriaxone,Cefixime,Ciprofloxacin,Penicillin,Sulfonamides,Spectinomycin,Tetracycline
ERR1680305,Neisseria gonorrhoeae,WGS,BioProject23,250,731823750,PRJEB9227,SAMEA3431704,139162247,THE WELLCOME TRUST SANGER INSTITUTE,public,"cram,sra","s3,ena","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749922,SAMEA3431704,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:24:37Z,public,Illumina HiSeq 2000,15088165,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3431704,HU13_089-sc-2287025,ERP010312,HU13_089,HU13_089-sc-2287025,HU13_089,ECDC_HU13_089,0,0,1,1,1,1,0,1
ERR1680306,Neisseria gonorrhoeae,WGS,BioProject23,250,837881500,PRJEB9227,SAMEA3431705,164885713,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","s3,ena","s3.us-east-1,ena",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749923,SAMEA3431705,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:24:30Z,public,Illumina HiSeq 2000,15088177,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3431705,HU13_086-sc-2287026,ERP010312,HU13_086,HU13_086-sc-2287026,HU13_086,ECDC_HU13_086,0,0,1,1,1,1,0,1
ERR1680307,Neisseria gonorrhoeae,WGS,BioProject23,250,873949250,PRJEB9227,SAMEA3431708,165507501,THE WELLCOME TRUST SANGER INSTITUTE,public,"cram,sra","ena,s3","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749924,SAMEA3431708,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:23:58Z,public,Illumina HiSeq 2000,15088094,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3431708,HU13_082-sc-2287032,ERP010312,HU13_082,HU13_082-sc-2287032,HU13_082,ECDC_HU13_082,0,0,0,1,1,1,0,1
ERR1680308,Neisseria gonorrhoeae,WGS,BioProject23,250,798876500,PRJEB9227,SAMEA3431713,159629475,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","ena,s3","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749925,SAMEA3431713,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:24:00Z,public,Illumina HiSeq 2000,15088106,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3431713,HU13_076-sc-2287042,ERP010312,HU13_076,HU13_076-sc-2287042,HU13_076,ECDC_HU13_076,0,0,0,1,1,1,0,1
ERR1680309,Neisseria gonorrhoeae,WGS,NC_002946.2,250,833918500,PRJEB9227,SAMEA3431721,168300364,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","ena,s3","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749926,SAMEA3431721,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:25:03Z,public,Illumina HiSeq 2000,15088118,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3431721,HU13_065-sc-2287059,ERP010312,HU13_065,HU13_065-sc-2287059,HU13_065,ECDC_HU13_065,0,0,1,1,1,1,0,1
ERR1680310,Neisseria gonorrhoeae,WGS,BioProject23,250,826456250,PRJEB9227,SAMEA3431744,158397564,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","ena,s3","s3.us-east-1,ena",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749927,SAMEA3431744,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:24:02Z,public,Illumina HiSeq 2000,15088130,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3431744,SK13_112-sc-2287092,ERP010312,SK13_112,SK13_112-sc-2287092,SK13_112,ECDC_SK13_112,0,0,1,1,1,1,0,1
ERR1680311,Neisseria gonorrhoeae,WGS,BioProject23,250,923070750,PRJEB9227,SAMEA3431745,177451249,THE WELLCOME TRUST SANGER INSTITUTE,public,"cram,sra","ena,s3","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749928,SAMEA3431745,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:23:45Z,public,Illumina HiSeq 2000,15088142,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3431745,SK13_110-sc-2287093,ERP010312,SK13_110,SK13_110-sc-2287093,SK13_110,ECDC_SK13_110,0,0,0,1,1,1,0,1
ERR1680312,Neisseria gonorrhoeae,WGS,BioProject23,250,910806750,PRJEB9227,SAMEA3431749,172922529,THE WELLCOME TRUST SANGER INSTITUTE,public,"cram,sra","ena,s3","s3.us-east-1,ena",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749929,SAMEA3431749,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:24:50Z,public,Illumina HiSeq 2000,15088154,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3431749,SK13_105-sc-2287097,ERP010312,SK13_105,SK13_105-sc-2287097,SK13_105,ECDC_SK13_105,0,0,0,1,1,1,0,1
ERR1680313,Neisseria gonorrhoeae,WGS,BioProject23,250,909592000,PRJEB9227,SAMEA3431957,181321495,THE WELLCOME TRUST SANGER INSTITUTE,public,"cram,sra","ena,s3","ena,s3.us-east-1",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749930,SAMEA3431957,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T13:23:46Z,public,Illumina HiSeq 2000,15088166,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3431957,BE13_451-sc-2287308,ERP010312,BE13_451,BE13_451-sc-2287308,BE13_451,ECDC_BE13_451,0,0,0,0,0,0,0,0
ERR1680314,Neisseria gonorrhoeae,WGS,BioProject23,250,869523250,PRJEB9227,SAMEA3468086,166668849,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram","s3,ena","s3.us-east-1,ena",2016-10-11,2016-10-11,2018-11-16,2018-03-09,ERX1749931,SAMEA3468086,SC,Wellcome Sanger Institute,2016-10-11T16:22:19Z,2018-03-09T10:16:52Z,public,Illumina HiSeq 2000,15088178,PAIRED,RANDOM,GENOMIC,Neisseria gonorrhoeae,ILLUMINA,2016-10-12T00:00:00Z,SAMEA3468086,GE13_057-sc-2287486,ERP010312,GE13-057,GE13_057-sc-2287486,GE13_057,ECDC_GE13_057,0,0,1,1,1,1,0,1
