Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,STRAIN,SAMPLE_TYPE,BIOMATERIAL_PROVIDER,host_tissue_sampled,Host_disease,collected_by,Lat_Lon,Clinical_isolate_IDs,Actual_MICs,CountryOfOrigin,Host
RWRD00000000,NA,NA,NA,PRJNA325248,SAMN10478248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,0.05,Canada,Human
RWRC00000000,NA,NA,NA,PRJNA325248,SAMN10478249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,0.25,Canada,Human
RWRB00000000,NA,NA,NA,PRJNA325248,SAMN10478250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,1(I),Canada,Human
RWRA00000000,NA,NA,NA,PRJNA325248,SAMN10478251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0.5(S),Canada,Human
RWQZ00000000,NA,NA,NA,PRJNA325248,SAMN10478252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,0.5(S),Canada,Human
RWQY00000000,NA,NA,NA,PRJNA325248,SAMN10478253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,0.5,Canada,Human
RWQX00000000,NA,NA,NA,PRJNA325248,SAMN10478254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,0.05,Canada,Human
RWQW00000000,NA,NA,NA,PRJNA325248,SAMN10478255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,0.25,Canada,Human
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,0.05,Canada,Human
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,0.5,Canada,Human
RXEU00000000,NA,NA,NA,PRJNA325248,SAMN10478430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369,0.125,Australia,Environmental
RXDR00000000,NA,NA,NA,PRJNA325248,SAMN10478459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,532,1(I),Australia,Human
NSVV00000000,NA,NA,NA,PRJNA325248,SAMN07424008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534,0.5(S),Australia,Human
NSVD00000000,NA,NA,NA,PRJNA325248,SAMN07424026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664,>4,Columbia,Hospital
NSVB00000000,NA,NA,NA,PRJNA325248,SAMN07424028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669,>4,Panama,Human
NSVA00000000,NA,NA,NA,PRJNA325248,SAMN07424029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,677,2(R),Bulgaria,Human
NSUZ00000000,NA,NA,NA,PRJNA325248,SAMN07424030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688,0.25,France,Human
NSUY00000000,NA,NA,NA,PRJNA325248,SAMN07424031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689,0.25,France,Human
NSUX00000000,NA,NA,NA,PRJNA325248,SAMN07424032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,690,0.5,France,Human
NSUW00000000,NA,NA,NA,PRJNA325248,SAMN07424033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,691,0.5,France,Human
NSUV00000000,NA,NA,NA,PRJNA325248,SAMN07424034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,692,0.25,France,Human
NSUU00000000,NA,NA,NA,PRJNA325248,SAMN07424035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,693,0.25,France,Human
NSUT00000000,NA,NA,NA,PRJNA325248,SAMN07424036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,694,0.25,France,Human
NSUS00000000,NA,NA,NA,PRJNA325248,SAMN07424037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695,0.25,France,Human
NSUR00000000,NA,NA,NA,PRJNA325248,SAMN07424038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696,0.25,France,Animal
NSUQ00000000,NA,NA,NA,PRJNA325248,SAMN07424039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,698,0.25,Mexico,Environmental
NSUP00000000,NA,NA,NA,PRJNA325248,SAMN07424040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699,0.25,Belgium,Environmental
NSUO00000000,NA,NA,NA,PRJNA325248,SAMN07424041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,2(R),Canada,clinical
NSUN00000000,NA,NA,NA,PRJNA325248,SAMN07424042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,703,0.25,United Kingdom,Plant
NSUL00000000,NA,NA,NA,PRJNA325248,SAMN07424044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,706,>4,Georgian Republic,Human
NSUK00000000,NA,NA,NA,PRJNA325248,SAMN07424045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710,0.5,Belgium,Human
NSUJ00000000,NA,NA,NA,PRJNA325248,SAMN07424046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,713,1(I),Belgium,Human
LZQK00000000,NA,NA,NA,PRJNA294726,SAMN04029209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,714,0.5,Belgium,Human
NSUI00000000,NA,NA,NA,PRJNA325248,SAMN07424047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,715,1(I),Canada,Human
NSUH00000000,NA,NA,NA,PRJNA325248,SAMN07424048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,718,>4,Colombia,Human
NSUG00000000,NA,NA,NA,PRJNA325248,SAMN07424049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720,1(I),India,Animal
NSUF00000000,NA,NA,NA,PRJNA325248,SAMN07424050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723,0.25,United Kingdom,Animal
NSUE00000000,NA,NA,NA,PRJNA325248,SAMN07424051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725,0.25,United Kingdom,Animal
NSUD00000000,NA,NA,NA,PRJNA325248,SAMN07424052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,727,0.25,USA,Human
NSUC00000000,NA,NA,NA,PRJNA325248,SAMN07424053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,728,0.25,United Kingdom,Human
NSUB00000000,NA,NA,NA,PRJNA325248,SAMN07424054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,729,0.25,United Kingdom,Human
NSUA00000000,NA,NA,NA,PRJNA325248,SAMN07424055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730,0.25,United Kingdom,Human
NSTZ00000000,NA,NA,NA,PRJNA325248,SAMN07424056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731,0.25,United Kingdom,Human
NSTY00000000,NA,NA,NA,PRJNA325248,SAMN07424057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,733,0.25,USA,Human
NSTX00000000,NA,NA,NA,PRJNA325248,SAMN07424058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,734,0.25,United Kingdom,Human
NSTW00000000,NA,NA,NA,PRJNA325248,SAMN07424059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,736,0.25,United Kingdom,Human
NSTV00000000,NA,NA,NA,PRJNA325248,SAMN07424060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737,0.25,United Kingdom,Human
NSTU00000000,NA,NA,NA,PRJNA325248,SAMN07424061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738,0.5,United Kingdom,Human
NSTT00000000,NA,NA,NA,PRJNA325248,SAMN07424062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740,0.25,Tunisia,Environmental
NSTS00000000,NA,NA,NA,PRJNA325248,SAMN07424063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742,0.25,USA,Animal
NSTR00000000,NA,NA,NA,PRJNA325248,SAMN07424064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744,0.25,USA,Animal
NSTQ00000000,NA,NA,NA,PRJNA325248,SAMN07424065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,747,0.25,Japan,Environmental
RXDE00000000,NA,NA,NA,PRJNA325248,SAMN10478472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,748,0.25,Japan,Environmental
NSTP00000000,NA,NA,NA,PRJNA325248,SAMN07424066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,749,0.25,Japan,Environmental
RXDD00000000,NA,NA,NA,PRJNA325248,SAMN10478473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,0.25,Japan,Environmental
RXFL00000000,NA,NA,NA,PRJNA325248,SAMN10478474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,0.25,Japan,Environmental
NSTO00000000,NA,NA,NA,PRJNA325248,SAMN07424067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,752,0.25,Japan,Environmental
RXDC00000000,NA,NA,NA,PRJNA325248,SAMN10478475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754,0.25,Japan,Environmental
RXDB00000000,NA,NA,NA,PRJNA325248,SAMN10478476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,755,0.25,Japan,Environmental
NSTN00000000,NA,NA,NA,PRJNA325248,SAMN07424068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756,0.25,Japan,Animal
NSTM00000000,NA,NA,NA,PRJNA325248,SAMN07424069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757,0.25,Japan,Environmental
RXDA00000000,NA,NA,NA,PRJNA325248,SAMN10478477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,758,0.25,Japan,Environmental
RXCZ00000000,NA,NA,NA,PRJNA325248,SAMN10478478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,759,0.25,Japan,Environmental
RXCY00000000,NA,NA,NA,PRJNA325248,SAMN10478479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760,0.25,Japan,Environmental
RXCX00000000,NA,NA,NA,PRJNA325248,SAMN10478480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,761,0.25,Japan,Environmental
RXCW00000000,NA,NA,NA,PRJNA325248,SAMN10478481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762,0.25,Japan,Environmental
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,769,0.25,Portugal,Animal
NSTL00000000,NA,NA,NA,PRJNA325248,SAMN07424070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775,0.25,Portugal,Animal
NSTK00000000,NA,NA,NA,PRJNA325248,SAMN07424071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,776,0.25,Portugal,Animal
NSTJ00000000,NA,NA,NA,PRJNA325248,SAMN07424072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780,0.5,Portugal,Animal
NSTI00000000,NA,NA,NA,PRJNA325248,SAMN07424073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782,1(I),Portugal,Animal
NSTH00000000,NA,NA,NA,PRJNA325248,SAMN07424074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,785,0.5,Portugal,Animal
NSTG00000000,NA,NA,NA,PRJNA325248,SAMN07424075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,786,0.25,Portugal,Animal
NSTF00000000,NA,NA,NA,PRJNA325248,SAMN07424076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,789,0.25,Portugal,Animal
NSTE00000000,NA,NA,NA,PRJNA325248,SAMN07424077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790,0.25,Portugal,Animal
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,792,0.25,Portugal,Animal
NSTD00000000,NA,NA,NA,PRJNA325248,SAMN07424078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,796,0.25,Portugal,Animal
NSTC00000000,NA,NA,NA,PRJNA325248,SAMN07424079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,797,1(I),Portugal,Animal
LZQG00000000,NA,NA,NA,PRJNA294726,SAMN04029210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810,1(I),United Kingdom,Human
LZQF00000000,NA,NA,NA,PRJNA294726,SAMN04029211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,811,2(R),United Kingdom,Human
RXCV00000000,NA,NA,NA,PRJNA325248,SAMN10478482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,824,0.5,Belgium,Environmental
RXCU00000000,NA,NA,NA,PRJNA325248,SAMN10478483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,825,0.25,Belgium,Environmental
RXCT00000000,NA,NA,NA,PRJNA325248,SAMN10478484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,826,4(R),Belgium,Environmental
RXCS00000000,NA,NA,NA,PRJNA325248,SAMN10478485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,828,0.25,Belgium,Environmental
NSTB00000000,NA,NA,NA,PRJNA325248,SAMN07424080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,830,0.25,Belgium,Environmental
RXCQ00000000,NA,NA,NA,PRJNA325248,SAMN10478487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,831,0.25,Belgium,Environmental
NSTA00000000,NA,NA,NA,PRJNA325248,SAMN07424081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,838,2(R),Belgium,Human
LZQE00000000,NA,NA,NA,PRJNA294726,SAMN04029213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,852,2(R),United Kingdom,Human
NSSZ00000000,NA,NA,NA,PRJNA325248,SAMN07424082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,856,0.25,USA,Human
NSSY00000000,NA,NA,NA,PRJNA325248,SAMN07424083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,858,2(R),Germany,Human
NSSX00000000,NA,NA,NA,PRJNA325248,SAMN07424084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,860,0.25,USA,Human
NSSW00000000,NA,NA,NA,PRJNA325248,SAMN07424085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,867,0.25,USA,Human
LZQI00000000,NA,NA,NA,PRJNA294726,SAMN04029214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,871,>4,Belgium,Human
NSSV00000000,NA,NA,NA,PRJNA325248,SAMN07424086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,875,0.25,Benin,Environmental
NSSU00000000,NA,NA,NA,PRJNA325248,SAMN07424087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,877,0.25,Puerto Rico,Environmental
NSST00000000,NA,NA,NA,PRJNA325248,SAMN07424088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,878,0.25,Puerto Rico,Environmental
NSSS00000000,NA,NA,NA,PRJNA325248,SAMN07424089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,879,4(R),Congo,Human
NSSR00000000,NA,NA,NA,PRJNA325248,SAMN07424090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,880,1(I),Philippines,Human
NSSQ00000000,NA,NA,NA,PRJNA325248,SAMN07424091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,881,0.25,Germany,Environmental
NSSP00000000,NA,NA,NA,PRJNA325248,SAMN07424092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,884,0.25,Tunisia,Human
