isolate_id,taxon_name,sample_name,AMC,AMI,AMP,AMS,AMX,AZT,CAZ,CEP,CFZ,CHL,CIP,CL,CLI,CRO,CTX,CXM,DOR,DOX,ERP,ERY,FA,FEP,FOX,GEN,IMI,KAN,LEV,MET,MIN,MRP,NAL,NIT,NMN,OFL,OXA,PEN,PTZ,RIF,SIZ,SPT,STR,SXT,TCC,TET,TGC,TMP,TOB,study_accession,secondary_sample_accession,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp
112464,Acinetobacter baumannii,SAMEA1466011,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,R,NA,NA,NA,NA,R,NA,PRJEB2801,ERS083408,ERX087534,ERR110100,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR110/ERR110100/ERR110100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR110/ERR110100/ERR110100_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR110/ERR110100/7468_2#93.bam,NA
112465,Acinetobacter baumannii,SAMEA1466028,NA,R,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,R,R,NA,R,R,NA,R,NA,PRJEB2801,ERS083410,ERX087536,ERR110102,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR110/ERR110102/ERR110102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR110/ERR110102/ERR110102_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR110/ERR110102/7468_2#95.bam,NA
112466,Acinetobacter baumannii,SAMEA1466052,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,R,R,NA,NA,NA,R,R,NA,R,NA,NA,NA,NA,NA,NA,R,R,NA,R,R,NA,R,NA,PRJEB2801,ERS083394,ERX087520,ERR110086,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR110/ERR110086/ERR110086_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR110/ERR110086/ERR110086_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR110/ERR110086/7468_2#79.bam,NA
112467,Acinetobacter baumannii,SAMEA1466056,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,R,NA,NA,NA,NA,R,NA,PRJEB2801,ERS083375,ERX087501,ERR110067,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR110/ERR110067/ERR110067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR110/ERR110067/ERR110067_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR110/ERR110067/7468_2#60.bam,NA
112468,Acinetobacter baumannii,SAMEA1466082,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,R,NA,NA,NA,NA,R,NA,PRJEB2801,ERS083406,ERX087532,ERR110098,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR110/ERR110098/ERR110098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR110/ERR110098/ERR110098_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR110/ERR110098/7468_2#91.bam,NA
113141,Acinetobacter baumannii,SAMEA1709744,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,R,NA,NA,R,NA,R,NA,PRJEB2801,ERS192816,ERX223822,ERR249288,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR249/ERR249288/ERR249288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR249/ERR249288/ERR249288_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR249/ERR249288/9179_4#76.bam,NA
133165,Acinetobacter baumannii,SAMEA1709749,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,R,NA,R,R,PRJEB2801,ERS192746,ERX223752,ERR249218,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR249/ERR249218/ERR249218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR249/ERR249218/ERR249218_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR249/ERR249218/9179_4#6.bam,NA
113142,Acinetobacter baumannii,SAMEA1709843,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,R,NA,NA,R,NA,R,NA,PRJEB2801,ERS192825,ERX223831,ERR249297,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR249/ERR249297/ERR249297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR249/ERR249297/ERR249297_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR249/ERR249297/9179_4#85.bam,NA
113143,Acinetobacter baumannii,SAMEA1709848,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,R,NA,NA,R,NA,R,NA,PRJEB2801,ERS192822,ERX223828,ERR249294,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR249/ERR249294/ERR249294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR249/ERR249294/ERR249294_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR249/ERR249294/9179_4#82.bam,NA
113144,Acinetobacter baumannii,SAMEA1709886,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,R,NA,NA,R,NA,R,NA,PRJEB2801,ERS192820,ERX223826,ERR249292,470,Acinetobacter baumannii,ftp.sra.ebi.ac.uk/vol1/fastq/ERR249/ERR249292/ERR249292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR249/ERR249292/ERR249292_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR249/ERR249292/9179_4#80.bam,NA
