run_accession,study_accession,Sample,tax_id,scientific_name,submitted_ftp,Isolate,Supplier (Geographic origin),TOB,MIC*,CIP,MIC*2,MEM,MIC*3,CAZ,MIC*4
SRR8737544,PRJNA526797,SAMN11110737,287,Pseudomonas aeruginosa,NA,ZG5003493,Private practice laboratory (Leipzig),S,4,I,2,R,8,S,4
SRR8737545,PRJNA526797,SAMN11110734,287,Pseudomonas aeruginosa,NA,ZG316716,Private practice laboratory (Goerlitz),S,1,S,0.125,S,0.25,S,2
SRR8737546,PRJNA526797,SAMN11110735,287,Pseudomonas aeruginosa,NA,ZG316722,Private practice laboratory (Goerlitz),S,1,S,0.125,S,1,S,4
SRR8737547,PRJNA526797,SAMN11110732,287,Pseudomonas aeruginosa,NA,ZG316694,Private practice laboratory (Goerlitz),S,1,S,0.25,S,0.5,S,2
SRR8737548,PRJNA526797,SAMN11110733,287,Pseudomonas aeruginosa,NA,ZG316704,Private practice laboratory (Goerlitz),S,1,S,0.125,S,1,S,4
SRR8737549,PRJNA526797,SAMN11110525,287,Pseudomonas aeruginosa,NA,ESP078,University Hospital Palma de Mallorca (Spain),R,256,R,128,R,64,R,64
SRR8737550,PRJNA526797,SAMN11110740,287,Pseudomonas aeruginosa,ftp.sra.ebi.ac.uk/vol1/run/SRR873/SRR8737550/ZG5051896.bam;ftp.sra.ebi.ac.uk/vol1/run/SRR873/SRR8737550/ZG5051896.bam.bai,ZG5051896,Private practice laboratory (Leipzig),R,1024,R,32,R,32,R,64
SRR8737551,PRJNA526797,SAMN11110741,287,Pseudomonas aeruginosa,NA,ZG5089456,Private practice laboratory (Leipzig),R,128,R,64,R,64,R,32
SRR8737552,PRJNA526797,SAMN11110461,287,Pseudomonas aeruginosa,NA,CH5550,Charité Berlin (Berlin),S,4,R,4,R,8,S,8
SRR8737553,PRJNA526797,SAMN11110470,287,Pseudomonas aeruginosa,NA,CH5695,Charité Berlin (Berlin),R,1024,R,32,R,8,R,256
SRR8737554,PRJNA526797,SAMN11110526,287,Pseudomonas aeruginosa,NA,ESP079,University Hospital Palma de Mallorca (Spain),R,64,R,256,R,16,I,16
SRR8737555,PRJNA526797,SAMN11110571,287,Pseudomonas aeruginosa,NA,F1883,University Hospital Frankfurt (Frankfurt),S,2,R,4,R,16,I,16
SRR8737556,PRJNA526797,SAMN11110570,287,Pseudomonas aeruginosa,NA,F1880,University Hospital Frankfurt (Frankfurt),S,4,I,2,R,16,S,8
SRR8737557,PRJNA526797,SAMN11110563,287,Pseudomonas aeruginosa,NA,F1812,University Hospital Frankfurt (Frankfurt),R,512,R,16,I,4,S,2
SRR8737558,PRJNA526797,SAMN11110562,287,Pseudomonas aeruginosa,NA,F1810,University Hospital Frankfurt (Frankfurt),R,128,R,32,R,512,R,1024
SRR8737559,PRJNA526797,SAMN11110565,287,Pseudomonas aeruginosa,NA,F1823,University Hospital Frankfurt (Frankfurt),S,0.5,I,2,R,16,I,16
SRR8737560,PRJNA526797,SAMN11110414,287,Pseudomonas aeruginosa,NA,CH4602,Charité Berlin (Berlin),S,0.25,S,1,S,0.25,S,1
SRR8737561,PRJNA526797,SAMN11110413,287,Pseudomonas aeruginosa,NA,CH4591,Charité Berlin (Berlin),S,0.5,I,2,I,4,S,1
SRR8737562,PRJNA526797,SAMN11110412,287,Pseudomonas aeruginosa,NA,CH4584,Charité Berlin (Berlin),I,8,R,64,R,16,R,32
SRR8737563,PRJNA526797,SAMN11110419,287,Pseudomonas aeruginosa,NA,CH4704,Charité Berlin (Berlin),S,2,S,0.5,R,8,R,32
SRR8737564,PRJNA526797,SAMN11110418,287,Pseudomonas aeruginosa,NA,CH4703,Charité Berlin (Berlin),S,4,I,2,R,8,R,256
SRR8737565,PRJNA526797,SAMN11110417,287,Pseudomonas aeruginosa,NA,CH4684,Charité Berlin (Berlin),S,1,S,1,S,0.5,I,16
SRR8737566,PRJNA526797,SAMN11110416,287,Pseudomonas aeruginosa,NA,CH4681,Charité Berlin (Berlin),S,0.125,S,0.06,S,1,R,32
SRR8737567,PRJNA526797,SAMN11110441,287,Pseudomonas aeruginosa,NA,CH5174,Charité Berlin (Berlin),R,256,R,64,R,128,R,1024
SRR8737568,PRJNA526797,SAMN11110440,287,Pseudomonas aeruginosa,NA,CH5159,Charité Berlin (Berlin),R,1024,R,32,S,1,R,128
SRR8737569,PRJNA526797,SAMN11110435,287,Pseudomonas aeruginosa,NA,CH4990,Charité Berlin (Berlin),S,1,S,0.5,R,16,I,16
SRR8737570,PRJNA526797,SAMN11110434,287,Pseudomonas aeruginosa,NA,CH4916,Charité Berlin (Berlin),S,0.25,S,0.125,R,16,R,32
SRR8737571,PRJNA526797,SAMN11110433,287,Pseudomonas aeruginosa,NA,CH4914,Charité Berlin (Berlin),S,0.25,S,1,S,0.25,S,1
SRR8737572,PRJNA526797,SAMN11110432,287,Pseudomonas aeruginosa,NA,CH4891,Charité Berlin (Berlin),S,1,S,0.5,S,1,S,8
SRR8737573,PRJNA526797,SAMN11110439,287,Pseudomonas aeruginosa,NA,CH5066,Charité Berlin (Berlin),S,1,S,0.5,S,1,R,32
SRR8737574,PRJNA526797,SAMN11110438,287,Pseudomonas aeruginosa,NA,CH5052,Charité Berlin (Berlin),R,16,R,4,I,4,S,1
SRR8737575,PRJNA526797,SAMN11110437,287,Pseudomonas aeruginosa,NA,CH5022,Charité Berlin (Berlin),R,1024,R,16,R,128,I,16
SRR8737576,PRJNA526797,SAMN11110436,287,Pseudomonas aeruginosa,NA,CH4992,Charité Berlin (Berlin),S,0.5,R,16,I,4,S,8
SRR8737577,PRJNA526797,SAMN11110350,287,Pseudomonas aeruginosa,NA,CH2665,Charité Berlin (Berlin),R,512,R,128,R,64,R,512
SRR8737578,PRJNA526797,SAMN11110351,287,Pseudomonas aeruginosa,NA,CH2672,Charité Berlin (Berlin),S,0.125,R,16,R,8,S,2
SRR8737579,PRJNA526797,SAMN11110346,287,Pseudomonas aeruginosa,NA,CH2639,Charité Berlin (Berlin),R,1024,R,32,R,8,R,128
SRR8737580,PRJNA526797,SAMN11110347,287,Pseudomonas aeruginosa,NA,CH2657,Charité Berlin (Berlin),R,256,R,8,R,64,S,4
SRR8737581,PRJNA526797,SAMN11110348,287,Pseudomonas aeruginosa,NA,CH2658,Charité Berlin (Berlin),S,1,R,8,R,8,I,16
SRR8737582,PRJNA526797,SAMN11110349,287,Pseudomonas aeruginosa,NA,CH2660,Charité Berlin (Berlin),S,0.25,S,1,R,8,R,64
SRR8737583,PRJNA526797,SAMN11110342,287,Pseudomonas aeruginosa,NA,CH2597,Charité Berlin (Berlin),S,1,I,2,S,1,I,16
SRR8737584,PRJNA526797,SAMN11110474,287,Pseudomonas aeruginosa,NA,ESP006,University Hospital Palma de Mallorca (Spain),R,16,S,1,S,0.125,S,2
SRR8737585,PRJNA526797,SAMN11110473,287,Pseudomonas aeruginosa,NA,ESP004,University Hospital Palma de Mallorca (Spain),R,128,S,0.25,S,2,S,2
SRR8737586,PRJNA526797,SAMN11110472,287,Pseudomonas aeruginosa,NA,ESP003,University Hospital Palma de Mallorca (Spain),S,2,S,0.125,S,0.125,S,1
SRR8737587,PRJNA526797,SAMN11110598,287,Pseudomonas aeruginosa,NA,F2073,University Hospital Frankfurt (Frankfurt),R,64,R,32,R,64,R,128
SRR8737588,PRJNA526797,SAMN11110599,287,Pseudomonas aeruginosa,NA,F2075,University Hospital Frankfurt (Frankfurt),S,1,R,4,I,4,R,32
SRR8737589,PRJNA526797,SAMN11110596,287,Pseudomonas aeruginosa,NA,F2064,University Hospital Frankfurt (Frankfurt),R,256,R,32,R,512,R,1024
SRR8737590,PRJNA526797,SAMN11110597,287,Pseudomonas aeruginosa,NA,F2065,University Hospital Frankfurt (Frankfurt),S,0.5,I,2,R,8,I,16
SRR8737591,PRJNA526797,SAMN11110594,287,Pseudomonas aeruginosa,NA,F2056,University Hospital Frankfurt (Frankfurt),R,64,R,32,R,8,I,16
SRR8737592,PRJNA526797,SAMN11110595,287,Pseudomonas aeruginosa,NA,F2059,University Hospital Frankfurt (Frankfurt),R,64,R,32,R,16,I,16
SRR8737593,PRJNA526797,SAMN11110592,287,Pseudomonas aeruginosa,NA,F2054,University Hospital Frankfurt (Frankfurt),R,1024,R,64,R,512,R,128
SRR8737594,PRJNA526797,SAMN11110593,287,Pseudomonas aeruginosa,NA,F2055,University Hospital Frankfurt (Frankfurt),R,64,R,8,R,16,R,128
SRR8737595,PRJNA526797,SAMN11110600,287,Pseudomonas aeruginosa,NA,F2081,University Hospital Frankfurt (Frankfurt),S,0.5,I,2,R,8,I,16
SRR8737596,PRJNA526797,SAMN11110601,287,Pseudomonas aeruginosa,NA,F2084,University Hospital Frankfurt (Frankfurt),S,0.5,S,1,I,4,I,16
SRR8737597,PRJNA526797,SAMN11110457,287,Pseudomonas aeruginosa,NA,CH5478,Charité Berlin (Berlin),S,0.5,S,0.25,R,16,I,16
SRR8737598,PRJNA526797,SAMN11110453,287,Pseudomonas aeruginosa,NA,CH5387,Charité Berlin (Berlin),S,0.5,S,1,R,8,I,16
SRR8737599,PRJNA526797,SAMN11110452,287,Pseudomonas aeruginosa,NA,CH5363,Charité Berlin (Berlin),S,0.25,S,0.25,R,8,R,128
SRR8737600,PRJNA526797,SAMN11110455,287,Pseudomonas aeruginosa,NA,CH5462,Charité Berlin (Berlin),S,0.5,S,0.5,R,8,R,64
SRR8737601,PRJNA526797,SAMN11110572,287,Pseudomonas aeruginosa,NA,F1894,University Hospital Frankfurt (Frankfurt),S,0.25,I,2,R,8,R,32
SRR8737602,PRJNA526797,SAMN11110460,287,Pseudomonas aeruginosa,NA,CH5548,Charité Berlin (Berlin),S,2,I,2,R,32,I,16
SRR8737603,PRJNA526797,SAMN11110370,287,Pseudomonas aeruginosa,NA,CH2734,Charité Berlin (Berlin),S,2,R,4,S,0.25,I,16
SRR8737604,PRJNA526797,SAMN11110629,287,Pseudomonas aeruginosa,NA,M70638412,University Hospital Muenster (Muenster),R,64,R,16,R,32,R,64
SRR8737605,PRJNA526797,SAMN11110628,287,Pseudomonas aeruginosa,NA,M70635118,University Hospital Muenster (Muenster),R,256,R,8,R,16,I,16
SRR8737606,PRJNA526797,SAMN11110627,287,Pseudomonas aeruginosa,NA,M70608424,University Hospital Muenster (Muenster),S,1,R,128,R,32,I,16
SRR8737607,PRJNA526797,SAMN11110626,287,Pseudomonas aeruginosa,NA,M70604538,University Hospital Muenster (Muenster),S,1,R,128,R,128,I,16
SRR8737608,PRJNA526797,SAMN11110553,287,Pseudomonas aeruginosa,NA,F1764,University Hospital Frankfurt (Frankfurt),S,4,I,2,R,16,R,128
SRR8737609,PRJNA526797,SAMN11110558,287,Pseudomonas aeruginosa,NA,F1796,University Hospital Frankfurt (Frankfurt),R,32,R,32,R,8,I,16
SRR8737610,PRJNA526797,SAMN11110559,287,Pseudomonas aeruginosa,NA,F1798,University Hospital Frankfurt (Frankfurt),R,32,R,32,R,8,I,16
SRR8737611,PRJNA526797,SAMN11110556,287,Pseudomonas aeruginosa,NA,F1789,University Hospital Frankfurt (Frankfurt),R,1024,R,32,R,512,R,128
SRR8737612,PRJNA526797,SAMN11110557,287,Pseudomonas aeruginosa,NA,F1795,University Hospital Frankfurt (Frankfurt),R,128,R,32,R,512,R,1024
SRR8737613,PRJNA526797,SAMN11110677,287,Pseudomonas aeruginosa,NA,MHH1883,Hannover Medical School (Hanover),S,1,S,0.125,S,≤0.125,I,16
SRR8737614,PRJNA526797,SAMN11110676,287,Pseudomonas aeruginosa,NA,MHH17783,Hannover Medical School (Hanover),S,1,S,0.125,R,256,R,128
SRR8737615,PRJNA526797,SAMN11110679,287,Pseudomonas aeruginosa,NA,MS1,University Hospital Muenster (Muenster),S,0.5,S,1,S,≤0.5,S,1
SRR8737616,PRJNA526797,SAMN11110678,287,Pseudomonas aeruginosa,NA,MHH2419,Hannover Medical School (Hanover),S,4,S,1,S,0.5,S,8
SRR8737617,PRJNA526797,SAMN11110673,287,Pseudomonas aeruginosa,NA,MHH17501,Hannover Medical School (Hanover),S,1,I,2,R,8,R,128
SRR8737618,PRJNA526797,SAMN11110423,287,Pseudomonas aeruginosa,NA,CH4757,Charité Berlin (Berlin),S,1,S,1,R,64,R,64
SRR8737619,PRJNA526797,SAMN11110675,287,Pseudomonas aeruginosa,NA,MHH17767,Hannover Medical School (Hanover),R,1024,S,0.5,R,16,R,512
SRR8737620,PRJNA526797,SAMN11110674,287,Pseudomonas aeruginosa,NA,MHH17546,Hannover Medical School (Hanover),R,16,R,4,R,8,R,128
SRR8737621,PRJNA526797,SAMN11110681,287,Pseudomonas aeruginosa,NA,MS5,University Hospital Muenster (Muenster),S,0.5,S,0.125,S,0.125,S,1
SRR8737622,PRJNA526797,SAMN11110680,287,Pseudomonas aeruginosa,NA,MS2,University Hospital Muenster (Muenster),S,1,S,0.25,S,0.5,R,64
SRR8737623,PRJNA526797,SAMN11110426,287,Pseudomonas aeruginosa,NA,CH4785,Charité Berlin (Berlin),S,1,R,4,R,16,I,16
SRR8737624,PRJNA526797,SAMN11110427,287,Pseudomonas aeruginosa,NA,CH4840,Charité Berlin (Berlin),S,2,S,0.25,R,16,R,128
SRR8737625,PRJNA526797,SAMN11110428,287,Pseudomonas aeruginosa,NA,CH4860,Charité Berlin (Berlin),S,1,R,64,R,8,S,4
SRR8737626,PRJNA526797,SAMN11110429,287,Pseudomonas aeruginosa,NA,CH4862,Charité Berlin (Berlin),R,256,R,8,R,64,S,8
SRR8737627,PRJNA526797,SAMN11110422,287,Pseudomonas aeruginosa,NA,CH4755,Charité Berlin (Berlin),S,0.25,R,64,R,16,S,4
SRR8737628,PRJNA526797,SAMN11110468,287,Pseudomonas aeruginosa,NA,CH5666,Charité Berlin (Berlin),R,1024,R,32,R,8,R,128
SRR8737629,PRJNA526797,SAMN11110469,287,Pseudomonas aeruginosa,NA,CH5688,Charité Berlin (Berlin),R,128,R,32,R,16,I,16
SRR8737630,PRJNA526797,SAMN11110466,287,Pseudomonas aeruginosa,NA,CH5621,Charité Berlin (Berlin),S,4,R,4,S,2,R,128
SRR8737631,PRJNA526797,SAMN11110467,287,Pseudomonas aeruginosa,NA,CH5638,Charité Berlin (Berlin),S,1,R,8,R,16,I,16
SRR8737632,PRJNA526797,SAMN11110729,287,Pseudomonas aeruginosa,NA,ZG314696,Private practice laboratory (Goerlitz),S,0.25,S,0.125,S,1,S,1
SRR8737633,PRJNA526797,SAMN11110726,287,Pseudomonas aeruginosa,NA,ZG302432,Private practice laboratory (Goerlitz),S,2,S,0.125,S,0.25,S,2
SRR8737634,PRJNA526797,SAMN11110727,287,Pseudomonas aeruginosa,NA,ZG302442,Private practice laboratory (Goerlitz),S,1,S,0.125,S,0.25,S,1
SRR8737635,PRJNA526797,SAMN11110730,287,Pseudomonas aeruginosa,NA,ZG314738,Private practice laboratory (Goerlitz),S,2,S,0.5,S,1,S,2
SRR8737636,PRJNA526797,SAMN11110731,287,Pseudomonas aeruginosa,NA,ZG314777,Private practice laboratory (Goerlitz),S,1,S,0.125,I,4,S,2
SRR8737637,PRJNA526797,SAMN11110521,287,Pseudomonas aeruginosa,NA,ESP074,University Hospital Palma de Mallorca (Spain),R,128,R,256,R,16,R,32
SRR8737638,PRJNA526797,SAMN11110520,287,Pseudomonas aeruginosa,NA,ESP073,University Hospital Palma de Mallorca (Spain),S,2,R,32,R,32,R,64
SRR8737639,PRJNA526797,SAMN11110641,287,Pseudomonas aeruginosa,NA,MHH0426,Hannover Medical School (Hanover),S,1,I,2,S,1,S,8
SRR8737640,PRJNA526797,SAMN11110640,287,Pseudomonas aeruginosa,NA,MHH0147,Hannover Medical School (Hanover),S,2,S,1,I,4,S,4
SRR8737641,PRJNA526797,SAMN11110633,287,Pseudomonas aeruginosa,NA,M70646050,University Hospital Muenster (Muenster),S,0.5,I,2,S,2,S,8
SRR8737642,PRJNA526797,SAMN11110632,287,Pseudomonas aeruginosa,NA,M70641593,University Hospital Muenster (Muenster),S,0.5,S,0.06,I,4,S,2
SRR8737643,PRJNA526797,SAMN11110635,287,Pseudomonas aeruginosa,NA,M70647319,University Hospital Muenster (Muenster),S,2,S,0.5,S,0.25,R,32
SRR8737644,PRJNA526797,SAMN11110634,287,Pseudomonas aeruginosa,NA,M70646077,University Hospital Muenster (Muenster),S,0.5,S,0.5,S,0.5,S,0.5
SRR8737645,PRJNA526797,SAMN11110637,287,Pseudomonas aeruginosa,NA,M70652746,University Hospital Muenster (Muenster),S,0.5,S,0.25,I,4,R,256
SRR8737646,PRJNA526797,SAMN11110636,287,Pseudomonas aeruginosa,NA,M70649365,University Hospital Muenster (Muenster),S,2,R,32,R,32,S,8
SRR8737647,PRJNA526797,SAMN11110639,287,Pseudomonas aeruginosa,NA,M70663247,University Hospital Muenster (Muenster),S,1,S,0.25,R,8,S,1
SRR8737648,PRJNA526797,SAMN11110638,287,Pseudomonas aeruginosa,NA,M70656672,University Hospital Muenster (Muenster),S,0.25,S,0.5,I,4,S,8
SRR8737649,PRJNA526797,SAMN11110408,287,Pseudomonas aeruginosa,NA,CH4528,Charité Berlin (Berlin),S,1,R,16,I,4,S,8
SRR8737650,PRJNA526797,SAMN11110409,287,Pseudomonas aeruginosa,NA,CH4548,Charité Berlin (Berlin),R,1024,R,16,S,1,R,128
SRR8737651,PRJNA526797,SAMN11110406,287,Pseudomonas aeruginosa,NA,CH4509,Charité Berlin (Berlin),S,1,S,0.125,S,0.25,S,2
SRR8737652,PRJNA526797,SAMN11110407,287,Pseudomonas aeruginosa,NA,CH4520,Charité Berlin (Berlin),S,0.5,S,0.06,S,2,I,16
SRR8737653,PRJNA526797,SAMN11110404,287,Pseudomonas aeruginosa,NA,CH4446,Charité Berlin (Berlin),S,2,I,2,I,4,S,8
SRR8737654,PRJNA526797,SAMN11110405,287,Pseudomonas aeruginosa,NA,CH4489,Charité Berlin (Berlin),S,0.5,S,0.25,R,8,S,4
SRR8737655,PRJNA526797,SAMN11110402,287,Pseudomonas aeruginosa,NA,CH4438,Charité Berlin (Berlin),S,2,R,8,I,4,R,32
SRR8737656,PRJNA526797,SAMN11110564,287,Pseudomonas aeruginosa,NA,F1821,University Hospital Frankfurt (Frankfurt),R,1024,R,32,R,512,R,64
SRR8737657,PRJNA526797,SAMN11110567,287,Pseudomonas aeruginosa,NA,F1862,University Hospital Frankfurt (Frankfurt),S,2,I,2,I,4,R,32
SRR8737658,PRJNA526797,SAMN11110566,287,Pseudomonas aeruginosa,NA,F1853,University Hospital Frankfurt (Frankfurt),R,128,R,16,R,64,R,32
SRR8737659,PRJNA526797,SAMN11110569,287,Pseudomonas aeruginosa,NA,F1869,University Hospital Frankfurt (Frankfurt),R,128,R,32,R,512,R,1024
SRR8737660,PRJNA526797,SAMN11110568,287,Pseudomonas aeruginosa,NA,F1864,University Hospital Frankfurt (Frankfurt),R,128,R,32,R,512,R,1024
SRR8737661,PRJNA526797,SAMN11110662,287,Pseudomonas aeruginosa,NA,MHH16459,Hannover Medical School (Hanover),S,4,S,0.5,R,16,R,256
SRR8737662,PRJNA526797,SAMN11110663,287,Pseudomonas aeruginosa,NA,MHH16513,Hannover Medical School (Hanover),S,1,R,4,R,8,S,4
SRR8737663,PRJNA526797,SAMN11110664,287,Pseudomonas aeruginosa,NA,MHH16530,Hannover Medical School (Hanover),S,1,S,0.5,R,16,R,32
SRR8737664,PRJNA526797,SAMN11110665,287,Pseudomonas aeruginosa,NA,MHH16563,Hannover Medical School (Hanover),S,2,S,0.5,I,4,I,16
SRR8737665,PRJNA526797,SAMN11110666,287,Pseudomonas aeruginosa,NA,MHH16610,Hannover Medical School (Hanover),S,1,R,4,R,8,S,4
SRR8737666,PRJNA526797,SAMN11110667,287,Pseudomonas aeruginosa,NA,MHH16727,Hannover Medical School (Hanover),S,1,S,0.125,I,4,I,16
SRR8737667,PRJNA526797,SAMN11110668,287,Pseudomonas aeruginosa,NA,MHH16798,Hannover Medical School (Hanover),S,1,R,4,R,8,S,4
SRR8737668,PRJNA526797,SAMN11110669,287,Pseudomonas aeruginosa,NA,MHH16951,Hannover Medical School (Hanover),I,8,R,4,R,32,R,128
SRR8737669,PRJNA526797,SAMN11110670,287,Pseudomonas aeruginosa,NA,MHH17233,Hannover Medical School (Hanover),R,256,R,64,R,8,R,32
SRR8737670,PRJNA526797,SAMN11110671,287,Pseudomonas aeruginosa,NA,MHH17247,Hannover Medical School (Hanover),S,0.5,S,0.5,R,16,S,4
SRR8737671,PRJNA526797,SAMN11110527,287,Pseudomonas aeruginosa,NA,ESP081,University Hospital Palma de Mallorca (Spain),S,2,I,2,R,32,I,16
SRR8737672,PRJNA526797,SAMN11110381,287,Pseudomonas aeruginosa,NA,CH2922,Charité Berlin (Berlin),S,0.5,S,0.25,S,0.5,S,8
SRR8737673,PRJNA526797,SAMN11110380,287,Pseudomonas aeruginosa,NA,CH2875,Charité Berlin (Berlin),R,32,I,2,R,64,S,8
SRR8737674,PRJNA526797,SAMN11110379,287,Pseudomonas aeruginosa,NA,CH2860,Charité Berlin (Berlin),S,1,R,8,R,32,R,128
SRR8737675,PRJNA526797,SAMN11110378,287,Pseudomonas aeruginosa,NA,CH2848,Charité Berlin (Berlin),S,2,S,1,S,2,I,16
SRR8737676,PRJNA526797,SAMN11110377,287,Pseudomonas aeruginosa,NA,CH2829,Charité Berlin (Berlin),S,1,S,1,S,0.5,S,1
SRR8737677,PRJNA526797,SAMN11110376,287,Pseudomonas aeruginosa,NA,CH2824,Charité Berlin (Berlin),S,1,S,0.5,R,32,S,8
SRR8737678,PRJNA526797,SAMN11110375,287,Pseudomonas aeruginosa,NA,CH2764,Charité Berlin (Berlin),S,2,S,0.5,S,0.5,R,64
SRR8737679,PRJNA526797,SAMN11110374,287,Pseudomonas aeruginosa,NA,CH2756,Charité Berlin (Berlin),S,2,S,0.25,S,1,S,1
SRR8737680,PRJNA526797,SAMN11110362,287,Pseudomonas aeruginosa,NA,CH2699,Charité Berlin (Berlin),R,64,R,16,R,64,I,16
SRR8737681,PRJNA526797,SAMN11110363,287,Pseudomonas aeruginosa,NA,CH2705,Charité Berlin (Berlin),R,512,R,32,R,32,R,1024
SRR8737682,PRJNA526797,SAMN11110368,287,Pseudomonas aeruginosa,NA,CH2724,Charité Berlin (Berlin),S,2,S,0.125,R,8,S,2
SRR8737683,PRJNA526797,SAMN11110369,287,Pseudomonas aeruginosa,NA,CH2730,Charité Berlin (Berlin),S,0.25,S,0.06,I,4,S,2
SRR8737684,PRJNA526797,SAMN11110339,287,Pseudomonas aeruginosa,NA,CH2560,Charité Berlin (Berlin),R,512,R,8,S,1,R,64
SRR8737685,PRJNA526797,SAMN11110367,287,Pseudomonas aeruginosa,NA,CH2718,Charité Berlin (Berlin),S,1,S,0.25,I,4,S,2
SRR8737686,PRJNA526797,SAMN11110686,287,Pseudomonas aeruginosa,NA,PSAE1635,University of Freiburg (Munich),S,2,I,2,I,4,S,1
SRR8737687,PRJNA526797,SAMN11110687,287,Pseudomonas aeruginosa,NA,PSAE1641,University of Freiburg (Munich),S,0.5,R,16,R,16,S,4
SRR8737688,PRJNA526797,SAMN11110524,287,Pseudomonas aeruginosa,NA,ESP077,University Hospital Palma de Mallorca (Spain),R,256,S,1,R,8,R,256
SRR8737689,PRJNA526797,SAMN11110713,287,Pseudomonas aeruginosa,NA,ZG02488718,Private practice laboratory (Radebeul),S,0.25,S,0.25,R,8,S,2
SRR8737690,PRJNA526797,SAMN11110712,287,Pseudomonas aeruginosa,NA,ZG02420619,Private practice laboratory (Riesa),S,1,I,2,R,16,S,8
SRR8737691,PRJNA526797,SAMN11110715,287,Pseudomonas aeruginosa,NA,ZG205565,Private practice laboratory (Goerlitz),S,0.25,I,2,S,1,S,2
SRR8737692,PRJNA526797,SAMN11110714,287,Pseudomonas aeruginosa,NA,ZG02512057,Private practice laboratory (Radebeul),S,1,S,0.25,R,16,S,2
SRR8737693,PRJNA526797,SAMN11110717,287,Pseudomonas aeruginosa,NA,ZG205710,Private practice laboratory (Goerlitz),S,0.25,I,2,S,1,S,2
SRR8737694,PRJNA526797,SAMN11110716,287,Pseudomonas aeruginosa,NA,ZG205694,Private practice laboratory (Goerlitz),S,0.125,S,0.5,S,0.5,S,0.5
