run_accession,study_accession,Sample,tax_id,scientific_name,submitted_ftp,Isolate,Supplier (Geographic origin),TOB,MIC*,CIP,MIC*2,MEM,MIC*3,CAZ,MIC*4
SRR8737429,PRJNA526797,SAMN11110689,287,Pseudomonas aeruginosa,NA,PSAE1645,University of Freiburg (Munich),S,0.5,I,2,R,16,S,4
SRR8737430,PRJNA526797,SAMN11110421,287,Pseudomonas aeruginosa,NA,CH4745,Charité Berlin (Berlin),R,1024,R,32,R,8,R,64
SRR8737431,PRJNA526797,SAMN11110420,287,Pseudomonas aeruginosa,NA,CH4733,Charité Berlin (Berlin),S,1,S,1,S,0.5,S,2
SRR8737432,PRJNA526797,SAMN11110684,287,Pseudomonas aeruginosa,NA,PSAE1439,University of Freiburg (Stuttgart),S,2,R,4,R,8,S,2
SRR8737433,PRJNA526797,SAMN11110685,287,Pseudomonas aeruginosa,NA,PSAE1630,University of Freiburg (Gera),S,2,I,2,I,4,S,1
SRR8737434,PRJNA526797,SAMN11110682,287,Pseudomonas aeruginosa,NA,PSAE1401,University of Freiburg (Stuttgart),S,0.25,S,1,I,4,S,1
SRR8737435,PRJNA526797,SAMN11110683,287,Pseudomonas aeruginosa,NA,PSAE1438,University of Freiburg (Stuttgart),S,4,R,4,R,8,S,2
SRR8737436,PRJNA526797,SAMN11110415,287,Pseudomonas aeruginosa,NA,CH4634,Charité Berlin (Berlin),S,1,R,16,R,32,S,8
SRR8737437,PRJNA526797,SAMN11110645,287,Pseudomonas aeruginosa,NA,MHH14929,Hannover Medical School (Hanover),S,0.25,I,2,R,16,S,2
SRR8737438,PRJNA526797,SAMN11110642,287,Pseudomonas aeruginosa,NA,MHH0927,Hannover Medical School (Hanover),S,0.5,S,0.5,S,0.125,S,1
SRR8737439,PRJNA526797,SAMN11110643,287,Pseudomonas aeruginosa,NA,MHH0985,Hannover Medical School (Hanover),I,8,I,2,R,8,R,128
SRR8737440,PRJNA526797,SAMN11110648,287,Pseudomonas aeruginosa,NA,MHH15083,Hannover Medical School (Hanover),R,256,R,16,I,4,R,32
SRR8737441,PRJNA526797,SAMN11110649,287,Pseudomonas aeruginosa,NA,MHH15103,Hannover Medical School (Hanover),S,0.5,I,2,R,16,R,32
