BioSample,Run,Imipenem,Meropenem,Doripenem,OXA-23 (ARO:3001418),QacEdelta1 (ARO:3005010),Sul1 (ARO:3000410),mphE (ARO:3003741),msrE (ARO:3003109),ANT(3'')-II (ARO:3002601),aacC1 (ARO:3002528),YafP (UniProtKB:Q47158),AphA6 (ARO:3002652),xerD (UniProtKB:D0CB56)
SAMN02570313,SRR1103714,16 (R),NA (NA),NA (NA),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02570314,SRR1103715,16 (R),NA (NA),NA (NA),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02570315,SRR1103716,16 (R),NA (NA),NA (NA),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02570316,SRR1103717,16 (R),NA (NA),NA (NA),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02570317,SRR1103718,16 (R),NA (NA),NA (NA),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02570318,SRR1103719,8 (R),7 (R),6 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02570319,SRR1103720;SRR1103721,16 (R),NA (NA),NA (NA),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02570320,SRR1103722,8 (R),7 (R),6 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02570321,SRR1103723,8 (R),7 (R),6 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02570322,SRR1103724,8 (R),7 (R),6 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02570323,SRR1103725,8 (R),7 (R),6 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02570324,SRR1103726,8 (R),7 (R),6 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02570325,SRR1103727,8 (R),7 (R),6 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02570326,SRR1103728,8 (R),7 (R),6 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02570327,SRR1103729,9 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
