Assembly,Level,WGS,BioSample,id,Taxonomy,Accession,country,source,method,amikacin,aztreonam,cefepime,cefoxitin,ceftazidime,ciprofloxacin,imipenem,meropenem,piperacillin/tazobactam,tetracycline,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
GCA_009825875.1,Scaffold,WUKT00000000,SAMN13675332,908021,Klebsiella pneumoniae,PRJNA597427,UK,bioMerieux,Vitek 2,>=64,>=64,8,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825855.1,Scaffold,WUKS00000000,SAMN13675333,911043,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,16,>=64,8,>=64,>=64,>=4,>=16,>=16,>=128,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825815.1,Scaffold,WUKR00000000,SAMN13675334,911047,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,>=64,>=64,8,>=64,>=64,>=4,8,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825795.1,Scaffold,WULK00000000,SAMN13675315,404010,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,16,>=64,4,32,>=64,>=4,<=0.25,<=0.25,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825785.1,Scaffold,WUKQ00000000,SAMN13675335,911057,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,16,>=64,32,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825775.1,Scaffold,WUKP00000000,SAMN13675336,1008210,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,>=64,>=64,16,>=64,>=64,>=4,8,>=16,>=128,<=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825755.1,Scaffold,WUKN00000000,SAMN13675338,1011216,Klebsiella pneumoniae,PRJNA597427,UK,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825725.1,Scaffold,WUJY00000000,SAMN13675353,1203042,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825695.1,Scaffold,WUKI00000000,SAMN13675343,1201147,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825675.1,Scaffold,WUJU00000000,SAMN13675357,1204105,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,2,>=64,>=64,>=4,>=16,>=16,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825685.1,Scaffold,WUJT00000000,SAMN13675358,1204109,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825635.1,Scaffold,WUJV00000000,SAMN13675356,1204101,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,4,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009825615.1,Scaffold,WUJW00000000,SAMN13675355,1204087,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,16,>=64,>=64,>=4,>=16,>=16,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826795.1,Scaffold,WUME00000000,SAMN13675294,1711074,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,8,>=16,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826775.1,Scaffold,WUMB00000000,SAMN13675297,1711077,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826755.1,Scaffold,WUMC00000000,SAMN13675296,1711076,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,<=1,>=64,>=64,>=64,>=4,>=16,>=16,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,SAMN08895715,1707139,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,8,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049911,WGS,299,565883708,PRJNA449293,Pathogen.cl,250025551,BIOMERIEUX,not collected,2017,public,"fastq,sra",s3,s3.us-east-1,SRX3981403,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707139,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707139,SRP141426
NA,NA,NA,SAMN08895714,1707138,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,8,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049912,WGS,299,682902299,PRJNA449293,Pathogen.cl,302533543,BIOMERIEUX,not collected,2017,public,"fastq,sra",s3,s3.us-east-1,SRX3981402,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707138,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707138,SRP141426
NA,NA,NA,SAMN08895707,1707131,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049913,WGS,299,833993250,PRJNA449293,Pathogen.cl,369467706,BIOMERIEUX,not collected,2016,public,"fastq,sra",s3,s3.us-east-1,SRX3981401,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707131,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707131,SRP141426
NA,NA,NA,SAMN08895706,1707130,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,8,>=64,>=64,>=64,>=64,>=4,2,8,>=128,>=16,SRR7049914,WGS,299,857021786,PRJNA449293,Pathogen.cl,379925629,BIOMERIEUX,not collected,2016,public,"fastq,sra",s3,s3.us-east-1,SRX3981400,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707130,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707130,SRP141426
NA,NA,NA,SAMN08895709,1707133,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049915,WGS,299,827558106,PRJNA449293,Pathogen.cl,368317537,BIOMERIEUX,not collected,2016,public,"sra,fastq",s3,s3.us-east-1,SRX3981399,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707133,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707133,SRP141426
NA,NA,NA,SAMN08895708,1707132,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,<=2,>=64,>=64,>=64,>=64,>=4,<=0.25,1,>=128,8,SRR7049916,WGS,299,1095339497,PRJNA449293,Pathogen.cl,486273176,BIOMERIEUX,not collected,2016,public,"fastq,sra",s3,s3.us-east-1,SRX3981398,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707132,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707132,SRP141426
NA,NA,NA,SAMN08895711,1707135,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,SRR7049917,WGS,299,735633788,PRJNA449293,Pathogen.cl,325952546,BIOMERIEUX,not collected,2017,public,"sra,fastq",s3,s3.us-east-1,SRX3981397,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707135,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707135,SRP141426
NA,NA,NA,SAMN08895710,1707134,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049918,WGS,299,795454478,PRJNA449293,Pathogen.cl,351271210,BIOMERIEUX,not collected,2017,public,"fastq,sra",s3,s3.us-east-1,SRX3981396,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707134,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707134,SRP141426
NA,NA,NA,SAMN08895713,1707137,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,8,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049919,WGS,299,758432846,PRJNA449293,Pathogen.cl,335001538,BIOMERIEUX,not collected,2017,public,"sra,fastq",s3,s3.us-east-1,SRX3981395,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707137,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707137,SRP141426
NA,NA,NA,SAMN08895712,1707136,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,4,>=64,>=64,>=64,>=64,>=4,2,8,>=128,>=16,SRR7049920,WGS,299,527879902,PRJNA449293,Pathogen.cl,232941134,BIOMERIEUX,not collected,2017,public,"sra,fastq",s3,s3.us-east-1,SRX3981394,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707136,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707136,SRP141426
NA,NA,NA,SAMN08895689,1707112,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049921,WGS,299,743847388,PRJNA449293,Pathogen.cl,330497346,BIOMERIEUX,not collected,2015,public,"fastq,sra",s3,s3.us-east-1,SRX3981393,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707112,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707112,SRP141426
NA,NA,NA,SAMN08895688,1707111,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,8,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049922,WGS,299,539704851,PRJNA449293,Pathogen.cl,238426286,BIOMERIEUX,not collected,2015,public,"sra,fastq",s3,s3.us-east-1,SRX3981392,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707111,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707111,SRP141426
NA,NA,NA,SAMN08895687,1707110,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049923,WGS,299,926380608,PRJNA449293,Pathogen.cl,412938216,BIOMERIEUX,not collected,2015,public,"fastq,sra",s3,s3.us-east-1,SRX3981391,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707110,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707110,SRP141426
NA,NA,NA,SAMN08895686,1707109,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049924,WGS,299,765820433,PRJNA449293,Pathogen.cl,339035137,BIOMERIEUX,not collected,2016,public,"fastq,sra",s3,s3.us-east-1,SRX3981390,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707109,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707109,SRP141426
NA,NA,NA,SAMN08895693,1707117,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049925,WGS,299,470276053,PRJNA449293,Pathogen.cl,220251249,BIOMERIEUX,not collected,2015,public,"sra,fastq",s3,s3.us-east-1,SRX3981389,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707117,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707117,SRP141426
NA,NA,NA,SAMN08895692,1707116,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,8,>=64,>=64,>=64,>=64,>=4,1,>=16,>=128,>=16,SRR7049926,WGS,299,677222023,PRJNA449293,Pathogen.cl,300669159,BIOMERIEUX,not collected,2015,public,"fastq,sra",s3,s3.us-east-1,SRX3981388,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707116,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707116,SRP141426
NA,NA,NA,SAMN08895691,1707114,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049927,WGS,299,793511814,PRJNA449293,Pathogen.cl,352010771,BIOMERIEUX,not collected,2015,public,"sra,fastq",s3,s3.us-east-1,SRX3981387,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707114,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707114,SRP141426
NA,NA,NA,SAMN08895690,1707113,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049928,WGS,299,531253577,PRJNA449293,Pathogen.cl,233484956,BIOMERIEUX,not collected,2015,public,"fastq,sra",s3,s3.us-east-1,SRX3981386,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707113,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707113,SRP141426
NA,NA,NA,SAMN08895695,1707119,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,2,SRR7049929,WGS,299,980820947,PRJNA449293,Pathogen.cl,438077873,BIOMERIEUX,not collected,2015,public,"fastq,sra",s3,s3.us-east-1,SRX3981385,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707119,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707119,SRP141426
NA,NA,NA,SAMN08895694,1707118,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049930,WGS,299,545194537,PRJNA449293,Pathogen.cl,240748691,BIOMERIEUX,not collected,2015,public,"sra,fastq",s3,s3.us-east-1,SRX3981384,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707118,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707118,SRP141426
NA,NA,NA,SAMN08895685,1707108,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,8,>=64,>=64,>=64,>=64,>=4,2,8,>=128,>=16,SRR7049931,WGS,299,1144126726,PRJNA449293,Pathogen.cl,507305920,BIOMERIEUX,not collected,2016,public,"fastq,sra",s3,s3.us-east-1,SRX3981383,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707108,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707108,SRP141426
NA,NA,NA,SAMN08895684,1707107,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,8,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049932,WGS,299,536291121,PRJNA449293,Pathogen.cl,242968717,BIOMERIEUX,not collected,2016,public,"fastq,sra",s3,s3.us-east-1,SRX3981382,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707107,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707107,SRP141426
NA,NA,NA,SAMN08895677,1707100,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,SRR7049933,WGS,299,724332543,PRJNA449293,Pathogen.cl,321750484,BIOMERIEUX,not collected,2014,public,"sra,fastq",s3,s3.us-east-1,SRX3981381,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707100,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707100,SRP141426
NA,NA,NA,SAMN08895676,1707099,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,SRR7049934,WGS,299,879197948,PRJNA449293,Pathogen.cl,389721912,BIOMERIEUX,not collected,2013,public,"sra,fastq",s3,s3.us-east-1,SRX3981380,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707099,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707099,SRP141426
NA,NA,NA,SAMN08895679,1707102,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,4,>=64,>=64,>=64,16,>=4,<=0.25,<=0.25,>=128,>=16,SRR7049935,WGS,299,1072618062,PRJNA449293,Pathogen.cl,480529912,BIOMERIEUX,not collected,2014,public,"fastq,sra",s3,s3.us-east-1,SRX3981379,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707102,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707102,SRP141426
NA,NA,NA,SAMN08895678,1707101,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,8,>=64,>=64,32,>=64,>=4,<=0.25,0.5,32,<=1,SRR7049936,WGS,299,814312148,PRJNA449293,Pathogen.cl,365468920,BIOMERIEUX,not collected,2014,public,"sra,fastq",s3,s3.us-east-1,SRX3981378,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707101,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707101,SRP141426
NA,NA,NA,SAMN08895681,1707104,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049937,WGS,299,564111020,PRJNA449293,Pathogen.cl,249642614,BIOMERIEUX,not collected,2015,public,"sra,fastq",s3,s3.us-east-1,SRX3981377,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707104,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707104,SRP141426
NA,NA,NA,SAMN08895680,1707103,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,>=16,SRR7049938,WGS,299,393612056,PRJNA449293,Pathogen.cl,180729954,BIOMERIEUX,not collected,2015,public,"sra,fastq",s3,s3.us-east-1,SRX3981376,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707103,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707103,SRP141426
NA,NA,NA,SAMN08895683,1707106,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,>=16,SRR7049939,WGS,299,752654211,PRJNA449293,Pathogen.cl,331943244,BIOMERIEUX,not collected,2015,public,"sra,fastq",s3,s3.us-east-1,SRX3981375,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707106,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707106,SRP141426
NA,NA,NA,SAMN08895682,1707105,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,8,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049940,WGS,299,898370970,PRJNA449293,Pathogen.cl,397095543,BIOMERIEUX,not collected,2015,public,"sra,fastq",s3,s3.us-east-1,SRX3981374,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707105,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707105,SRP141426
NA,NA,NA,SAMN08895704,1707128,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,>=16,SRR7049941,WGS,299,701694826,PRJNA449293,Pathogen.cl,310654712,BIOMERIEUX,not collected,2016,public,"fastq,sra",s3,s3.us-east-1,SRX3981373,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707128,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707128,SRP141426
NA,NA,NA,SAMN08895705,1707129,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,8,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049942,WGS,299,764518741,PRJNA449293,Pathogen.cl,338590783,BIOMERIEUX,not collected,2016,public,"sra,fastq",s3,s3.us-east-1,SRX3981372,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707129,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707129,SRP141426
NA,NA,NA,SAMN08895698,1707122,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049943,WGS,299,514195727,PRJNA449293,Pathogen.cl,228103813,BIOMERIEUX,not collected,2015,public,"fastq,sra",s3,s3.us-east-1,SRX3981371,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707122,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707122,SRP141426
NA,NA,NA,SAMN08895699,1707123,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,2,>=16,>=128,>=16,SRR7049944,WGS,299,527537885,PRJNA449293,Pathogen.cl,233194732,BIOMERIEUX,not collected,2016,public,"fastq,sra",s3,s3.us-east-1,SRX3981370,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707123,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707123,SRP141426
NA,NA,NA,SAMN08895696,1707120,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,32,>=64,>=64,>=64,>=64,>=4,1,>=16,>=128,>=16,SRR7049945,WGS,299,404844274,PRJNA449293,Pathogen.cl,178605853,BIOMERIEUX,not collected,2016,public,"fastq,sra",s3,s3.us-east-1,SRX3981369,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707120,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707120,SRP141426
NA,NA,NA,SAMN08895697,1707121,NA,PRJNA449293,Serbia,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,<=0.25,1,>=128,8,SRR7049946,WGS,299,849813671,PRJNA449293,Pathogen.cl,376999748,BIOMERIEUX,not collected,2015,public,"fastq,sra",s3,s3.us-east-1,SRX3981368,Serbia,Europe,Serbia,not collected,Homo sapiens,NextSeq 500,not collected,not collected,1707121,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2018-04-20T00:00:00Z,1707121,SRP141426
