Assembly,Level,WGS,BioSample,id,Taxonomy,Accession,country,source,method,amikacin,aztreonam,cefepime,cefoxitin,ceftazidime,ciprofloxacin,imipenem,meropenem,piperacillin/tazobactam,tetracycline,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
GCA_009826655.1,Scaffold,WULW00000000,SAMN13675303,1711085,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,16,>=64,>=64,>=64,>=64,>=4,8,>=16,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826615.1,Scaffold,WULU00000000,SAMN13675305,1711087,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,<=2,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826595.1,Scaffold,WULX00000000,SAMN13675302,1711084,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,<=1,2,>=64,<=1,>=4,8,>=16,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826605.1,Scaffold,WULV00000000,SAMN13675304,1711086,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,2,16,16,>=4,>=16,>=16,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826575.1,Scaffold,WULS00000000,SAMN13675307,1711089,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,8,>=16,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826555.1,Scaffold,WULT00000000,SAMN13675306,1711088,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826515.1,Contig,WULO00000000,SAMN13675311,1606284,Klebsiella pneumoniae,PRJNA597427,Korea,bioMerieux,Vitek 2,<=2,>=64,4,>=64,>=64,>=4,<=0.25,<=0.25,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826505.1,Scaffold,WUKA00000000,SAMN13675351,1203033,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826495.1,Scaffold,WUKD00000000,SAMN13675348,1203020,Klebsiella pneumoniae,PRJNA597427,Greece,bioMerieux,Vitek 2,>=64,>=64,>=64,>=64,>=64,>=4,>=16,>=16,>=128,>=16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCA_009826475.1,Scaffold,WUKM00000000,SAMN13675339,1012132,Klebsiella pneumoniae,PRJNA597427,USA,bioMerieux,Vitek 2,>=64,>=64,8,>=64,>=64,>=4,>=16,>=16,>=128,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
