pubMLST id,Strain name,aliases,country,year,month,isolation date,received date,disease,source,epidemiology,species,penner,aspA,glnA,gltA,glyA,pgm,tkt,uncA,ST,clonal complex,arsP,acr3,23S_A2075G,50S_L22_A103V,aad9,aadE,aph(3')-IIIa,blaOXA,blaOXA-184,blaOXA-193,blaOXA-447,blaOXA-449,blaOXA-460,blaOXA-461,blaOXA-489,blaOXA-577,blaOXA-580,blaOXA-591,blaOXA-603,blaOXA-631,gyrA_T86I,sat4,tet(O),Erythromycin MIC,Ery int,Streptomycin MIC,Strep int,Gentamicin MIC,Gen int,Nalidixic acid MIC,Nal int,Ciprofloxacin MIC,Cip int,Tetracycline MIC,Tet int
76324,191p,NA,Israel,2008,NA,NA,NA,NA,chicken,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,<=       1,S,=       1,S,=    0.25,S,=       4,S,<=    0.12,S,=      64,R
76325,56971,NA,Israel,2008,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,<=       1,S,=       1,S,=    0.25,S,=       4,S,<=    0.12,S,=      64,R
76326,57428,NA,Israel,2008,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,<=       1,S,=       1,S,=    0.25,S,=       4,S,<=    0.12,S,>      64,R
76327,75914,NA,Israel,2010,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=      16,R,=      64,R
76328,140,NA,Israel,2014,NA,NA,NA,NA,chicken,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,<=       1,S,=       1,S,=    0.25,S,>      64,R,=      16,R,=      64,R
76329,44529,NA,Israel,2005,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,17,52,10,10,3,1,881,NA,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<=       1,S,=       1,S,=     0.5,S,=       4,S,<=    0.12,S,<=     0.5,S
76330,77544,NA,Israel,2010,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=      16,R,>      64,R
76331,86850,NA,Israel,2012,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=      16,R,>      64,R
76332,169p,NA,Israel,2008,NA,NA,NA,NA,chicken,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,<=       1,S,=       2,S,=     0.5,S,=       8,S,<=    0.12,S,>      64,R
76333,77305,NA,Israel,2010,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,<=       1,S,=       1,S,=    0.25,S,>      64,R,=      16,R,=      64,R
76334,39123,NA,Israel,2003,NA,NA,NA,NA,human blood culture,NA,Campylobacter jejuni,NA,9,2,5,62,4,5,6,1923,ST-257 complex,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,=       8,S,<=    0.12,S,<=     0.5,S
76335,49714,NA,Israel,2006,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,<=       1,S,=       1,S,<=    0.12,S,=       4,S,<=    0.12,S,=      64,R
76336,43019,NA,Israel,2004,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,25,2,10,22,3,6,52,ST-52 complex,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,<=       1,S,=       1,S,=    0.25,S,=      64,R,=       8,R,<=     0.5,S
76337,46108,NA,Israel,2005,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,25,2,10,22,3,6,52,ST-52 complex,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,<=       1,S,=       1,S,=     0.5,S,=       4,S,<=    0.12,S,<=     0.5,S
76338,95201,NA,Israel,2012,NA,NA,NA,NA,human blood culture,NA,Campylobacter jejuni,NA,9,25,2,10,22,3,6,52,ST-52 complex,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,<=       1,S,=       1,S,=    0.25,S,=       2,S,<=    0.12,S,<=     0.5,S
76339,56623,NA,Israel,2007,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,<=       1,S,=       2,S,=    0.25,S,=       4,S,<=    0.12,S,>      64,R
76340,66320,NA,Israel,2009,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=      16,R,>      64,R
76341,37123,NA,Israel,2003,NA,NA,NA,NA,human blood culture,NA,Campylobacter jejuni,NA,9,25,2,10,22,3,6,52,ST-52 complex,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,<=       1,S,=       2,S,=    0.25,S,>      64,R,=      16,R,<=     0.5,S
76342,60575,NA,Israel,2008,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76343,28,NA,Israel,2014,NA,NA,NA,NA,chicken,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,<=       1,S,>      16,R,=     0.5,S,>      64,R,=      16,R,>      64,R
76344,5,NA,Israel,2013,NA,NA,NA,NA,chicken,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76345,43400,NA,Israel,2004,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=      16,R,=      64,R
76346,54906,NA,Israel,2007,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,<=       1,S,=       2,S,=     0.5,S,=       4,S,<=    0.12,S,>      64,R
76347,41254,NA,Israel,2004,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,<=       1,S,=       2,S,=     0.5,S,=      16,S,=     0.5,S,>      64,R
76348,60447,NA,Israel,2008,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=    0.25,S,>      64,R,=      16,R,>      64,R
76349,70958,NA,Israel,2010,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,<=       1,S,<=    0.25,S,=     0.5,S,>      64,R,=      16,R,>      64,R
76350,42352,NA,Israel,2004,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,<=       1,S,=       2,S,=     0.5,S,>      64,R,=      16,R,<=     0.5,S
76351,78761,NA,Israel,2011,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=      16,R,>      64,R
76352,95023,NA,Israel,2012,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=      16,R,=      64,R
76353,86673,NA,Israel,2011,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,<=       1,S,=       1,S,=    0.25,S,>      64,R,=       8,R,>      64,R
76354,87566,NA,Israel,2012,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=      16,R,>      64,R
76355,73287,NA,Israel,2010,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,<=       1,S,=       1,S,=    0.25,S,=       4,S,<=    0.12,S,=      64,R
76356,56172,NA,Israel,2007,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,<=       1,S,=       2,S,=     0.5,S,=       8,S,<=    0.12,S,>      64,R
76357,51385,NA,Israel,2006,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=      16,R,=      64,R
76358,54988,NA,Israel,2007,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,<=       1,S,=       1,S,=    0.25,S,=       4,S,<=    0.12,S,=      64,R
76359,41354,NA,Israel,2004,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,<=       1,S,=       2,S,=     0.5,S,=       4,S,<=    0.12,S,=      64,R
76360,49698,NA,Israel,2006,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,<=       1,S,=       1,S,=    0.25,S,=       4,S,<=    0.12,S,=      32,R
76361,6,NA,Israel,2013,NA,NA,NA,NA,chicken,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,<=       1,S,>      16,R,=    0.25,S,>      64,R,=       8,R,=      64,R
76362,49861,NA,Israel,2006,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,9,2,4,62,4,5,6,257,ST-257 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,<=       1,S,=       1,S,=     0.5,S,=       4,S,<=    0.12,S,>      64,R
76363,48779,NA,Israel,2006,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,14,17,5,2,2,3,6,1474,ST-353 complex,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<=       1,S,=       2,S,=     0.5,S,=       4,S,<=    0.12,S,<=     0.5,S
76364,47753,NA,Israel,2005,NA,NA,NA,NA,human blood culture,NA,Campylobacter jejuni,NA,24,30,2,2,89,59,6,460,ST-460 complex,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,=      64,R,=      16,R,=      16,R
76365,49361,NA,Israel,2006,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,24,30,2,2,89,59,6,460,ST-460 complex,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,<=       1,S,=       1,S,=    0.25,S,>      64,R,=      16,R,=      16,R
76366,48594,NA,Israel,2006,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,24,30,2,2,89,59,6,460,ST-460 complex,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,<=       1,S,=       1,S,=    0.25,S,=       4,S,<=    0.12,S,=      16,R
76367,69130,NA,Israel,2009,NA,NA,NA,NA,human blood culture,NA,Campylobacter jejuni,NA,24,30,2,2,89,59,6,460,ST-460 complex,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=      16,R,>      64,R
76368,48778,NA,Israel,2006,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,24,30,2,2,89,59,6,460,ST-460 complex,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,<=       1,S,=       2,S,=     0.5,S,=       4,S,<=    0.12,S,=       8,R
76369,47379,NA,Israel,2005,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,55,172,21,49,125,83,51,1962,NA,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,<=       1,S,=       2,S,=     0.5,S,=       4,S,<=    0.12,S,=      64,R
76370,56974,NA,Israel,2008,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76371,45c,NA,Israel,2008,NA,NA,NA,NA,beef offal or meat,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76372,63874,NA,Israel,2009,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76373,57254,NA,Israel,2008,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76374,60230,NA,Israel,2008,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76375,52046,NA,Israel,2006,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76376,48756,NA,Israel,2006,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76377,77569,NA,Israel,2010,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76378,56,NA,Israel,2014,NA,NA,NA,NA,chicken,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76379,79390,NA,Israel,2011,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76380,92306,NA,Israel,2012,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76381,41197,NA,Israel,2004,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76382,36,NA,Israel,2014,NA,NA,NA,NA,chicken,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76383,67215,NA,Israel,2009,NA,NA,NA,NA,human blood culture,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76384,38194,NA,Israel,2003,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76385,67005,NA,Israel,2009,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76386,64436,NA,Israel,2009,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76387,37046,NA,Israel,2003,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76388,45803,NA,Israel,2005,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76389,89880,NA,Israel,2012,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76390,41988,NA,Israel,2004,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76391,56972,NA,Israel,2008,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76392,92157,NA,Israel,2012,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76393,78c,NA,Israel,2008,NA,NA,NA,NA,beef offal or meat,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,<=       1,S,=       2,S,=     0.5,S,>      64,R,=       8,R,<=     0.5,S
76394,40,NA,Israel,2014,NA,NA,NA,NA,chicken,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,<=       1,S,=       2,S,=     0.5,S,>      64,R,=      16,R,>      64,R
76395,54362,NA,Israel,2007,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76396,79551,NA,Israel,2011,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76397,79685,NA,Israel,2011,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76398,78555,NA,Israel,2011,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76399,56547,NA,Israel,2007,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76400,76636,NA,Israel,2010,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76401,62686,NA,Israel,2008,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76402,35872,NA,Israel,2003,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,17,1,5,7547,ST-48 complex,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,<=       1,S,=       2,S,=    0.25,S,=      16,S,=     0.5,S,<=     0.5,S
76403,35992,NA,Israel,2003,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76404,93196,NA,Israel,2012,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76405,72945,NA,Israel,2010,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
76406,62690,NA,Israel,2008,NA,NA,NA,NA,human stool,NA,Campylobacter jejuni,NA,62,4,5,2,2,1,5,572,ST-206 complex,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D,N.D
