run_accession,study_accession,sample_accession,tax_id,scientific_name,submitted_ftp,StrainID,AccessionIDs,ST,Cefoxitin,Erythromycin,Tetracycline,Rifampicin,FusidicAcid,Gentamicin,Chloramphenicol,Mupirocin,Linezolid,Ciprofloxacin,Trimethoprim
ERR3826536,PRJEB32286,SAMEA5672899,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826536/HICF0727_396211.pe.markdup.bam,HICF0727,ERS3476902,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826537,PRJEB32286,SAMEA5672900,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826537/HICF0728_396823.pe.markdup.bam,HICF0728,ERS3476903,5,R,R,R,S,R,S,S,S,S,R,-
ERR3826538,PRJEB32286,SAMEA5672901,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826538/HICF0729_397543.pe.markdup.bam,HICF0729,ERS3476904,22,R,S,S,S,R,S,S,S,S,R,-
ERR3826539,PRJEB32286,SAMEA5672902,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826539/HICF0730_397678.pe.markdup.bam,HICF0730,ERS3476905,59,R,R,S,S,R,S,S,R,S,R,-
ERR3826540,PRJEB32286,SAMEA5672903,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826540/HICF0731_397399.pe.markdup.bam,HICF0731,ERS3476906,5,R,S,S,S,S,S,S,S,S,S,-
ERR3826541,PRJEB32286,SAMEA5672904,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826541/HICF0733_396817.pe.markdup.bam,HICF0733,ERS3476907,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826542,PRJEB32286,SAMEA5672905,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826542/HICF0734_397672.pe.markdup.bam,HICF0734,ERS3476908,45,R,S,R,S,R,S,S,R,S,S,-
ERR3826543,PRJEB32286,SAMEA5672906,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826543/HICF0735_396895.pe.markdup.bam,HICF0735,ERS3476909,22,R,S,S,S,R,S,S,S,S,R,-
ERR3826544,PRJEB32286,SAMEA5672907,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826544/HICF0736_397147.pe.markdup.bam,HICF0736,ERS3476910,45,R,S,S,S,R,S,S,S,S,S,-
ERR3826545,PRJEB32286,SAMEA5672908,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826545/HICF0737_396403.pe.markdup.bam,HICF0737,ERS3476911,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826546,PRJEB32286,SAMEA5672909,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826546/HICF0738_396373.pe.markdup.bam,HICF0738,ERS3476912,45,R,S,S,S,R,S,S,S,S,S,-
ERR3826547,PRJEB32286,SAMEA5672910,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826547/HICF0739_396565.pe.markdup.bam,HICF0739,ERS3476913,59,R,S,S,S,R,S,S,S,S,S,-
ERR3826548,PRJEB32286,SAMEA5672911,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826548/HICF0740_395791.pe.markdup.bam,HICF0740,ERS3476914,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826549,PRJEB32286,SAMEA5672912,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826549/HICF0742_395779.pe.markdup.bam,HICF0742,ERS3476915,45,R,S,S,S,R,S,S,S,S,S,-
ERR3826550,PRJEB32286,SAMEA5672913,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826550/HICF0743rpt1_505923.pe.markdup.bam,HICF0743,ERS3476916,789,R,S,S,S,S,R,S,S,S,R,-
ERR3826551,PRJEB32286,SAMEA5672914,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826551/HICF0744_396346.pe.markdup.bam,HICF0744,ERS3476917,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826552,PRJEB32286,SAMEA5672915,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826552/HICF0745_397408.pe.markdup.bam,HICF0745,ERS3476918,59,R,R,S,S,R,S,S,R,S,R,-
ERR3826553,PRJEB32286,SAMEA5672916,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826553/HICF0747_397153.pe.markdup.bam,HICF0747,ERS3476919,22,R,S,R,S,S,S,S,S,S,S,-
ERR3826554,PRJEB32286,SAMEA5672917,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826554/HICF0748_396349.pe.markdup.bam,HICF0748,ERS3476920,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826555,PRJEB32286,SAMEA5672918,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826555/HICF0751_396460.pe.markdup.bam,HICF0751,ERS3476921,45,R,S,S,S,R,S,S,S,S,S,-
ERR3826556,PRJEB32286,SAMEA5672919,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826556/HICF0752rpt_397366.pe.markdup.bam,HICF0752,ERS3476922,8,R,R,S,S,R,S,S,S,S,R,-
ERR3826557,PRJEB32286,SAMEA5672920,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826557/HICF0753_395899.pe.markdup.bam,HICF0753,ERS3476923,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826558,PRJEB32286,SAMEA5672921,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826558/HICF0754_397327.pe.markdup.bam,HICF0754,ERS3476924,1232,R,S,R,S,S,S,S,S,S,S,-
ERR3826559,PRJEB32286,SAMEA5672922,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826559/HICF0755_397492.pe.markdup.bam,HICF0755,ERS3476925,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826560,PRJEB32286,SAMEA5672923,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826560/HICF0756_396772.pe.markdup.bam,HICF0756,ERS3476926,1472,R,R,R,S,S,S,S,S,S,S,-
ERR3826561,PRJEB32286,SAMEA5672924,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826561/HICF0757_397006.pe.markdup.bam,HICF0757,ERS3476927,72,R,R,S,S,S,S,S,S,S,S,-
ERR3826562,PRJEB32286,SAMEA5672925,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826562/HICF0758_395965.pe.markdup.bam,HICF0758,ERS3476928,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826563,PRJEB32286,SAMEA5672926,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826563/HICF0759_396244.pe.markdup.bam,HICF0759,ERS3476929,22,R,R,S,S,S,S,-,-,-,-,-
ERR3826564,PRJEB32286,SAMEA5672927,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826564/HICF0760_396196.pe.markdup.bam,HICF0760,ERS3476930,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826565,PRJEB32286,SAMEA5672928,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826565/HICF0761_396436.pe.markdup.bam,HICF0761,ERS3476931,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826566,PRJEB32286,SAMEA5672929,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826566/HICF0762_396022.pe.markdup.bam,HICF0762,ERS3476932,22,R,S,S,S,S,S,S,S,S,S,-
ERR3826567,PRJEB32286,SAMEA5672930,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826567/HICF0763_396235.pe.markdup.bam,HICF0763,ERS3476933,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826568,PRJEB32286,SAMEA5672931,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826568/HICF0765_397222.pe.markdup.bam,HICF0765,ERS3476934,59,R,R,S,S,R,S,S,S,S,S,-
ERR3826569,PRJEB32286,SAMEA5672932,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826569/HICF0767_396658.pe.markdup.bam,HICF0767,ERS3476935,45,R,S,S,S,R,S,S,S,S,S,-
ERR3826570,PRJEB32286,SAMEA5672933,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826570/HICF0768_395962.pe.markdup.bam,HICF0768,ERS3476936,30,R,S,S,S,S,S,S,S,S,S,-
ERR3826571,PRJEB32286,SAMEA5672934,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826571/HICF0769_396271.pe.markdup.bam,HICF0769,ERS3476937,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826572,PRJEB32286,SAMEA5672935,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826572/HICF0770_395929.pe.markdup.bam,HICF0770,ERS3476938,59*,R,R,S,S,R,S,S,S,S,S,-
ERR3826573,PRJEB32286,SAMEA5672936,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826573/HICF0771rpt3_505407.pe.markdup.bam,HICF0771,ERS3476939,45,R,S,S,S,R,S,S,S,S,S,-
ERR3826574,PRJEB32286,SAMEA5672937,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826574/HICF0772_396028.pe.markdup.bam,HICF0772,ERS3476940,45,R,S,S,S,R,S,S,S,S,S,-
ERR3826575,PRJEB32286,SAMEA5672938,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826575/HICF0774_396985.pe.markdup.bam,HICF0774,ERS3476941,30,R,S,S,S,S,S,S,S,S,R,-
ERR3826576,PRJEB32286,SAMEA5672939,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826576/HICF0775rpt2_505854.pe.markdup.bam,HICF0775,ERS3476942,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826577,PRJEB32286,SAMEA5672940,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826577/HICF0776_397456.pe.markdup.bam,HICF0776,ERS3476943,22,R,S,S,S,S,S,S,R,S,R,-
ERR3826578,PRJEB32286,SAMEA5672941,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826578/HICF0777_396781.pe.markdup.bam,HICF0777,ERS3476944,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826579,PRJEB32286,SAMEA5672942,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826579/HICF0778_396112.pe.markdup.bam,HICF0778,ERS3476945,45,R,S,S,S,R,S,S,S,S,S,-
ERR3826580,PRJEB32286,SAMEA5672943,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826580/HICF0779_397336.pe.markdup.bam,HICF0779,ERS3476946,22,R,R,S,S,S,S,S,I,S,R,-
ERR3826581,PRJEB32286,SAMEA5672944,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826581/HICF0780_395980.pe.markdup.bam,HICF0780,ERS3476947,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826582,PRJEB32286,SAMEA5672945,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826582/HICF0781_396247.pe.markdup.bam,HICF0781,ERS3476948,2625,R,S,R,S,S,R,S,S,S,S,-
ERR3826583,PRJEB32286,SAMEA5672946,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826583/HICF0782_396019.pe.markdup.bam,HICF0782,ERS3476949,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826584,PRJEB32286,SAMEA5672947,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826584/HICF0784rpt1_506256.pe.markdup.bam,HICF0784,ERS3476950,22,R,-,-,-,-,-,-,-,-,-,-
ERR3826585,PRJEB32286,SAMEA5672948,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826585/HICF0785rpt2_505983.pe.markdup.bam,HICF0785,ERS3476951,22,R,S,S,S,S,S,S,S,S,S,-
ERR3826586,PRJEB32286,SAMEA5672949,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826586/HICF0786rpt2_505971.pe.markdup.bam,HICF0786,ERS3476952,6,R,R,S,S,S,S,S,S,S,S,-
ERR3826587,PRJEB32286,SAMEA5672950,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826587/HICF0787rpt2_506187.pe.markdup.bam,HICF0787,ERS3476953,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826588,PRJEB32286,SAMEA5672951,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826588/HICF0788rpt2_506178.pe.markdup.bam,HICF0788,ERS3476954,30,R,S,S,S,S,S,S,S,S,S,-
ERR3826589,PRJEB32286,SAMEA5672952,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826589/HICF0789rpt2_506238.pe.markdup.bam,HICF0789,ERS3476955,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826590,PRJEB32286,SAMEA5672953,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826590/HICF0790rpt2_505395.pe.markdup.bam,HICF0790,ERS3476956,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826591,PRJEB32286,SAMEA5672954,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826591/HICF0791rpt2_505833.pe.markdup.bam,HICF0791,ERS3476957,45,R,R,S,S,R,S,S,S,S,S,-
ERR3826592,PRJEB32286,SAMEA5672955,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826592/HICF0792rpt2_505869.pe.markdup.bam,HICF0792,ERS3476958,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826593,PRJEB32286,SAMEA5672956,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826593/HICF0794rpt2_505944.pe.markdup.bam,HICF0794,ERS3476959,45,R,S,S,S,S,S,S,S,S,R,-
ERR3826594,PRJEB32286,SAMEA5672957,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826594/HICF0796rpt2_505725.pe.markdup.bam,HICF0796,ERS3476960,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826595,PRJEB32286,SAMEA5672958,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826595/HICF0797rpt2_506022.pe.markdup.bam,HICF0797,ERS3476961,80,R,R,S,S,S,S,S,S,S,S,-
ERR3826596,PRJEB32286,SAMEA5672959,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826596/HICF0798rpt2_506004.pe.markdup.bam,HICF0798,ERS3476962,22,R,R,S,S,S,S,S,S,S,S,-
ERR3826597,PRJEB32286,SAMEA5672960,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826597/HICF0799rpt2_506259.pe.markdup.bam,HICF0799,ERS3476963,5,R,S,S,S,S,S,S,S,S,S,-
ERR3826598,PRJEB32286,SAMEA5672961,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826598/HICF0800rpt2_506166.pe.markdup.bam,HICF0800,ERS3476964,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826599,PRJEB32286,SAMEA5672962,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826599/HICF0801rpt2_505476.pe.markdup.bam,HICF0801,ERS3476965,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826600,PRJEB32286,SAMEA5672963,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826600/HICF0802rpt2_505709.pe.markdup.bam,HICF0802,ERS3476966,22,R,-,-,-,-,S,S,R,S,R,R
ERR3826601,PRJEB32286,SAMEA5672964,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826601/HICF0806_505344.pe.markdup.bam,HICF0806,ERS3476967,22,R,R,S,S,S,S,S,S,S,R,-
