run_accession,study_accession,sample_accession,tax_id,scientific_name,submitted_ftp,StrainID,AccessionIDs,ST,Cefoxitin,Erythromycin,Tetracycline,Rifampicin,FusidicAcid,Gentamicin,Chloramphenicol,Mupirocin,Linezolid,Ciprofloxacin,Trimethoprim
ERR3826617,PRJEB32286,SAMEA5672980,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826617/HICF0826_506112.pe.markdup.bam,HICF0826,ERS3476983,NOVEL,R,S,S,S,S,S,S,S,S,R,-
ERR3826618,PRJEB32286,SAMEA5672981,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826618/HICF0827_505734.pe.markdup.bam,HICF0827,ERS3476984,45,R,-,-,-,-,-,-,-,-,-,-
ERR3826619,PRJEB32286,SAMEA5672982,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826619/HICF0828_505482.pe.markdup.bam,HICF0828,ERS3476985,59,R,R,S,S,R,S,S,S,S,R,-
ERR3826620,PRJEB32286,SAMEA5672983,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826620/HICF0829_505662.pe.markdup.bam,HICF0829,ERS3476986,22,R,S,S,S,R,S,S,S,S,R,-
ERR3826621,PRJEB32286,SAMEA5672984,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826621/HICF0830_506247.pe.markdup.bam,HICF0830,ERS3476987,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826622,PRJEB32286,SAMEA5672985,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826622/HICF0831_505527.pe.markdup.bam,HICF0831,ERS3476988,1,R,S,S,S,R,S,S,S,S,S,-
ERR3826623,PRJEB32286,SAMEA5672986,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826623/HICF0832_506043.pe.markdup.bam,HICF0832,ERS3476989,121,R,R,S,S,S,R,S,S,S,S,-
ERR3826624,PRJEB32286,SAMEA5672987,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826624/HICF0833_505506.pe.markdup.bam,HICF0833,ERS3476990,45,R,S,S,S,R,S,S,S,S,S,-
ERR3826625,PRJEB32286,SAMEA5672988,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826625/HICF0834_505575.pe.markdup.bam,HICF0834,ERS3476991,2981,R,-,-,-,-,-,-,-,-,-,-
ERR3826626,PRJEB32286,SAMEA5672989,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826626/HICF0835_505887.pe.markdup.bam,HICF0835,ERS3476992,59,R,R,S,S,R,S,S,S,S,S,-
ERR3826627,PRJEB32286,SAMEA5672990,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826627/HICF0837_506070.pe.markdup.bam,HICF0837,ERS3476993,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826628,PRJEB32286,SAMEA5672991,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826628/HICF0838_505938.pe.markdup.bam,HICF0838,ERS3476994,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826629,PRJEB32286,SAMEA5672992,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826629/HICF0839_505947.pe.markdup.bam,HICF0839,ERS3476995,45,R,S,S,S,R,S,S,S,S,S,-
ERR3826630,PRJEB32286,SAMEA5672993,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826630/HICF0840_505347.pe.markdup.bam,HICF0840,ERS3476996,22,R,R,S,S,R,R,S,S,S,R,-
ERR3826631,PRJEB32286,SAMEA5672994,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826631/HICF0841_505653.pe.markdup.bam,HICF0841,ERS3476997,1,R,R,S,S,S,S,S,S,S,S,-
ERR3826632,PRJEB32286,SAMEA5672995,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826632/HICF0844_506064.pe.markdup.bam,HICF0844,ERS3476998,36,R,R,S,S,S,S,S,S,S,R,-
ERR3826633,PRJEB32286,SAMEA5672996,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826633/HICF0845_506010.pe.markdup.bam,HICF0845,ERS3476999,5,R,R,S,S,S,S,S,S,S,R,-
ERR3826634,PRJEB32286,SAMEA5672997,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826634/HICF0846_505857.pe.markdup.bam,HICF0846,ERS3477000,22,R,S,S,S,S,R,S,S,S,R,-
ERR3826635,PRJEB32286,SAMEA5672998,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826635/HICF0847_506190.pe.markdup.bam,HICF0847,ERS3477001,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826636,PRJEB32286,SAMEA5672999,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826636/HICF0848_505905.pe.markdup.bam,HICF0848,ERS3477002,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826637,PRJEB32286,SAMEA5673000,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826637/HICF0849_506226.pe.markdup.bam,HICF0849,ERS3477003,1,R,S,S,S,R,R,S,S,S,S,-
ERR3826638,PRJEB32286,SAMEA5673001,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826638/HICF0850_506031.pe.markdup.bam,HICF0850,ERS3477004,789,R,S,S,S,S,R,S,S,S,R,-
ERR3826639,PRJEB32286,SAMEA5673002,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826639/HICF0851_506211.pe.markdup.bam,HICF0851,ERS3477005,72,R,S,R,S,R,S,S,S,S,S,-
ERR3826640,PRJEB32286,SAMEA5673003,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826640/HICF0852_506262.pe.markdup.bam,HICF0852,ERS3477006,22,R,S,S,S,S,S,-,-,-,-,-
ERR3826641,PRJEB32286,SAMEA5673004,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826641/HICF0854_505566.pe.markdup.bam,HICF0854,ERS3477007,398,R,S,R,S,S,S,S,S,S,R,-
ERR3826642,PRJEB32286,SAMEA5673005,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826642/HICF0855_506001.pe.markdup.bam,HICF0855,ERS3477008,612,R,R,R,R,S,R,S,S,S,S,-
ERR3826643,PRJEB32286,SAMEA5673006,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826643/HICF0856_506172.pe.markdup.bam,HICF0856,ERS3477009,1,R,R,R,S,S,S,S,S,S,S,-
ERR3826644,PRJEB32286,SAMEA5673007,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826644/HICF0857_505416.pe.markdup.bam,HICF0857,ERS3477010,22,R,S,S,S,R,R,S,I,S,R,-
ERR3826645,PRJEB32286,SAMEA5673008,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826645/HICF0858_505986.pe.markdup.bam,HICF0858,ERS3477011,59,R,S,S,S,R,S,S,S,S,S,-
ERR3826646,PRJEB32286,SAMEA5673009,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826646/HICF0859_506199.pe.markdup.bam,HICF0859,ERS3477012,22,R,S,S,S,S,S,-,-,-,-,-
ERR3826647,PRJEB32286,SAMEA5673010,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826647/HICF0860_506088.pe.markdup.bam,HICF0860,ERS3477013,80,R,R,S,S,S,S,S,S,S,S,-
ERR3826648,PRJEB32286,SAMEA5673011,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826648/HICF0861_505995.pe.markdup.bam,HICF0861,ERS3477014,8,R,S,R,S,S,S,S,S,S,R,-
ERR3826649,PRJEB32286,SAMEA5673012,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826649/HICF0862_506235.pe.markdup.bam,HICF0862,ERS3477015,22,R,S,S,S,S,S,S,S,S,S,-
ERR3826650,PRJEB32286,SAMEA5673013,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826650/HICF0863rpt2_505623.pe.markdup.bam,HICF0863,ERS3477016,22,R,-,-,-,-,-,-,-,-,-,-
ERR3826651,PRJEB32286,SAMEA5673014,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826651/HICF0864rpt2_505989.pe.markdup.bam,HICF0864,ERS3477017,22,R,R,S,S,S,S,-,-,-,-,-
ERR3826652,PRJEB32286,SAMEA5673015,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826652/HICF0865rpt2_505764.pe.markdup.bam,HICF0865,ERS3477018,1649,R,S,S,S,S,S,S,S,S,S,-
ERR3826653,PRJEB32286,SAMEA5673016,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826653/HICF0866rpt2_506013.pe.markdup.bam,HICF0866,ERS3477019,22,R,S,S,S,R,S,S,I,S,R,-
ERR3826654,PRJEB32286,SAMEA5673017,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826654/HICF0867rpt2_505431.pe.markdup.bam,HICF0867,ERS3477020,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826655,PRJEB32286,SAMEA5673018,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826655/HICF0868rpt2_505446.pe.markdup.bam,HICF0868,ERS3477021,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826656,PRJEB32286,SAMEA5673019,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826656/HICF0869_506133.pe.markdup.bam,HICF0869,ERS3477022,59,R,R,S,S,R,S,S,S,S,S,-
ERR3826657,PRJEB32286,SAMEA5673020,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826657/HICF0870rpt2_505467.pe.markdup.bam,HICF0870,ERS3477023,8,R,S,R,S,S,S,-,-,-,-,-
ERR3826658,PRJEB32286,SAMEA5673021,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826658/HICF0871rpt2_505646.pe.markdup.bam,HICF0871,ERS3477024,1,R,R,S,S,S,S,S,S,S,S,-
ERR3826659,PRJEB32286,SAMEA5673022,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826659/HICF0872rpt2_506079.pe.markdup.bam,HICF0872,ERS3477025,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826660,PRJEB32286,SAMEA5673023,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826660/HICF0873rpt2_505911.pe.markdup.bam,HICF0873,ERS3477026,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826661,PRJEB32286,SAMEA5673024,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826661/HICF0874_506250.pe.markdup.bam,HICF0874,ERS3477027,59,R,R,S,S,R,S,S,S,S,S,-
ERR3826662,PRJEB32286,SAMEA5673025,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826662/HICF0875rpt2_506040.pe.markdup.bam,HICF0875,ERS3477028,45,R,S,S,S,R,S,S,S,S,S,-
ERR3826663,PRJEB32286,SAMEA5673026,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826663/HICF0878_505473.pe.markdup.bam,HICF0878,ERS3477029,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826664,PRJEB32286,SAMEA5673027,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826664/HICF0879rpt2_506109.pe.markdup.bam,HICF0879,ERS3477030,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826665,PRJEB32286,SAMEA5673028,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826665/HICF0881rpt2_505797.pe.markdup.bam,HICF0881,ERS3477031,22,R,S,S,S,S,S,S,R,S,R,-
ERR3826666,PRJEB32286,SAMEA5673029,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826666/HICF0884rpt2_506058.pe.markdup.bam,HICF0884,ERS3477032,22,R,-,-,-,-,-,-,-,-,-,-
ERR3826667,PRJEB32286,SAMEA5673030,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826667/HICF0885rpt2_505932.pe.markdup.bam,HICF0885,ERS3477033,22,R,S,S,S,S,S,S,S,S,S,-
ERR3826668,PRJEB32286,SAMEA5673031,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826668/HICF0886rpt2_505458.pe.markdup.bam,HICF0886,ERS3477034,22,R,R,R,S,S,S,S,S,S,R,-
ERR3826669,PRJEB32286,SAMEA5673032,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826669/HICF0887rpt2_505977.pe.markdup.bam,HICF0887,ERS3477035,338,R,R,R,S,S,S,R,S,S,S,-
ERR3826670,PRJEB32286,SAMEA5673033,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826670/HICF0889_506241.pe.markdup.bam,HICF0889,ERS3477036,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826671,PRJEB32286,SAMEA5673034,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826671/HICF0890_506205.pe.markdup.bam,HICF0890,ERS3477037,59,R,R,R,S,R,S,S,S,S,R,-
ERR3826672,PRJEB32286,SAMEA5673035,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826672/HICF0891rpt2_505419.pe.markdup.bam,HICF0891,ERS3477038,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826673,PRJEB32286,SAMEA5673036,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826673/HICF0892rpt2_505341.pe.markdup.bam,HICF0892,ERS3477039,5,R,S,S,S,S,S,S,S,S,S,-
ERR3826674,PRJEB32286,SAMEA5673037,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826674/HICF0893_505371.pe.markdup.bam,HICF0893,ERS3477040,22,R,S,S,S,R,S,S,S,S,R,-
ERR3826675,PRJEB32286,SAMEA5673038,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826675/HICF0896_506082.pe.markdup.bam,HICF0896,ERS3477041,5,R,R,S,S,S,S,S,S,S,R,-
ERR3826676,PRJEB32286,SAMEA5673039,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826676/HICF0897_505377.pe.markdup.bam,HICF0897,ERS3477042,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826677,PRJEB32286,SAMEA5673040,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826677/HICF0898_506253.pe.markdup.bam,HICF0898,ERS3477043,1535,R,S,R,S,R,R,S,S,S,S,-
ERR3826678,PRJEB32286,SAMEA5673041,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826678/HICF0899_506184.pe.markdup.bam,HICF0899,ERS3477044,45,R,S,S,S,R,S,S,S,S,S,-
ERR3826679,PRJEB32286,SAMEA5673042,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826679/HICF0902_505740.pe.markdup.bam,HICF0902,ERS3477045,45,R,S,S,S,R,S,S,S,S,S,-
ERR3826680,PRJEB32286,SAMEA5673043,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826680/HICF0903_505350.pe.markdup.bam,HICF0903,ERS3477046,149,R,S,S,S,R,S,S,S,S,S,-
ERR3826681,PRJEB32286,SAMEA5673044,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826681/HICF0904_505607.pe.markdup.bam,HICF0904,ERS3477047,36,R,R,S,S,S,R,S,R,S,R,-
ERR3826682,PRJEB32286,SAMEA5673045,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826682/HICF0905_505974.pe.markdup.bam,HICF0905,ERS3477048,22,R,S,R,S,S,S,S,S,S,S,-
ERR3826683,PRJEB32286,SAMEA5673046,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826683/HICF0906_505896.pe.markdup.bam,HICF0906,ERS3477049,130,R,S,S,S,S,S,S,S,S,S,-
ERR3826684,PRJEB32286,SAMEA5673047,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826684/HICF0908_505716.pe.markdup.bam,HICF0908,ERS3477050,8,R,R,S,S,S,S,S,S,S,S,-
ERR3826685,PRJEB32286,SAMEA5673048,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826685/HICF0909_505899.pe.markdup.bam,HICF0909,ERS3477051,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826686,PRJEB32286,SAMEA5673049,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826686/HICF0910_505824.pe.markdup.bam,HICF0910,ERS3477052,425,R,S,S,S,R,S,S,S,S,S,-
ERR3826687,PRJEB32286,SAMEA5673050,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826687/HICF0912_505512.pe.markdup.bam,HICF0912,ERS3477053,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826688,PRJEB32286,SAMEA5673051,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826688/HICF0913_505851.pe.markdup.bam,HICF0913,ERS3477054,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826689,PRJEB32286,SAMEA5673052,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826689/HICF0915_505926.pe.markdup.bam,HICF0915,ERS3477055,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826690,PRJEB32286,SAMEA5673053,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826690/HICF0916_505500.pe.markdup.bam,HICF0916,ERS3477056,2625,R,S,R,S,S,R,S,S,S,S,-
ERR3826691,PRJEB32286,SAMEA5673054,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826691/HICF0917_506103.pe.markdup.bam,HICF0917,ERS3477057,45,R,R,R,S,S,R,S,S,S,R,-
ERR3826692,PRJEB32286,SAMEA5673055,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826692/HICF0919_506094.pe.markdup.bam,HICF0919,ERS3477058,430,R,R,S,S,R,S,S,R,S,S,-
ERR3826693,PRJEB32286,SAMEA5673056,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826693/HICF0920_505920.pe.markdup.bam,HICF0920,ERS3477059,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826694,PRJEB32286,SAMEA5673057,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826694/HICF0921_506157.pe.markdup.bam,HICF0921,ERS3477060,22,R,S,S,S,S,S,S,R,S,R,-
ERR3826695,PRJEB32286,SAMEA5673058,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826695/HICF0922_505398.pe.markdup.bam,HICF0922,ERS3477061,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826696,PRJEB32286,SAMEA5673059,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826696/HICF0923_506118.pe.markdup.bam,HICF0923,ERS3477062,22,R,S,S,S,R,S,S,S,S,R,-
ERR3826697,PRJEB32286,SAMEA5673060,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826697/HICF0924_506034.pe.markdup.bam,HICF0924,ERS3477063,22,R,R,S,S,S,S,S,S,S,R,-
ERR3826698,PRJEB32286,SAMEA5673061,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826698/HICF0925_505914.pe.markdup.bam,HICF0925,ERS3477064,NOVEL,R,R,S,S,S,S,S,S,S,S,-
ERR3826699,PRJEB32286,SAMEA5673062,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826699/HICF0926_505455.pe.markdup.bam,HICF0926,ERS3477065,5,R,R,S,S,S,S,S,S,S,R,-
ERR3826700,PRJEB32286,SAMEA5673063,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826700/HICF0927_505494.pe.markdup.bam,HICF0927,ERS3477066,5,R,R,S,S,S,S,S,S,S,R,-
ERR3826701,PRJEB32286,SAMEA5673064,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826701/HICF0928_505503.pe.markdup.bam,HICF0928,ERS3477067,22,R,S,S,S,S,S,S,R,S,R,-
ERR3826702,PRJEB32286,SAMEA5673065,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826702/HICF0929_505449.pe.markdup.bam,HICF0929,ERS3477068,22,R,S,S,S,S,S,S,R,S,R,-
ERR3826703,PRJEB32286,SAMEA5673066,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826703/HICF0930_505866.pe.markdup.bam,HICF0930,ERS3477069,72,R,R,S,S,S,S,S,S,S,S,-
ERR3826704,PRJEB32286,SAMEA5673067,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826704/HICF0931_505701.pe.markdup.bam,HICF0931,ERS3477070,45,R,S,S,S,R,S,S,S,S,S,-
ERR3826705,PRJEB32286,SAMEA5673068,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826705/HICF0932_505356.pe.markdup.bam,HICF0932,ERS3477071,45,R,S,S,S,R,S,S,S,S,S,-
ERR3826706,PRJEB32286,SAMEA5673069,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826706/HICF0935_505686.pe.markdup.bam,HICF0935,ERS3477072,6,R,S,S,S,S,S,S,S,S,S,-
ERR3826707,PRJEB32286,SAMEA5673070,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826707/HICF0936_505959.pe.markdup.bam,HICF0936,ERS3477073,1,R,R,R,S,S,S,S,S,S,S,-
ERR3826708,PRJEB32286,SAMEA5673071,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826708/HICF0937_506217.pe.markdup.bam,HICF0937,ERS3477074,59,R,S,S,S,R,S,S,S,S,S,-
ERR3826709,PRJEB32286,SAMEA5673072,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826709/HICF0938_505881.pe.markdup.bam,HICF0938,ERS3477075,45,R,S,S,S,R,S,S,S,S,S,-
ERR3826710,PRJEB32286,SAMEA5673073,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826710/HICF0939_506202.pe.markdup.bam,HICF0939,ERS3477076,NOVEL*,R,R,R,S,S,S,S,S,S,S,-
ERR3826711,PRJEB32286,SAMEA5673074,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826711/HICF0940_506223.pe.markdup.bam,HICF0940,ERS3477077,772,R,R,S,S,S,S,S,S,S,R,-
ERR3826712,PRJEB32286,SAMEA5673075,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826712/HICF0941_505542.pe.markdup.bam,HICF0941,ERS3477078,5,R,S,S,S,R,S,S,S,S,R,-
ERR3826713,PRJEB32286,SAMEA5673076,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826713/HICF0943_505401.pe.markdup.bam,HICF0943,ERS3477079,1457,R,S,S,S,S,S,S,S,S,S,-
ERR3826714,PRJEB32286,SAMEA5673077,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826714/HICF0944_505598.pe.markdup.bam,HICF0944,ERS3477080,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826715,PRJEB32286,SAMEA5673078,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826715/HICF0945_505860.pe.markdup.bam,HICF0945,ERS3477081,5,R,R,S,S,S,S,S,S,S,R,-
ERR3826716,PRJEB32286,SAMEA5673087,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826716/HICF0946_506160.pe.markdup.bam,HICF0946,ERS3477090,22,R,S,R,S,S,S,S,S,S,R,-
ERR3826717,PRJEB32286,SAMEA5673088,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826717/HICF0947_506193.pe.markdup.bam,HICF0947,ERS3477091,30,R,S,S,S,S,S,S,S,S,S,-
ERR3826718,PRJEB32286,SAMEA5673089,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826718/HICF0948_505893.pe.markdup.bam,HICF0948,ERS3477092,45,R,S,S,S,R,S,S,S,S,S,-
ERR3826719,PRJEB32286,SAMEA5673090,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826719/HICF0949_506091.pe.markdup.bam,HICF0949,ERS3477093,130,R,S,S,S,S,S,S,S,S,S,-
ERR3826720,PRJEB32286,SAMEA5673079,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826720/HICF0950_505614.pe.markdup.bam,HICF0950,ERS3477082,22,R,S,S,S,S,S,S,S,S,R,-
ERR3826721,PRJEB32286,SAMEA5673080,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826721/HICF0951_505590.pe.markdup.bam,HICF0951,ERS3477083,22,R,R,R,S,S,S,S,S,S,R,-
ERR3826722,PRJEB32286,SAMEA5673081,1280,Staphylococcus aureus,ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3826722/HICF0952_506244.pe.markdup.bam,HICF0952,ERS3477084,22,R,R,S,S,S,S,S,S,S,R,-
