run_accession,study_accession,accession number,tax_id,scientific_name,submitted_ftp,sample ID,source species,organism,year of isolation,clinical rol,sample,geo loc,owner State,AMC,AMP,AZT,FOX,CRO,CHL,CIP,GEN,MER,NAL,STR,FIZ,TET,TRISUL
SRR14766374,PRJNA736314,SAMN19641957,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-006979-464,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2014,INFECTION,LIVER,USA,MN,>   32.0000,>   32.0000,=   2.0000,=   16.0000,=   16.0000,>   32.0000,<=   0.0150,=   0.5000,<=   0.0600,=   2.0000,>   64.0000,>   256.0000,>   32.0000,<=   0.1200
SRR14766375,PRJNA736314,SAMN19641956,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-006979-453,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2014,INFECTION,LIVER,USA,MN,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766376,PRJNA736314,SAMN19642066,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,19-021047-021,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2017,INFECTION,TISSUE,USA,AL,>   32.0000,>   32.0000,=   4.0000,=   16.0000,=   8.0000,>   32.0000,=   0.2500,=   1.0000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766377,PRJNA736314,SAMN19642060,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,19-021047-018,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2017,INFECTION,LIVER,USA,NY,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   64.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766378,PRJNA736314,SAMN19641990,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,19-021047-006,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2017,UNKNOWN,LIVER,USA,MN,>   32.0000,>   32.0000,=   4.0000,=   16.0000,=   16.0000,>   32.0000,<=   0.0150,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766379,PRJNA736314,SAMN19641989,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,19-021047-005,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2017,UNKNOWN,LUNG,USA,MN,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0600,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   4.0000
SRR14766380,PRJNA736314,SAMN19641993,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,19-021046-070,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2017,INFECTION,LIVER,USA,WI,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   16.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,<=   0.1200
SRR14766381,PRJNA736314,SAMN19641946,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,19-021046-067,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2017,INFECTION,LUNG,USA,KS,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,<=   0.1200
SRR14766382,PRJNA736314,SAMN19642037,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,19-021046-065,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2017,INFECTION,LUNG,USA,OH,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   16.0000,>   32.0000,=   0.0600,=   1.0000,<=   0.0600,=   8.0000,>   64.0000,>   256.0000,>   32.0000,=   2.0000
SRR14766383,PRJNA736314,SAMN19641953,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,19-021046-064,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2017,UNKNOWN,UNKNOWN,USA,TX,=   2.0000,=   2.0000,=   8.0000,=   8.0000,<=   0.2500,>   32.0000,=   0.5000,=   0.5000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766384,PRJNA736314,SAMN19641988,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,19-021046-055,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2017,INFECTION,LIVER,USA,MN,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   64.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766385,PRJNA736314,SAMN19641987,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,19-021046-033,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2017,INFECTION,LIVER,USA,MN,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.5000,=   2.0000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   4.0000
SRR14766386,PRJNA736314,SAMN19641938,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-006979-438,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2014,INFECTION,LUNG,USA,SD,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766387,PRJNA736314,SAMN19641952,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,19-021046-010,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2017,INFECTION,SPLEEN,USA,TX,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   2.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766388,PRJNA736314,SAMN19641986,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,19-021046-004,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2017,INFECTION,LIVER,USA,MN,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   16.0000,>   32.0000,=   0.0300,=   2.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766389,PRJNA736314,SAMN19642059,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,19-020610-062,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2017,INFECTION,MILK,USA,NY,>      32,>      32,=       4,>      32,=      32,>      32,=    0.03,=       2,<=    0.06,=       4,>      64,>     256,>      32,=    0.25
SRR14766390,PRJNA736314,SAMN19641977,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-038310-064,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,UNKNOWN,LIVER,USA,MN,=   32.0000,>   32.0000,=   4.0000,=   16.0000,=   8.0000,>   32.0000,=   0.2500,=   0.5000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,=   32.0000,<=   0.1200
SRR14766391,PRJNA736314,SAMN19641976,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-038310-038,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LIVER,USA,MN,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   16.0000,>   32.0000,=   0.0300,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,<=   0.1200
SRR14766392,PRJNA736314,SAMN19642010,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-038310-009,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LUNG,USA,IA,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   16.0000,>   32.0000,=   0.5000,=   1.0000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766393,PRJNA736314,SAMN19642042,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-038310-001,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,UNKNOWN,FSWAB,USA,PA,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   32.0000,>   32.0000,<=   0.0150,=   1.0000,<=   0.0600,=   2.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766394,PRJNA736314,SAMN19641975,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024131-084,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LIVER,USA,MN,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   64.0000,>   32.0000,=   0.2500,=   1.0000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766395,PRJNA736314,SAMN19642034,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024131-058,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LUNG,USA,OH,=   2.0000,=   2.0000,=   8.0000,=   8.0000,<=   0.2500,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766396,PRJNA736314,SAMN19642064,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024131-048,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,INTEST,USA,KY,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   16.0000,>   32.0000,=   0.0300,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766397,PRJNA736314,SAMN19641974,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024131-046,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LIVER,USA,MN,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   16.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766398,PRJNA736314,SAMN19641930,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024131-042,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,FECES,USA,WA,<=   1.0000,<=   1.0000,=   1.0000,=   4.0000,<=   0.2500,>   32.0000,<=   0.0150,<=   0.2500,<=   0.0600,=   1.0000,>   64.0000,>   256.0000,>   32.0000,<=   0.1200
SRR14766399,PRJNA736314,SAMN19642056,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024131-039,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LUNG,USA,NY,>   32.0000,>   32.0000,=   2.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,<=   0.1200
SRR14766400,PRJNA736314,SAMN19642031,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-006979-374,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2014,INFECTION,FECES,USA,OH,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   64.0000,>   32.0000,=   0.0300,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766401,PRJNA736314,SAMN19641973,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024128-098,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,UNKNOWN,LUNG,USA,MN,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   16.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766402,PRJNA736314,SAMN19641929,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-467,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,FECES,USA,WA,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   64.0000,>   32.0000,=   0.0300,=   16.0000,<=   0.0600,=   8.0000,=   16.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766403,PRJNA736314,SAMN19642051,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-463,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,CULTURE,USA,NY,>   32.0000,>   32.0000,=   2.0000,=   32.0000,=   8.0000,>   32.0000,<=   0.0150,=   0.5000,<=   0.0600,=   2.0000,>   64.0000,>   256.0000,=   16.0000,=   0.5000
SRR14766404,PRJNA736314,SAMN19642050,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-462,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,CULTURE,USA,NY,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   8.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766405,PRJNA736314,SAMN19642033,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-460,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LUNG,USA,OH,<=   1.0000,<=   1.0000,=   0.5000,=   2.0000,<=   0.2500,>   32.0000,<=   0.0150,<=   0.2500,<=   0.0600,<=   0.5000,>   64.0000,>   256.0000,=   16.0000,=   1.0000
SRR14766406,PRJNA736314,SAMN19641941,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-447,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,UNKNOWN,LYMPH,USA,SD,>   32.0000,>   32.0000,=   4.0000,=   16.0000,=   4.0000,>   32.0000,<=   0.0150,<=   0.2500,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766407,PRJNA736314,SAMN19642005,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-435,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LUNG,USA,IA,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   16.0000,=   8.0000,=   0.0300,=   1.0000,<=   0.0600,=   8.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766408,PRJNA736314,SAMN19641967,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-416,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LIVER,USA,MN,>   32.0000,>   32.0000,=   4.0000,=   32.0000,=   16.0000,>   32.0000,=   0.0300,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   2.0000
SRR14766409,PRJNA736314,SAMN19642049,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-413,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,INTCNTS,USA,NY,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766410,PRJNA736314,SAMN19642004,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-412,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LUNG,USA,IA,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.5000,=   0.5000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766411,PRJNA736314,SAMN19641966,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-405,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LIVER,USA,MN,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   16.0000,>   32.0000,=   0.0300,=   2.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,>   4.0000
SRR14766412,PRJNA736314,SAMN19641936,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-006979-169,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2014,UNKNOWN,FECES,USA,SD,>   32.0000,>   32.0000,<=   0.2500,>   32.0000,>   64.0000,=   4.0000,<=   0.0150,>   16.0000,<=   0.0600,<=   0.5000,=   32.0000,>   256.0000,=   32.0000,<=   0.1200
SRR14766413,PRJNA736314,SAMN19642018,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-394,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LUNG,USA,MO,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766414,PRJNA736314,SAMN19642003,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-391,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LUNG,USA,IA,=   2.0000,=   2.0000,=   4.0000,=   8.0000,<=   0.2500,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,>   4.0000
SRR14766415,PRJNA736314,SAMN19642002,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-390,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LUNG,USA,IA,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   32.0000,>   32.0000,=   0.5000,=   1.0000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766416,PRJNA736314,SAMN19641965,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-369,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LIVER,USA,MN,=   2.0000,=   2.0000,=   4.0000,=   8.0000,<=   0.2500,>   32.0000,=   0.0300,=   0.5000,<=   0.0600,=   8.0000,>   64.0000,>   256.0000,>   32.0000,<=   0.1200
SRR14766417,PRJNA736314,SAMN19642048,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-365,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LIVER,USA,NY,>   32.0000,>   32.0000,=   1.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   8.0000,>   64.0000,>   256.0000,>   32.0000,=   1.0000
SRR14766418,PRJNA736314,SAMN19641940,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-360,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,UNKNOWN,KIDNEY,USA,SD,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   64.0000,>   32.0000,=   0.5000,=   1.0000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766419,PRJNA736314,SAMN19641964,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-337,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LUNG,USA,MN,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766420,PRJNA736314,SAMN19641948,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-328,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,FSWAB,USA,TX,=   32.0000,>   32.0000,=   4.0000,=   32.0000,=   8.0000,>   32.0000,=   0.1200,=   1.0000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,=   32.0000,=   0.5000
SRR14766421,PRJNA736314,SAMN19641963,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-314,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LIVER,USA,MN,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766422,PRJNA736314,SAMN19642047,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-298,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,JOINFL,USA,NY,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   16.0000,>   32.0000,<=   0.0150,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766423,PRJNA736314,SAMN19642026,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-006979-158,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2014,INFECTION,LUNG,USA,IN,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,<=   0.0150,=   2.0000,<=   0.0600,=   2.0000,>   64.0000,>   256.0000,>   32.0000,=   2.0000
SRR14766424,PRJNA736314,SAMN19642017,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-296,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LIVER,USA,MO,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.2500,=   1.0000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766425,PRJNA736314,SAMN19642016,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-294,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LUNG,USA,MO,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   32.0000,>   32.0000,=   1.0000,=   1.0000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   1.0000
SRR14766426,PRJNA736314,SAMN19641939,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-280,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,INTEST,USA,SD,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0600,=   0.5000,=   0.1200,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766427,PRJNA736314,SAMN19642001,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-263,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LUNG,USA,IA,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,>   4.0000
SRR14766428,PRJNA736314,SAMN19641962,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-249,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LIVER,USA,MN,>   32.0000,>   32.0000,=   0.5000,=   32.0000,=   32.0000,>   32.0000,=   0.0600,<=   0.2500,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,=   16.0000,<=   0.1200
SRR14766429,PRJNA736314,SAMN19642000,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-241,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LYMPH,USA,IA,>   32.0000,>   32.0000,=   2.0000,=   32.0000,=   16.0000,>   32.0000,<=   0.0150,<=   0.2500,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766430,PRJNA736314,SAMN19641999,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-240,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LUNG,USA,IA,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766431,PRJNA736314,SAMN19642022,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-239,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,UNKNOWN,INTCNTS,USA,IL,>   32.0000,>   32.0000,=   4.0000,=   16.0000,=   16.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   8.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766432,PRJNA736314,SAMN19642046,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-197,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,BLOOD,USA,NY,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766433,PRJNA736314,SAMN19641998,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-164,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LIVER,USA,IA,>   32.0000,=   32.0000,=   2.0000,=   16.0000,=   8.0000,>   32.0000,<=   0.0150,=   1.0000,<=   0.0600,=   8.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766434,PRJNA736314,SAMN19642065,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,19-020610-044,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2017,UNKNOWN,INTEST,USA,KY,>   32.0000,>   32.0000,=   4.0000,>   32.0000,>   64.0000,>   32.0000,=   0.2500,=   1.0000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766435,PRJNA736314,SAMN19641945,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,19-020610-035,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2017,UNKNOWN,LUNG,USA,SD,>      32,>      32,=       4,>      32,=      16,>      32,=    0.25,=     0.5,<=    0.06,>      32,>      64,>     256,>      32,=     0.5
SRR14766436,PRJNA736314,SAMN19641985,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,19-020610-013,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2017,INFECTION,LIVER,USA,MN,>      32,>      32,=       4,>      32,=      32,>      32,=     0.5,=       2,<=    0.06,>      32,>      64,>     256,>      32,<=    0.12
SRR14766437,PRJNA736314,SAMN19641984,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,19-020610-006,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2017,INFECTION,LIVER,USA,MN,>      32,>      32,=       8,>      32,=      64,>      32,=    0.03,=       1,<=    0.06,=       4,>      64,>     256,>      32,=    0.25
SRR14766438,PRJNA736314,SAMN19642061,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-038877-079,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2017,INFECTION,LUNG,USA,MD,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   8.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
