Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolate,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,STRAIN,sub_species
SRR17179108,WGS,302,1380507836,PRJNA787062,SAMN23768759,Pathogen.cl,439514377,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX13362732,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,103,Human blood sample,8.9806 N 38.7578 E,103,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,103,SRP349950,Not appllicable,
SRR17179109,WGS,302,2306964108,PRJNA787062,SAMN23768656,Pathogen.cl,772934821,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,wgmlst_sig,realign,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX13362731,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,102,Human blood sample,8.9806 N 38.7578 E,102,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-07-18T00:00:00Z,102,SRP349950,Not appllicable,
SRR17179110,WGS,302,2148456992,PRJNA787062,SAMN23768626,Pathogen.cl,718885982,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX13362730,Ethiopia,Africa,Ethiopia: Hawassa,Sepsis,Homo sapiens,Illumina HiSeq 2500,10,Human blood sample,7.0504 N 38.4955 E,10,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,10,SRP349950,Not appllicable,
SRR17179111,WGS,302,1348400404,PRJNA787062,SAMN23768704,Pathogen.cl,432602594,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX13362729,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,101,Human blood sample,8.9806 N 38.7578 E,101,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,101,SRP349950,Not appllicable,
SRR17179112,WGS,302,1953067824,PRJNA787062,SAMN23768655,Pathogen.cl,656428589,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,realign,wgmlst_sig,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX13362728,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,98,Human blood sample,8.9806 N 38.7578 E,98,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-07-18T00:00:00Z,98,SRP349950,Not appllicable,
SRR17179113,WGS,302,1622408024,PRJNA787062,SAMN23768703,Pathogen.cl,516311397,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX13362727,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,97,Human blood sample,8.9806 N 38.7578 E,97,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,97,SRP349950,Not appllicable,
SRR17179114,WGS,302,1580230704,PRJNA787062,SAMN23768758,Pathogen.cl,507231766,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX13362726,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,95,Human blood sample,8.9806 N 38.7578 E,95,PAIRED,RANDOM,GENOMIC,Raoultella ornithinolytica,ILLUMINA,2022-07-18T00:00:00Z,95,SRP349950,Not appllicable,
SRR17179115,WGS,302,1398449354,PRJNA787062,SAMN23768757,Pathogen.cl,449459542,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX13362725,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,94,Human blood sample,8.9806 N 38.7578 E,94,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,94,SRP349950,Not appllicable,
SRR17179116,WGS,302,1618202372,PRJNA787062,SAMN23768756,Pathogen.cl,512628264,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX13362724,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,93,Human blood sample,8.9806 N 38.7578 E,93,PAIRED,RANDOM,GENOMIC,Enterobacter ludwigii,ILLUMINA,2022-07-18T00:00:00Z,93,SRP349950,Not appllicable,
SRR17179117,WGS,302,2339705438,PRJNA787062,SAMN23768755,Pathogen.cl,735862715,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX13362723,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,89,Human blood sample,8.9806 N 38.7578 E,89,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,89,SRP349950,Not appllicable,
SRR17179118,WGS,302,2983911906,PRJNA787062,SAMN23768702,Pathogen.cl,914145682,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX13362722,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,87,Human blood sample,8.9806 N 38.7578 E,87,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,87,SRP349950,Not appllicable,
SRR17179119,WGS,302,1762190234,PRJNA787062,SAMN23768654,Pathogen.cl,592108614,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,realign,fastq,wgmlst_sig","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX13362721,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,86,Human blood sample,8.9806 N 38.7578 E,86,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-07-18T00:00:00Z,86,SRP349950,Not appllicable,
SRR17179120,WGS,302,3001118960,PRJNA787062,SAMN23768754,Pathogen.cl,930727338,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX13362720,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,85,Human blood sample,8.9806 N 38.7578 E,85,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,85,SRP349950,Not appllicable,
SRR17179121,WGS,302,1839541494,PRJNA787062,SAMN23768625,Pathogen.cl,618378816,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX13362719,Ethiopia,Africa,Ethiopia: Hawassa,Sepsis,Homo sapiens,Illumina HiSeq 2500,9,Human blood sample,7.0504 N 38.4955 E,9,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,9,SRP349950,Not appllicable,
SRR17179122,WGS,302,2642382220,PRJNA787062,SAMN23768753,Pathogen.cl,848130378,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX13362718,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,84,Human blood sample,8.9806 N 38.7578 E,84,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,84,SRP349950,Not appllicable,
SRR17179123,WGS,302,1031975374,PRJNA787062,SAMN23768752,Pathogen.cl,338436229,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX13362717,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,83,Human blood sample,8.9806 N 38.7578 E,83,PAIRED,RANDOM,GENOMIC,Enterobacter cloacae,ILLUMINA,2022-07-18T00:00:00Z,83,SRP349950,Not appllicable,
SRR17179124,WGS,302,1905273002,PRJNA787062,SAMN23768701,Pathogen.cl,690872661,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX13362716,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,82,Human blood sample,8.9806 N 38.7578 E,82,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-07-18T00:00:00Z,82,SRP349950,Not appllicable,
SRR17179125,WGS,302,1265124508,PRJNA787062,SAMN23768751,Pathogen.cl,408074275,ADDIS ABABA UNIVERSITY,Melese Hailu Legese,2019-10/2020-09,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX13362715,Ethiopia,Africa,Ethiopia: Addis Ababa,Sepsis,Homo sapiens,Illumina HiSeq 2500,79,Human blood sample,8.9806 N 38.7578 E,79,PAIRED,RANDOM,GENOMIC,Enterobacter cloacae,ILLUMINA,2022-07-18T00:00:00Z,79,SRP349950,Not appllicable,
