run_accession	study_accession	sample_accession	tax_id	scientific_name	submitted_ftp
ERR4198105	PRJEB21277	SAMEA6908141	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198105/WTCHG_781213_73485324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198105/WTCHG_781213_73485324_2.fastq.gz
ERR4198106	PRJEB21277	SAMEA6908142	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198106/WTCHG_781213_73495325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198106/WTCHG_781213_73495325_2.fastq.gz
ERR4198107	PRJEB21277	SAMEA6908143	1463165	Klebsiella quasipneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198107/WTCHG_781213_73505326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198107/WTCHG_781213_73505326_2.fastq.gz
ERR4198108	PRJEB21277	SAMEA6908144	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198108/WTCHG_781213_73515327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198108/WTCHG_781213_73515327_2.fastq.gz
ERR4198109	PRJEB21277	SAMEA6908145	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198109/WTCHG_781213_73525328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198109/WTCHG_781213_73525328_2.fastq.gz
ERR4198110	PRJEB21277	SAMEA6908146	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198110/WTCHG_781213_73535329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198110/WTCHG_781213_73535329_2.fastq.gz
ERR4198111	PRJEB21277	SAMEA6908147	244366	Klebsiella variicola	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198111/WTCHG_781213_73545330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198111/WTCHG_781213_73545330_2.fastq.gz
ERR4198112	PRJEB21277	SAMEA6908148	244366	Klebsiella variicola	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198112/WTCHG_781213_73555331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198112/WTCHG_781213_73555331_2.fastq.gz
ERR4198113	PRJEB21277	SAMEA6908149	1463165	Klebsiella quasipneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198113/WTCHG_781213_73565332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198113/WTCHG_781213_73565332_2.fastq.gz
ERR4198114	PRJEB21277	SAMEA6908150	1463165	Klebsiella quasipneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198114/WTCHG_781213_73575333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198114/WTCHG_781213_73575333_2.fastq.gz
