run_accession	study_accession	sample_accession	tax_id	scientific_name	submitted_ftp
ERR1008628	PRJEB6891	SAMEA3357059	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008628/16703_5#1.cram
ERR1008629	PRJEB6891	SAMEA3357063	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008629/16703_5#3.cram
ERR1008630	PRJEB6891	SAMEA3357065	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008630/16703_5#4.cram
ERR1008631	PRJEB6891	SAMEA3357068	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008631/16703_5#5.cram
ERR1008632	PRJEB6891	SAMEA3357070	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008632/16703_5#6.cram
ERR1008633	PRJEB6891	SAMEA3357072	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008633/16703_5#7.cram
ERR1008634	PRJEB6891	SAMEA3357074	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008634/16703_5#8.cram
ERR1008635	PRJEB6891	SAMEA3357076	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008635/16703_5#9.cram
ERR1008636	PRJEB6891	SAMEA3357078	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008636/16703_5#10.cram
ERR1008637	PRJEB6891	SAMEA3357079	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008637/16703_5#11.cram
ERR1008638	PRJEB6891	SAMEA3357081	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008638/16703_5#12.cram
ERR1008639	PRJEB6891	SAMEA3357083	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008639/16703_5#13.cram
ERR1008640	PRJEB6891	SAMEA3357085	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008640/16703_5#14.cram
ERR1008641	PRJEB6891	SAMEA3357087	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008641/16703_5#15.cram
ERR1008642	PRJEB6891	SAMEA3357089	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008642/16703_5#16.cram
ERR1008643	PRJEB6891	SAMEA3357091	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008643/16703_5#17.cram
ERR1008644	PRJEB6891	SAMEA3357093	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008644/16703_5#18.cram
ERR1008645	PRJEB6891	SAMEA3357095	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008645/16703_5#19.cram
ERR1008646	PRJEB6891	SAMEA3357098	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008646/16703_5#20.cram
ERR1008647	PRJEB6891	SAMEA3357100	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008647/16703_5#21.cram
ERR1008648	PRJEB6891	SAMEA3357102	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008648/16703_5#22.cram
ERR1008649	PRJEB6891	SAMEA3357103	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008649/16703_5#23.cram
ERR1008650	PRJEB6891	SAMEA3357106	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008650/16703_5#24.cram
ERR1008651	PRJEB6891	SAMEA3357108	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008651/16703_5#25.cram
ERR1008652	PRJEB6891	SAMEA3357109	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008652/16703_5#26.cram
ERR1008653	PRJEB6891	SAMEA3357111	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008653/16703_5#27.cram
ERR1008654	PRJEB6891	SAMEA3357114	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008654/16703_5#28.cram
ERR1008655	PRJEB6891	SAMEA3357116	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008655/16703_5#29.cram
ERR1008656	PRJEB6891	SAMEA3357117	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008656/16703_5#30.cram
ERR1008657	PRJEB6891	SAMEA3356964	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008657/16703_5#31.cram
ERR1008658	PRJEB6891	SAMEA3356966	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008658/16703_5#32.cram
ERR1008659	PRJEB6891	SAMEA3356967	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008659/16703_5#33.cram
ERR1008660	PRJEB6891	SAMEA3356969	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008660/16703_5#34.cram
ERR1008661	PRJEB6891	SAMEA3356970	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008661/16703_5#35.cram
ERR1008662	PRJEB6891	SAMEA3356972	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008662/16703_5#36.cram
ERR1008663	PRJEB6891	SAMEA3356973	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008663/16703_5#37.cram
ERR1008664	PRJEB6891	SAMEA3356975	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008664/16703_5#38.cram
ERR1008665	PRJEB6891	SAMEA3356976	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008665/16703_5#39.cram
ERR1008666	PRJEB6891	SAMEA3356978	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008666/16703_5#40.cram
ERR1008667	PRJEB6891	SAMEA3356980	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008667/16703_5#41.cram
ERR1008668	PRJEB6891	SAMEA3356981	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008668/16703_5#42.cram
ERR1008669	PRJEB6891	SAMEA3356984	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008669/16703_5#43.cram
ERR1008670	PRJEB6891	SAMEA3356987	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008670/16703_5#44.cram
ERR1008671	PRJEB6891	SAMEA3356988	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008671/16703_5#45.cram
ERR1008672	PRJEB6891	SAMEA3356990	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008672/16703_5#46.cram
ERR1008673	PRJEB6891	SAMEA3356993	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008673/16703_5#47.cram
ERR1008674	PRJEB6891	SAMEA3356995	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008674/16703_5#48.cram
ERR1008675	PRJEB6891	SAMEA3356997	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008675/16703_5#49.cram
ERR1008676	PRJEB6891	SAMEA3356999	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008676/16703_5#50.cram
ERR1008677	PRJEB6891	SAMEA3357001	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008677/16703_5#51.cram
ERR1008678	PRJEB6891	SAMEA3357003	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008678/16703_5#52.cram
ERR1008679	PRJEB6891	SAMEA3357006	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1008679/16703_5#53.cram
