run_accession	study_accession	sample_accession	tax_id	scientific_name	submitted_ftp
ERR1046114	PRJEB9121	SAMEA3447803	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046114/16933_6#1.cram
ERR1046115	PRJEB9121	SAMEA3447804	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046115/16933_6#2.cram
ERR1046116	PRJEB9121	SAMEA3447807	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046116/16933_6#3.cram
ERR1046117	PRJEB9121	SAMEA3447809	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046117/16933_6#4.cram
ERR1046118	PRJEB9121	SAMEA3447811	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046118/16933_6#5.cram
ERR1046119	PRJEB9121	SAMEA3447814	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046119/16933_6#6.cram
ERR1046120	PRJEB9121	SAMEA3447816	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046120/16933_6#7.cram
ERR1046121	PRJEB9121	SAMEA3447818	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046121/16933_6#8.cram
ERR1046122	PRJEB9121	SAMEA3447820	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046122/16933_6#9.cram
ERR1046123	PRJEB9121	SAMEA3447822	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046123/16933_6#10.cram
ERR1046124	PRJEB9121	SAMEA3447824	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046124/16933_6#11.cram
ERR1046125	PRJEB9121	SAMEA3447827	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046125/16933_6#12.cram
ERR1046126	PRJEB9121	SAMEA3447829	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046126/16933_6#13.cram
ERR1046127	PRJEB9121	SAMEA3447831	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046127/16933_6#14.cram
ERR1046128	PRJEB9121	SAMEA3447833	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046128/16933_6#15.cram
ERR1046129	PRJEB9121	SAMEA3447672	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046129/16933_6#16.cram
ERR1046130	PRJEB9121	SAMEA3447673	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046130/16933_6#17.cram
ERR1046131	PRJEB9121	SAMEA3447677	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046131/16933_6#18.cram
ERR1046132	PRJEB9121	SAMEA3447679	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046132/16933_6#19.cram
ERR1046133	PRJEB9121	SAMEA3447681	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046133/16933_6#20.cram
ERR1046134	PRJEB9121	SAMEA3447683	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046134/16933_6#21.cram
ERR1046135	PRJEB9121	SAMEA3447685	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046135/16933_6#22.cram
ERR1046136	PRJEB9121	SAMEA3447687	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046136/16933_6#23.cram
ERR1046137	PRJEB9121	SAMEA3447689	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046137/16933_6#24.cram
ERR1046138	PRJEB9121	SAMEA3447693	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046138/16933_6#25.cram
ERR1046139	PRJEB9121	SAMEA3447695	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046139/16933_6#26.cram
ERR1046140	PRJEB9121	SAMEA3447697	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046140/16933_6#27.cram
ERR1046141	PRJEB9121	SAMEA3447699	599	Salmonella sp.	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1046141/16933_6#28.cram
