run_accession	study_accession	sample_accession	tax_id	scientific_name	submitted_ftp
ERR4372567	PRJEB39112	SAMEA7082316	550	Enterobacter cloacae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372567/AI2613.44.CRE_04.8116AB.HGM7JDSXX.1.3UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372567/AI2613.44.CRE_04.8116AB.HGM7JDSXX.1.3UDI-idt-UMI.2.fastq.gz
ERR4372568	PRJEB39112	SAMEA7082316	550	Enterobacter cloacae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372568/AI2613.44.CRE_04.8116AB.HGM7JDSXX.2.3UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372568/AI2613.44.CRE_04.8116AB.HGM7JDSXX.2.3UDI-idt-UMI.2.fastq.gz
ERR4372569	PRJEB39112	SAMEA7082316	550	Enterobacter cloacae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372569/AI2613.44.CRE_04.8116AB.HGM7JDSXX.3.3UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372569/AI2613.44.CRE_04.8116AB.HGM7JDSXX.3.3UDI-idt-UMI.2.fastq.gz
ERR4372570	PRJEB39112	SAMEA7082316	550	Enterobacter cloacae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372570/AI2613.44.CRE_04.8116AB.HGM7JDSXX.4.3UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372570/AI2613.44.CRE_04.8116AB.HGM7JDSXX.4.3UDI-idt-UMI.2.fastq.gz
ERR4372571	PRJEB39112	SAMEA7082317	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372571/AI2830.52.CRE_06.9506AB.HGTY7DSXX.1.38UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372571/AI2830.52.CRE_06.9506AB.HGTY7DSXX.1.38UDI-idt-UMI.2.fastq.gz
ERR4372572	PRJEB39112	SAMEA7082317	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372572/AI2830.52.CRE_06.9506AB.HGTY7DSXX.2.38UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372572/AI2830.52.CRE_06.9506AB.HGTY7DSXX.2.38UDI-idt-UMI.2.fastq.gz
ERR4372573	PRJEB39112	SAMEA7082317	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372573/AI2830.52.CRE_06.9506AB.HGTY7DSXX.3.38UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372573/AI2830.52.CRE_06.9506AB.HGTY7DSXX.3.38UDI-idt-UMI.2.fastq.gz
ERR4372574	PRJEB39112	SAMEA7082317	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372574/AI2830.52.CRE_06.9506AB.HGTY7DSXX.4.38UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372574/AI2830.52.CRE_06.9506AB.HGTY7DSXX.4.38UDI-idt-UMI.2.fastq.gz
ERR4372575	PRJEB39112	SAMEA7082318	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372575/AI2855.105.CRE_06.9528AB.HGV2KDSXX.1.17UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372575/AI2855.105.CRE_06.9528AB.HGV2KDSXX.1.17UDI-idt-UMI.2.fastq.gz
ERR4372576	PRJEB39112	SAMEA7082318	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372576/AI2855.105.CRE_06.9528AB.HGV2KDSXX.2.17UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372576/AI2855.105.CRE_06.9528AB.HGV2KDSXX.2.17UDI-idt-UMI.2.fastq.gz
ERR4372577	PRJEB39112	SAMEA7082318	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372577/AI2855.105.CRE_06.9528AB.HGV2KDSXX.3.17UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372577/AI2855.105.CRE_06.9528AB.HGV2KDSXX.3.17UDI-idt-UMI.2.fastq.gz
ERR4372578	PRJEB39112	SAMEA7082318	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372578/AI2855.105.CRE_06.9528AB.HGV2KDSXX.4.17UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372578/AI2855.105.CRE_06.9528AB.HGV2KDSXX.4.17UDI-idt-UMI.2.fastq.gz
ERR4372579	PRJEB39112	SAMEA7082319	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372579/AI2856.106.CRE_06.9529AB.HGV2KDSXX.1.29UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372579/AI2856.106.CRE_06.9529AB.HGV2KDSXX.1.29UDI-idt-UMI.2.fastq.gz
ERR4372580	PRJEB39112	SAMEA7082319	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372580/AI2856.106.CRE_06.9529AB.HGV2KDSXX.2.29UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372580/AI2856.106.CRE_06.9529AB.HGV2KDSXX.2.29UDI-idt-UMI.2.fastq.gz
ERR4372581	PRJEB39112	SAMEA7082319	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372581/AI2856.106.CRE_06.9529AB.HGV2KDSXX.3.29UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372581/AI2856.106.CRE_06.9529AB.HGV2KDSXX.3.29UDI-idt-UMI.2.fastq.gz
ERR4372582	PRJEB39112	SAMEA7082319	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372582/AI2856.106.CRE_06.9529AB.HGV2KDSXX.4.29UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372582/AI2856.106.CRE_06.9529AB.HGV2KDSXX.4.29UDI-idt-UMI.2.fastq.gz
ERR4372583	PRJEB39112	SAMEA7082320	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372583/AI2898.176.CRE_06.9568AB.HHLHVDSXX.1.22UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372583/AI2898.176.CRE_06.9568AB.HHLHVDSXX.1.22UDI-idt-UMI.2.fastq.gz
ERR4372584	PRJEB39112	SAMEA7082320	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372584/AI2898.176.CRE_06.9568AB.HHLHVDSXX.2.22UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372584/AI2898.176.CRE_06.9568AB.HHLHVDSXX.2.22UDI-idt-UMI.2.fastq.gz
ERR4372585	PRJEB39112	SAMEA7082320	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372585/AI2898.176.CRE_06.9568AB.HHLHVDSXX.3.22UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372585/AI2898.176.CRE_06.9568AB.HHLHVDSXX.3.22UDI-idt-UMI.2.fastq.gz
ERR4372586	PRJEB39112	SAMEA7082320	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372586/AI2898.176.CRE_06.9568AB.HHLHVDSXX.4.22UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372586/AI2898.176.CRE_06.9568AB.HHLHVDSXX.4.22UDI-idt-UMI.2.fastq.gz
ERR4372587	PRJEB39112	SAMEA7082321	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372587/AI2934.220.CRE_06.9717AB.HGV2KDSXX.1.194UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372587/AI2934.220.CRE_06.9717AB.HGV2KDSXX.1.194UDI-idt-UMI.2.fastq.gz
ERR4372588	PRJEB39112	SAMEA7082321	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372588/AI2934.220.CRE_06.9717AB.HGV2KDSXX.2.194UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372588/AI2934.220.CRE_06.9717AB.HGV2KDSXX.2.194UDI-idt-UMI.2.fastq.gz
ERR4372589	PRJEB39112	SAMEA7082321	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372589/AI2934.220.CRE_06.9717AB.HGV2KDSXX.3.194UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372589/AI2934.220.CRE_06.9717AB.HGV2KDSXX.3.194UDI-idt-UMI.2.fastq.gz
ERR4372590	PRJEB39112	SAMEA7082321	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372590/AI2934.220.CRE_06.9717AB.HGV2KDSXX.4.194UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372590/AI2934.220.CRE_06.9717AB.HGV2KDSXX.4.194UDI-idt-UMI.2.fastq.gz
ERR4372591	PRJEB39112	SAMEA7082322	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372591/AI2763.399.CRE_04.8313AB.HGV2KDSXX.1.151UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372591/AI2763.399.CRE_04.8313AB.HGV2KDSXX.1.151UDI-idt-UMI.2.fastq.gz
ERR4372592	PRJEB39112	SAMEA7082322	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372592/AI2763.399.CRE_04.8313AB.HGV2KDSXX.2.151UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372592/AI2763.399.CRE_04.8313AB.HGV2KDSXX.2.151UDI-idt-UMI.2.fastq.gz
ERR4372593	PRJEB39112	SAMEA7082322	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372593/AI2763.399.CRE_04.8313AB.HGV2KDSXX.3.151UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372593/AI2763.399.CRE_04.8313AB.HGV2KDSXX.3.151UDI-idt-UMI.2.fastq.gz
ERR4372594	PRJEB39112	SAMEA7082322	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372594/AI2763.399.CRE_04.8313AB.HGV2KDSXX.4.151UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372594/AI2763.399.CRE_04.8313AB.HGV2KDSXX.4.151UDI-idt-UMI.2.fastq.gz
ERR4372595	PRJEB39112	SAMEA7082323	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372595/AI2764.400.CRE_04.8314AB.HGV2KDSXX.1.163UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372595/AI2764.400.CRE_04.8314AB.HGV2KDSXX.1.163UDI-idt-UMI.2.fastq.gz
ERR4372596	PRJEB39112	SAMEA7082323	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372596/AI2764.400.CRE_04.8314AB.HGV2KDSXX.2.163UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372596/AI2764.400.CRE_04.8314AB.HGV2KDSXX.2.163UDI-idt-UMI.2.fastq.gz
ERR4372597	PRJEB39112	SAMEA7082323	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372597/AI2764.400.CRE_04.8314AB.HGV2KDSXX.3.163UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372597/AI2764.400.CRE_04.8314AB.HGV2KDSXX.3.163UDI-idt-UMI.2.fastq.gz
ERR4372598	PRJEB39112	SAMEA7082323	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372598/AI2764.400.CRE_04.8314AB.HGV2KDSXX.4.163UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372598/AI2764.400.CRE_04.8314AB.HGV2KDSXX.4.163UDI-idt-UMI.2.fastq.gz
ERR4372599	PRJEB39112	SAMEA7082324	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372599/AI2765.401.CRE_04.8315AB.HGV2KDSXX.1.175UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372599/AI2765.401.CRE_04.8315AB.HGV2KDSXX.1.175UDI-idt-UMI.2.fastq.gz
ERR4372600	PRJEB39112	SAMEA7082324	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372600/AI2765.401.CRE_04.8315AB.HGV2KDSXX.2.175UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372600/AI2765.401.CRE_04.8315AB.HGV2KDSXX.2.175UDI-idt-UMI.2.fastq.gz
ERR4372601	PRJEB39112	SAMEA7082324	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372601/AI2765.401.CRE_04.8315AB.HGV2KDSXX.3.175UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372601/AI2765.401.CRE_04.8315AB.HGV2KDSXX.3.175UDI-idt-UMI.2.fastq.gz
ERR4372602	PRJEB39112	SAMEA7082324	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372602/AI2765.401.CRE_04.8315AB.HGV2KDSXX.4.175UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372602/AI2765.401.CRE_04.8315AB.HGV2KDSXX.4.175UDI-idt-UMI.2.fastq.gz
ERR4372603	PRJEB39112	SAMEA7082325	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372603/AI2766.402.CRE_04.8316AB.HGV2KDSXX.1.187UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372603/AI2766.402.CRE_04.8316AB.HGV2KDSXX.1.187UDI-idt-UMI.2.fastq.gz
ERR4372604	PRJEB39112	SAMEA7082325	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372604/AI2766.402.CRE_04.8316AB.HGV2KDSXX.2.187UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372604/AI2766.402.CRE_04.8316AB.HGV2KDSXX.2.187UDI-idt-UMI.2.fastq.gz
ERR4372605	PRJEB39112	SAMEA7082325	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372605/AI2766.402.CRE_04.8316AB.HGV2KDSXX.3.187UDI-idt-UMI.1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR437/ERR4372605/AI2766.402.CRE_04.8316AB.HGV2KDSXX.3.187UDI-idt-UMI.2.fastq.gz
