ID,run_accession
SAMN02404526,SRR1030459
SAMN02404529,SRR1030465
SAMN02404530,SRR1030466
SAMN02404531,SRR1030468
SAMN02404532,SRR1030469
SAMN02404532,SRR1030470
SAMN02404533,SRR1030471
SAMN02404534,SRR1030472
SAMN02404535,SRR1030473
SAMN02404536,SRR1030474
SAMN02404536,SRR1030475
SAMN02404537,SRR1030476
SAMN02404537,SRR1030477
SAMN02404540,SRR1030480
SAMN02404541,SRR1030481
SAMN02404542,SRR1030482
SAMN02404543,SRR1030484
SAMN02404544,SRR1030485
SAMN02404545,SRR1030486
SAMN02404545,SRR1030487
SAMN02404546,SRR1030488
SAMN02415037,SRR1033694
SAMN02415038,SRR1033695
SAMN02415039,SRR1033696
SAMN02415039,SRR10997017
SAMN02415040,SRR1033697
SAMN02415042,SRR1033699
SAMN02415044,SRR1033701
SAMN02415045,SRR1033702
SAMN02415046,SRR1033703
SAMN02415047,SRR1033704
SAMN02415048,SRR1033705
SAMN02415050,SRR1033707
SAMN02415052,SRR1033709
SAMN02415053,SRR1033710
SAMN02415054,SRR1033711
SAMN02415055,SRR1033712
SAMN02415056,SRR1033713
SAMN02415057,SRR1033714
SAMN02415059,SRR1033716
SAMN02415059,SRR1201019
SAMN02415059,SRR1201020
SAMN02415059,SRR1201021
SAMN02415060,SRR1033717
SAMN02415061,SRR1033718
SAMN02415062,SRR1033719
SAMN02415063,SRR1033720
SAMN02415065,SRR1033722
SAMN02415066,SRR1033723
SAMN02415067,SRR1033724
SAMN02415067,SRR1033725
SAMN02415068,SRR1033726
SAMN02415069,SRR1033727
SAMN02415070,SRR1033728
SAMN02415071,SRR1033729
SAMN02415072,SRR1033730
SAMN02415073,SRR1033731
SAMN02415075,SRR1033733
SAMN02415078,SRR1033736
SAMN02415079,SRR1033737
SAMN02415081,SRR1033739
SAMN02415082,SRR1033740
SAMN02415083,SRR1033741
SAMN02437318,SRR2916657
SAMN02437332,SRR2916658
SAMN02567734,SRR1068255
SAMN02567734,SRR1068256
SAMN02567735,SRR1068257
SAMN02567735,SRR1068258
SAMN02567743,SRR1068259
SAMN02567743,SRR1068260
SAMN02567753,SRR1068273
SAMN02567754,SRR1068274
SAMN02567754,SRR1068275
SAMN02567755,SRR1068276
SAMN02567756,SRR1068277
SAMN02567757,SRR1068278
SAMN02567758,SRR1068279
SAMN02581277,SRR1180875
SAMN02581277,SRR1180930
SAMN02581277,SRR1187769
SAMN02581277,SRR1187804
SAMN02603051,SRR1997868
SAMN02649415,SRR1174341
SAMN02649415,SRR1174342
SAMN02692944,SRR1200531
SAMN02692944,SRR1200532
SAMN02692944,SRR1200533
SAMN02692945,SRR1200534
SAMN02692945,SRR1200535
SAMN02692945,SRR1200536
SAMN02692946,SRR1200537
SAMN02692946,SRR1200538
SAMN02692946,SRR1200539
SAMN02692947,SRR1200540
SAMN02692948,SRR1200541
SAMN02692948,SRR1200542
SAMN02692949,SRR1200543
SAMN02692950,SRR1200544
SAMN02692951,SRR1200545
SAMN02692952,SRR1200546
SAMN02692952,SRR1200547
SAMN02692954,SRR1200549
SAMN02692955,SRR1200550
SAMN02692957,SRR1200552
SAMN02692958,SRR1200553
SAMN02692963,SRR1200561
SAMN02692963,SRR1200562
SAMN02692964,SRR1200563
SAMN02692964,SRR1200564
SAMN02692964,SRR1200565
SAMN02692965,SRR1200566
SAMN02692966,SRR1200567
SAMN02692966,SRR1200568
SAMN02692967,SRR1200569
SAMN02692967,SRR1200570
SAMN02692967,SRR1200571
SAMN02692968,SRR1200572
SAMN02692968,SRR1200573
SAMN02692968,SRR1200574
SAMN02692969,SRR1200575
SAMN02692969,SRR1200576
SAMN02692969,SRR1200577
SAMN02692970,SRR1200578
SAMN02692970,SRR1200579
SAMN02692970,SRR1200580
SAMN02692972,SRR1200583
SAMN02692973,SRR1200584
SAMN02692975,SRR1200587
SAMN02692976,SRR1200588
SAMN02692982,SRR1200595
SAMN02692985,SRR1200598
SAMN02906922,SRR1945422
SAMN02906923,SRR1945425
SAMN02906926,SRR1946597
SAMN02906927,SRR1945426
SAMN02906928,SRR1945427
SAMN02906929,SRR1945428
SAMN02906930,SRR1945430
SAMN03248539,SRR8204826
SAMN03268796,SRR1819771
SAMN03268801,SRR1819769
SAMN03268807,SRR1819792
SAMN03268809,SRR1819785
SAMN03571960,SRR2075860
SAMN03575971,SRR2075876
SAMN03575972,SRR2075877
SAMN03575974,SRR2075878
SAMN03576356,SRR2075879
SAMN03576358,SRR2075880
SAMN03576359,SRR2075881
SAMN03576362,SRR2075883
SAMN03576363,SRR2075884
SAMN03576364,SRR2075885
SAMN03576365,SRR2075887
SAMN03576366,SRR2075890
SAMN03576441,SRR2075891
SAMN03576442,SRR2075893
SAMN03576445,SRR2075895
SAMN03576446,SRR2075896
SAMN03576448,SRR2075897
SAMN03576505,SRR2075899
SAMN03576511,SRR2075900
SAMN03576512,SRR2075902
SAMN03577725,SRR2075903
SAMN03577726,SRR2075906
SAMN03577727,SRR2075907
SAMN03577728,SRR2075948
SAMN03577729,SRR2075950
SAMN03577730,SRR2075951
SAMN04014874,SRR3112302
SAMN04014874,SRR3666032
SAMN04014876,SRR3112304
SAMN04014876,SRR3886555
SAMN04014876,SRR3886578
SAMN04014876,SRR3886579
SAMN04014877,SRR3112305
SAMN04014877,SRR3666034
SAMN04014878,SRR3112306
SAMN04014878,SRR3666029
SAMN04014886,SRR3112313
SAMN04014886,SRR3666035
SAMN04014893,SRR3242007
SAMN04014893,SRR6807653
SAMN04014893,SRR6807654
SAMN04014893,SRR6807655
SAMN04014897,SRR3242008
SAMN04014897,SRR6703120
SAMN04014897,SRR6799415
SAMN04014897,SRR6799416
SAMN04014904,SRR3242011
SAMN04014904,SRR6703157
SAMN04014904,SRR6703158
SAMN04014911,SRR3242013
SAMN04014911,SRR6799410
SAMN04014911,SRR6799411
SAMN04014911,SRR6799412
SAMN04014919,SRR3242016
SAMN04014919,SRR6703494
SAMN04014924,SRR3242017
SAMN04014924,SRR6818604
SAMN04014929,SRR3242022
SAMN04014929,SRR6818605
SAMN04014942,SRR3242026
SAMN04014942,SRR6818793
SAMN04014942,SRR6818794
SAMN04014943,SRR3242027
SAMN04014943,SRR6818823
SAMN04014943,SRR6818824
SAMN04022941,SRR2976831
SAMN04029125,SRR8204827
SAMN04229822,SRR2911725
SAMN04229823,SRR2911726
SAMN04229824,SRR2911739
SAMN04229825,SRR2911742
SAMN04229826,SRR2911724
SAMN04252827,SRR2954965
SAMN04254727,SRR2916656
SAMN04254728,SRR2916633
SAMN04254729,SRR2916634
SAMN04254730,SRR2916635
SAMN04254731,SRR2916636
SAMN04339712,SRR3057118
SAMN04445872,SRR3130307
SAMN04445873,SRR3130308
SAMN04445874,SRR3130309
SAMN04445875,SRR3130310
SAMN04445876,SRR3130311
SAMN04446435,SRR3131127
SAMN04446436,SRR3131130
SAMN04446437,SRR3131131
SAMN04446438,SRR3131132
SAMN04446439,SRR3131145
SAMN04446440,SRR3131146
SAMN04446442,SRR3131148
SAMN04446443,SRR3131149
SAMN04446444,SRR3131150
SAMN04446445,SRR3131151
SAMN04446446,SRR3131152
SAMN04446449,SRR3131155
SAMN04446450,SRR3131156
SAMN04446451,SRR3131157
