ID,accession,run_accession
SAMN03105688,JTPD00000000,NA
SAMN03105685,JTPG00000000,NA
SAMN03105423,JTZI00000000,NA
SAMN03105493,JTWQ00000000,NA
SAMN03105422,JTZJ00000000,NA
SAMN03105421,JTZK00000000,NA
SAMN03105420,JTZL00000000,NA
SAMN03105419,JTZM00000000,NA
SAMN03105418,JTZN00000000,NA
SAMN03105417,JTZO00000000,NA
SAMN03105416,JTZP00000000,NA
SAMN03105529,JTVG00000000,NA
SAMN03105528,JTVH00000000,NA
SAMN03105527,JTVI00000000,NA
SAMN03105526,JTVJ00000000,NA
SAMN03105525,JTVK00000000,NA
SAMN03105524,JTVL00000000,NA
SAMN03105523,JTVM00000000,NA
SAMN03105522,JTVN00000000,NA
SAMN03105521,JTVO00000000,NA
SAMN03105520,JTVP00000000,NA
SAMN03105519,JTVQ00000000,NA
SAMN03105455,JTYC00000000,NA
SAMN03105454,JTYD00000000,NA
SAMN03105518,JTVR00000000,NA
SAMN03105517,JTVS00000000,NA
SAMN03105516,JTVT00000000,NA
SAMN03105515,JTVU00000000,NA
SAMN03105510,JTVZ00000000,NA
SAMN03105509,JTWA00000000,NA
SAMN03105508,JTWB00000000,NA
SAMN03105507,JTWC00000000,NA
SAMN03105506,JTWD00000000,NA
SAMN03105505,JTWE00000000,NA
SAMN03105504,JTWF00000000,NA
SAMN03105503,JTWG00000000,NA
SAMN03105502,JTWH00000000,NA
SAMN03105482,JTXB00000000,NA
SAMN03105462,JTXV00000000,NA
SAMN03105540,JTUV00000000,NA
SAMN03105539,JTUW00000000,NA
SAMN03105538,JTUX00000000,NA
SAMN03105537,JTUY00000000,NA
SAMN03105536,JTUZ00000000,NA
SAMN03105534,JTVB00000000,NA
SAMN03105469,JTXO00000000,NA
SAMN03105468,JTXP00000000,NA
SAMN03105467,JTXQ00000000,NA
SAMN03105466,JTXR00000000,NA
SAMN03105464,JTXT00000000,NA
SAMN03105463,JTXU00000000,NA
SAMN03105461,JTXW00000000,NA
SAMN03105465,JTXS00000000,NA
SAMN03105514,JTVV00000000,NA
SAMN03105513,JTVW00000000,NA
SAMN03105512,JTVX00000000,NA
SAMN03105511,JTVY00000000,NA
SAMN03105481,JTXC00000000,NA
SAMN03105480,JTXD00000000,NA
SAMN03105479,JTXE00000000,NA
SAMN03105477,JTXG00000000,NA
SAMN03105478,JTXF00000000,NA
SAMN03105476,JTXH00000000,NA
SAMN03105475,JTXI00000000,NA
SAMN03105474,JTXJ00000000,NA
SAMN03105473,JTXK00000000,NA
SAMN03105472,JTXL00000000,NA
SAMN03105470,JTXN00000000,NA
SAMN03105471,JTXM00000000,NA
SAMN03105535,JTVA00000000,NA
SAMN03105530,JTVF00000000,NA
SAMN03105531,JTVE00000000,NA
SAMN03105532,JTVD00000000,NA
SAMN03105533,JTVC00000000,NA
SAMN03105633,JTRG00000000,NA
SAMN03105631,JTRI00000000,NA
SAMN03105610,JTSD00000000,NA
SAMN03105632,JTRH00000000,NA
SAMN03105612,JTSB00000000,NA
SAMN03105628,JTRL00000000,NA
SAMN03105611,JTSC00000000,NA
SAMN03105645,JTQU00000000,NA
SAMN03105640,JTQZ00000000,NA
SAMN03105614,JTRZ00000000,NA
SAMN03105609,JTSE00000000,NA
SAMN03105731,JTNM00000000,NA
SAMN03105638,JTRB00000000,NA
SAMN03105604,JTSJ00000000,NA
SAMN03105615,JTRY00000000,NA
SAMN03105636,JTRD00000000,NA
SAMN03105603,JTSK00000000,NA
SAMN03105637,JTRC00000000,NA
SAMN03105618,JTRV00000000,NA
SAMN03105730,JTNN00000000,NA
SAMN03105605,JTSI00000000,NA
SAMN03105630,JTRJ00000000,NA
SAMN03105619,JTRU00000000,NA
SAMN03105606,JTSH00000000,NA
SAMN03105635,JTRE00000000,NA
SAMN03105629,JTRK00000000,NA
SAMN03105712,JTOF00000000,NA
SAMN03105713,JTOE00000000,NA
SAMN03105711,JTOG00000000,NA
SAMN03105710,JTOH00000000,NA
SAMN03105709,JTOI00000000,NA
SAMN03105708,JTOJ00000000,NA
SAMN03105707,JTOK00000000,NA
SAMN03105706,JTOL00000000,NA
SAMN03105745,JTMY00000000,NA
SAMN03105720,JTNX00000000,NA
SAMN03105719,JTNY00000000,NA
SAMN03105718,JTNZ00000000,NA
SAMN03105717,JTOA00000000,NA
SAMN03105716,JTOB00000000,NA
SAMN03105715,JTOC00000000,NA
SAMN03105714,JTOD00000000,NA
SAMN03105756,JTMN00000000,NA
SAMN03105757,JTMM00000000,NA
SAMN03105755,JTMO00000000,NA
SAMN03105754,JTMP00000000,NA
SAMN03105752,JTMR00000000,NA
SAMN03105753,JTMQ00000000,NA
SAMN03105762,JTMH00000000,NA
SAMN03105769,JTMA00000000,NA
SAMN03105760,JTMJ00000000,NA
SAMN03105758,JTML00000000,NA
SAMN03105759,JTMK00000000,NA
SAMN03105768,JTMB00000000,NA
SAMN03105767,JTMC00000000,NA
SAMN03105766,JTMD00000000,NA
SAMN03105765,JTME00000000,NA
SAMN03105763,JTMG00000000,NA
SAMN03105764,JTMF00000000,NA
SAMN03105446,JTYL00000000,NA
SAMN03105445,JTYM00000000,NA
SAMN03105484,JTWZ00000000,NA
SAMN03105444,JTYN00000000,NA
SAMN03105443,JTYO00000000,NA
SAMN03105442,JTYP00000000,NA
SAMN03105441,JTYQ00000000,NA
SAMN03105458,JTXZ00000000,NA
SAMN03105459,JTXY00000000,NA
SAMN03105457,JTYA00000000,NA
SAMN03105456,JTYB00000000,NA
SAMN03105440,JTYR00000000,NA
SAMN03105439,JTYS00000000,NA
SAMN03105485,JTWY00000000,NA
SAMN03105438,JTYT00000000,NA
SAMN03105437,JTYU00000000,NA
SAMN03105497,JTWM00000000,NA
SAMN03105436,JTYV00000000,NA
SAMN03105435,JTYW00000000,NA
SAMN03105495,JTWO00000000,NA
SAMN03105434,JTYX00000000,NA
SAMN03105501,JTWI00000000,NA
SAMN03105433,JTYY00000000,NA
SAMN03105486,JTWX00000000,NA
SAMN03105483,JTXA00000000,NA
SAMN03105432,JTYZ00000000,NA
SAMN03105431,JTZA00000000,NA
SAMN03105430,JTZB00000000,NA
SAMN03105429,JTZC00000000,NA
SAMN03105500,JTWJ00000000,NA
SAMN03105428,JTZD00000000,NA
SAMN03105427,JTZE00000000,NA
SAMN03105426,JTZF00000000,NA
SAMN03105425,JTZG00000000,NA
SAMN03105487,JTWW00000000,NA
SAMN03105424,JTZH00000000,NA
SAMN03105386,JUAT00000000,NA
SAMN03105385,JUAU00000000,NA
SAMN03105499,JTWK00000000,NA
SAMN03105384,JUAV00000000,NA
SAMN03105494,JTWP00000000,NA
SAMN03105382,JUAX00000000,NA
SAMN03105381,JUAY00000000,NA
SAMN03105380,JUAZ00000000,NA
SAMN03105383,JUAW00000000,NA
SAMN03105460,JTXX00000000,NA
SAMN03105453,JTYE00000000,NA
SAMN03105452,JTYF00000000,NA
SAMN03105451,JTYG00000000,NA
SAMN03105450,JTYH00000000,NA
SAMN03105449,JTYI00000000,NA
SAMN03105448,JTYJ00000000,NA
SAMN03105498,JTWL00000000,NA
SAMN03105447,JTYK00000000,NA
SAMN03105415,JTZQ00000000,NA
SAMN03105414,JTZR00000000,NA
SAMN03105488,JTWV00000000,NA
SAMN03105413,JTZS00000000,NA
SAMN03105412,JTZT00000000,NA
SAMN03105411,JTZU00000000,NA
SAMN03105410,JTZV00000000,NA
SAMN03105409,JTZW00000000,NA
SAMN03105408,JTZX00000000,NA
