ID,run_accession
ERS016658,ERR030270
ERS016658,ERR030272
ERS016631,ERR030246
ERS016631,ERR030254
ERS016582,ERR030210
ERS016582,ERR030212
ERS016559,ERR030197
ERS016559,ERR030198
ERS040925,ERR053029
ERS016492,ERR029367
ERS016492,ERR029373
ERS016584,ERR029456
ERS016584,ERR029460
ERS016466,ERR029341
ERS016466,ERR029346
ERS016481,ERR029354
ERS016481,ERR029359
ERS016627,ERR030234
ERS016627,ERR030237
ERS016477,ERR029354
ERS016477,ERR029362
ERS016625,ERR030234
ERS016625,ERR030245
ERS016514,ERR030145
ERS016514,ERR030150
ERS016577,ERR030210
ERS016577,ERR030217
ERS016654,ERR030270
ERS016654,ERR030277
ERS016624,ERR030234
ERS016624,ERR030243
ERS016491,ERR029367
ERS016491,ERR029379
ERS016592,ERR029456
ERS016592,ERR029459
ERS040920,ERR053024
ERS040940,ERR053044
ERS016596,ERR029456
ERS016596,ERR029466
ERS016484,ERR029367
ERS016484,ERR029368
ERS016652,ERR030270
ERS016652,ERR030275
ERS016642,ERR030258
ERS016642,ERR030262
ERS016515,ERR030145
ERS016515,ERR030151
ERS016486,ERR029354
ERS016486,ERR029365
ERS016503,ERR029380
ERS016503,ERR029385
ERS016647,ERR030258
ERS016647,ERR030268
ERS016602,ERR029468
ERS016602,ERR029475
ERS016558,ERR030184
ERS016558,ERR030186
ERS016470,ERR029341
ERS016470,ERR029343
ERS016490,ERR029354
ERS016490,ERR029358
ERS016467,ERR029341
ERS016467,ERR029347
ERS040939,ERR053043
ERS016548,ERR030171
ERS016548,ERR030175
ERS016537,ERR030158
ERS016537,ERR030160
ERS016538,ERR030158
ERS016538,ERR030161
ERS016469,ERR029341
ERS016469,ERR029353
ERS016545,ERR030171
ERS016545,ERR030182
ERS016667,ERR031661
ERS016667,ERR031666
ERS016543,ERR030171
ERS016543,ERR030180
ERS040922,ERR053026
ERS016671,ERR031661
ERS016671,ERR031664
ERS040932,ERR053036
ERS016527,ERR030158
ERS016527,ERR030166
ERS016540,ERR030171
ERS016540,ERR030183
ERS040914,ERR053018
ERS016593,ERR029468
ERS016593,ERR029469
ERS016496,ERR029367
ERS016496,ERR029377
ERS016650,ERR030270
ERS016650,ERR030271
ERS016598,ERR029468
ERS016598,ERR029477
ERS016608,ERR030222
ERS016608,ERR030223
ERS016485,ERR029367
ERS016485,ERR029372
ERS040931,ERR053035
ERS040937,ERR053041
ERS016666,ERR031661
ERS016666,ERR031665
ERS016628,ERR030246
ERS016628,ERR030247
ERS040934,ERR053038
ERS016570,ERR030197
ERS016570,ERR030208
ERS040918,ERR053022
ERS016483,ERR029354
ERS016483,ERR029361
ERS016622,ERR030234
ERS016622,ERR030241
ERS016586,ERR029456
ERS016586,ERR029462
ERS016579,ERR030210
ERS016579,ERR030219
ERS016630,ERR030234
ERS016630,ERR030244
ERS016665,ERR031661
ERS016665,ERR031671
ERS016526,ERR030158
ERS016526,ERR030163
ERS016649,ERR030258
ERS016649,ERR030260
ERS016580,ERR030210
ERS016580,ERR030220
ERS016605,ERR030222
ERS016605,ERR030229
ERS016465,ERR029341
ERS016465,ERR029342
ERS016636,ERR030246
ERS016636,ERR030253
ERS016474,ERR029341
ERS016474,ERR029350
ERS016524,ERR030145
ERS016524,ERR030149
ERS016617,ERR030234
ERS016617,ERR030235
ERS016499,ERR029367
ERS016499,ERR029369
ERS040927,ERR053031
ERS016566,ERR030197
ERS016566,ERR030204
ERS016505,ERR029380
ERS016505,ERR029387
ERS016581,ERR030210
ERS016581,ERR030221
ERS040913,ERR053017
ERS040926,ERR053030
ERS016523,ERR030145
ERS016523,ERR030148
ERS016591,ERR029456
ERS016591,ERR029458
ERS016635,ERR030246
ERS016635,ERR030252
ERS040921,ERR053025
ERS016603,ERR029468
ERS016603,ERR029476
ERS016648,ERR030258
ERS016648,ERR030269
ERS016554,ERR030184
ERS016554,ERR030193
ERS040929,ERR053033
ERS016473,ERR029341
ERS016473,ERR029349
ERS040919,ERR053023
ERS016512,ERR029380
ERS016512,ERR029383
ERS016616,ERR030222
ERS016616,ERR030225
ERS016600,ERR029468
ERS016600,ERR029479
ERS016498,ERR029380
ERS016498,ERR029388
ERS016552,ERR030184
ERS016552,ERR030191
