sample_accession,run_accession
SAMN05171390,SRR3583316
SAMN05171391,SRR3583308
SAMN05171392,SRR3583320
SAMN05171393,SRR3583299
SAMN05171396,SRR3583300
SAMN05171399,SRR3583310
SAMN05171400,SRR3583319
SAMN05171410,SRR3583306
SAMN05171411,SRR3583314
SAMN05171414,SRR3583324
SAMN05171415,SRR3583313
SAMN05163852,SRR3575113
SAMN05163853,SRR3575115
SAMN05163855,SRR3575119
SAMN05163858,SRR3575120
SAMN05163859,SRR3575111
SAMN05189927,SRR3611589
SAMN05189928,SRR3611590
SAMN05189931,SRR3611600
SAMN05189932,SRR3611601
SAMN05189933,SRR3611603
SAMN05189934,SRR3611604
SAMN05189940,SRR3611617
SAMN05189942,SRR3611635
SAMN05301246,SRR3726442
SAMN05301247,SRR3726430
SAMN05301248,SRR3726435
SAMN05301249,SRR3726426
SAMN05245203,SRR3666682
SAMN05245204,SRR3666683
SAMN05245205,SRR3666684
SAMN05245207,SRR3666686
SAMN05245209,SRR3666687
SAMN05301252,SRR3726443
SAMN05245213,SRR3666716
SAMN05245216,SRR3666720
SAMN05245218,SRR3666722
SAMN05245219,SRR3666737
SAMN05245220,SRR3666738
SAMN05274298,SRR3710251
SAMN05274300,SRR3710270
SAMN05274301,SRR3710272
SAMN05274303,SRR3710222
SAMN05301253,SRR3726399
SAMN05301254,SRR3726396
SAMN05301255,SRR3726431
SAMN05301260,SRR3726433
SAMN05301263,SRR3726427
SAMN05301269,SRR3726392
SAMN05301274,SRR3726434
SAMN05366785,SRR3774330
SAMN05366786,SRR3774367
SAMN05366790,SRR3774214
SAMN05366791,SRR3774242
SAMN05366792,SRR3771470
SAMN05366793,SRR3774342
SAMN05366797,SRR3774250
SAMN05366803,SRR3774211
SAMN05366805,SRR3774345
SAMN05366807,SRR3774228
SAMN05366808,SRR3774369
SAMN05366811,SRR3774370
SAMN05366812,SRR3774359
SAMN05413483,SRR3928680
SAMN05413485,SRR3928675
SAMN05413486,SRR3928617
SAMN05413487,SRR3928682
SAMN05413495,SRR3928613
SAMN05413496,SRR3928676
SAMN05413500,SRR3928618
SAMN05413502,SRR3928677
SAMN05413504,SRR3928615
SAMN05413508,SRR3928609
SAMN05413511,SRR3928683
SAMN05440712,SRR3953087
SAMN05440715,SRR3995458
SAMN05440716,SRR3953088
SAMN05440718,SRR3953106
SAMN05440719,SRR3953107
SAMN05440726,SRR3953091
SAMN05440728,SRR3953101
SAMN05440729,SRR3953103
SAMN05440730,SRR3953099
SAMN05440731,SRR3953111
SAMN05440732,SRR3953108
SAMN05440735,SRR3953104
SAMN05440737,SRR3953100
SAMN05440738,SRR3953112
SAMN05440741,SRR3953097
SAMN05505576,SRR3995961
SAMN05505577,SRR3995957
SAMN05505583,SRR3995958
SAMN05505585,SRR3995985
SAMN05505587,SRR3995986
SAMN05505595,SRR3995956
SAMN05505596,SRR3995972
SAMN05505598,SRR3995978
SAMN05514399,SRR4005381
SAMN05514400,SRR4005434
SAMN05558629,SRR4018332
SAMN05558633,SRR4018324
SAMN05558634,SRR4018325
SAMN05558636,SRR4018138
SAMN05558640,SRR4018334
SAMN05558643,SRR4018326
SAMN05720134,SRR4175492
SAMN06915343,SRR5517169
SAMN11959368,SRR9207843
SAMN11959370,SRR9207845
SAMN11959364,SRR9207839
SAMN11959365,SRR9207840
SAMN11959367,SRR9207842
SAMN11959363,SRR9207838
SAMN02887130,SRR6260414
SAMN02887131,SRR6260415
SAMN02887132,SRR6260416
SAMN02887134,SRR6260417
SAMN02887109,SRR6260418
SAMN02887109,SRR26255293
SAMN02887143,SRR6260420
SAMN11959362,SRR9207847
SAMN04452137,SRR3138673
SAMN04452139,SRR3138669
SAMN04452140,SRR3138666
SAMN04452141,SRR3138668
SAMN04452142,SRR3138686
SAMN04452144,SRR3138670
SAMN04452147,SRR3138672
SAMN04452148,SRR3138675
SAMN04452149,SRR3138681
SAMN04452150,SRR3138676
SAMN04452151,SRR3138671
SAMN04452152,SRR3138683
SAMN04452153,SRR3138667
SAMN04461467,SRR3148242
SAMN04461468,SRR3148243
SAMN04461485,SRR3148216
SAMN04461470,SRR3148323
SAMN04461486,SRR3148208
SAMN04461487,SRR3148205
SAMN04461471,SRR3148303
SAMN04461472,SRR3148313
SAMN04461473,SRR3148332
SAMN04461489,SRR3147790
SAMN04461490,SRR3147791
SAMN04461492,SRR3147787
SAMN04461494,SRR3148215
SAMN04461496,SRR3148212
SAMN04461498,SRR3147788
SAMN04461500,SRR3148213
SAMN04495833,SRR3171747
SAMN04495834,SRR3171750
SAMN04495835,SRR3171764
SAMN04495838,SRR3171757
SAMN04495839,SRR3171748
SAMN04495841,SRR3171761
SAMN04495844,SRR3171758
SAMN04508220,SRR3183463
SAMN04514636,SRR3185979
SAMN04514637,SRR3185255
SAMN04514639,SRR3185256
SAMN04514641,SRR3185260
SAMN04514643,SRR3185904
SAMN04514644,SRR3185980
SAMN04514645,SRR3185905
SAMN04514646,SRR3185902
SAMN04514647,SRR3185981
SAMN04514649,SRR3185903
SAMN04514652,SRR3185258
SAMN04514653,SRR3185263
SAMN04508222,SRR3183459
SAMN04508223,SRR3183483
SAMN04508224,SRR3183476
SAMN04508226,SRR3183477
SAMN04508231,SRR3183468
SAMN04508235,SRR3183458
SAMN04508236,SRR3183448
SAMN04508237,SRR3183467
SAMN04508238,SRR3183449
SAMN04508241,SRR3183478
SAMN04508242,SRR3183453
SAMN04508244,SRR3183471
SAMN04508247,SRR3183451
SAMN04508250,SRR3183457
SAMN04508251,SRR3183481
SAMN04508252,SRR3183482
SAMN04508256,SRR3183472
SAMN04508258,SRR3183479
SAMN04508259,SRR3183462
SAMN04521104,SRR3194383
