sample_accession,run_accession
SAMEA1712971,ERR257656
SAMEA1713017,ERR257657
SAMEA1713039,ERR257658
SAMEA1712974,ERR257660
SAMEA1713035,ERR257661
SAMEA1712995,ERR257662
SAMEA1713041,ERR257663
SAMEA1713105,ERR257664
SAMEA1712950,ERR257665
SAMEA1713009,ERR257666
SAMEA1713119,ERR257668
SAMEA1713063,ERR257669
SAMEA1713003,ERR257670
SAMEA1712956,ERR257671
SAMEA1713084,ERR257672
SAMEA1713037,ERR257673
SAMEA1713099,ERR257674
SAMEA1712953,ERR257675
SAMEA1713019,ERR257676
SAMEA1713087,ERR257677
SAMEA1713113,ERR257678
SAMEA1713082,ERR257679
SAMEA1712987,ERR257681
SAMEA1713133,ERR257682
SAMEA1713072,ERR257683
SAMEA1713051,ERR257684
SAMEA1712991,ERR257685
SAMEA1712959,ERR257686
SAMEA1713023,ERR257690
SAMEA1712989,ERR257691
SAMEA2053711,ERR311471
SAMEA2054752,ERR311473
SAMEA2053712,ERR311474
SAMEA2053714,ERR311480
SAMEA2053715,ERR311483
SAMEA2053995,ERR311562
SAMEA2053997,ERR314400
SAMEA2054825,ERR314401
SAMEA2053792,ERR314402
SAMEA2053998,ERR314403
SAMEA2054827,ERR314407
SAMEA2053794,ERR314408
SAMEA2054001,ERR314412
SAMEA2054030,ERR314415
SAMEA2053797,ERR314417
SAMEA2054031,ERR314418
SAMEA2054831,ERR314419
SAMEA2053798,ERR314420
SAMEA2054032,ERR314421
SAMEA2054835,ERR314431
SAMEA2053857,ERR314432
SAMEA2053858,ERR314435
SAMEA2053859,ERR314438
SAMEA2053860,ERR314441
SAMEA2054039,ERR314442
SAMEA2054920,ERR314458
SAMEA2053865,ERR314459
SAMEA2053867,ERR314465
SAMEA2054047,ERR314466
SAMEA2054923,ERR314467
SAMEA2054931,ERR314491
SAMEA2054934,ERR314500
SAMEA1973432,ERR314501
SAMEA2054085,ERR314505
SAMEA2054936,ERR314506
SAMEA2053940,ERR314519
SAMEA2054090,ERR314520
SAMEA2053941,ERR314522
SAMEA2053942,ERR314525
SAMEA2055003,ERR314527
SAMEA2055004,ERR314530
SAMEA2054094,ERR314532
SAMEA2053945,ERR314534
SAMEA2054095,ERR314535
SAMEA2055006,ERR314536
SAMEA2053946,ERR314537
SAMEA2054099,ERR314547
SAMEA2053949,ERR314549
SAMEA2054100,ERR314550
SAMEA2053951,ERR314555
SAMEA2055012,ERR314557
SAMEA1969574,ERR314560
SAMEA2053953,ERR314561
SAMEA2054104,ERR314562
SAMEA2053954,ERR314564
SAMEA2053117,ERR314565
SAMEA2053955,ERR314567
SAMEA1920548,ERR304788
SAMEA1920547,ERR304789
SAMEA1920551,ERR304790
SAMEA1920550,ERR304792
SAMEA1920552,ERR304793
SAMEA1920553,ERR304794
SAMEA1920555,ERR304796
SAMEA1920556,ERR304797
SAMEA1920562,ERR304798
SAMEA1920560,ERR304799
SAMEA1920559,ERR304800
SAMEA1920557,ERR304801
SAMN07525389,SRR5973259
SAMN07525390,SRR5973262
SAMN02141990,SRR849551
SAMN02141990,SRR900126
SAMN07525391,SRR5973261
SAMN07525392,SRR5973264
SAMN07525393,SRR5973263
SAMN07525458,SRR5973275
SAMN07525459,SRR5973276
SAMN07525460,SRR5973281
SAMN07525461,SRR5973282
SAMN07525462,SRR5973279
SAMN07525463,SRR5973280
SAMN07525464,SRR5973283
SAMN07525465,SRR5973284
SAMN07525466,SRR5973246
SAMN07525467,SRR5973245
SAMN07525468,SRR5973248
SAMN07525469,SRR5973247
SAMN07525470,SRR5973250
SAMN07525471,SRR5973249
SAMN07525472,SRR5973252
SAMN07525473,SRR5973251
SAMN07525474,SRR5973254
SAMN07525475,SRR5973253
SAMN07525476,SRR5973372
SAMN07525477,SRR5973373
SAMN07525478,SRR5973374
SAMN07525479,SRR5973375
SAMN07525480,SRR5973376
SAMN07525481,SRR5973377
SAMN07525482,SRR5973378
SAMN07525483,SRR5973379
SAMN07525484,SRR5973380
SAMN07525485,SRR5973381
SAMN07525486,SRR5973401
SAMN07525487,SRR5973400
SAMN07525488,SRR5973399
SAMN07525489,SRR5973398
SAMN07525490,SRR5973397
SAMN07525491,SRR5973396
SAMN07525492,SRR5973395
SAMN07525493,SRR5973394
SAMN07525494,SRR5973393
SAMN07525495,SRR5973392
SAMN07525496,SRR5973239
SAMN07525497,SRR5973240
SAMN07525498,SRR5973237
SAMN07525499,SRR5973238
SAMN07525500,SRR5973243
SAMN07525501,SRR5973244
SAMN07525502,SRR5973241
SAMN07525503,SRR5973242
SAMN07525504,SRR5973235
SAMN07525394,SRR5973256
SAMN07525505,SRR5973236
SAMN07525506,SRR5973268
SAMN07525507,SRR5973267
SAMN07525508,SRR5973270
SAMN07525509,SRR5973269
SAMN07525510,SRR5973272
SAMN07525511,SRR5973271
SAMN07525512,SRR5973274
SAMN07525513,SRR5973273
SAMN07525514,SRR5973266
SAMN07525515,SRR5973265
SAMN07525516,SRR5973291
SAMN07525517,SRR5973292
SAMN07525518,SRR5973293
SAMN07525519,SRR5973294
SAMN07525520,SRR5973287
SAMN07525521,SRR5973288
SAMN07525522,SRR5973289
SAMN07525523,SRR5973290
SAMN07525525,SRR5973286
SAMN07525526,SRR5973320
SAMN07525527,SRR5973319
SAMN07525528,SRR5973318
SAMN07525530,SRR5973324
SAMN07525531,SRR5973323
SAMN07525532,SRR5973322
SAMN07525533,SRR5973321
SAMN07525535,SRR5973315
SAMN07525536,SRR5973341
SAMN07525537,SRR5973342
SAMN07525538,SRR5973339
SAMN07525539,SRR5973340
SAMN07525540,SRR5973337
SAMN07525541,SRR5973338
SAMN07525542,SRR5973335
SAMN07525543,SRR5973336
SAMN07525544,SRR5973343
SAMN07525545,SRR5973344
SAMN07525546,SRR5973359
SAMN07525547,SRR5973358
SAMN07525548,SRR5973361
SAMN07525549,SRR5973360
SAMN07525550,SRR5973356
SAMN07525395,SRR5973255
SAMN07525551,SRR5973355
SAMN07525552,SRR5973357
SAMN07525396,SRR5973408
SAMN02141991,SRR849552
SAMN02141991,SRR900127
SAMN07525397,SRR5973409
SAMN07525398,SRR5973410
SAMN07525399,SRR5973411
SAMN07525400,SRR5973404
SAMN07525401,SRR5973405
SAMN02141992,SRR849553
SAMN02141992,SRR900132
SAMN07525402,SRR5973406
SAMN07525403,SRR5973407
SAMN07525404,SRR5973402
SAMN07525405,SRR5973403
SAMN07525377,SRR5973309
SAMN02141993,SRR2080787
SAMN02141993,SRR2080788
SAMN02141993,SRR2080790
SAMN02141993,SRR2080789
SAMN02141993,SRR849554
SAMN02141993,SRR900133
SAMN07525406,SRR5973385
SAMN07525407,SRR5973384
SAMN07525408,SRR5973383
SAMN02141994,SRR849555
SAMN02141994,SRR900134
SAMN07525409,SRR5973382
SAMN07525378,SRR5973308
SAMN07525410,SRR5973389
SAMN07525411,SRR5973388
SAMN07525412,SRR5973387
SAMN07525413,SRR5973386
SAMN07525414,SRR5973391
SAMN02141995,SRR900135
SAMN02141995,SRR849556
SAMN07525415,SRR5973390
SAMN07525416,SRR5973368
SAMN07525418,SRR5973366
SAMN07525419,SRR5973367
SAMN07525420,SRR5973364
SAMN07525421,SRR5973365
SAMN07525422,SRR5973362
SAMN07525423,SRR5973363
SAMN07525424,SRR5973370
SAMN07525379,SRR5973307
SAMN07525425,SRR5973371
SAMN07525426,SRR5973350
SAMN07525427,SRR5973349
SAMN07525428,SRR5973352
SAMN07525429,SRR5973351
SAMN07525430,SRR5973346
SAMN07525380,SRR5973314
SAMN07525432,SRR5973348
SAMN07525433,SRR5973347
SAMN07525434,SRR5973354
SAMN07525435,SRR5973353
SAMN07525436,SRR5973327
SAMN07525437,SRR5973328
SAMN07525438,SRR5973329
SAMN07525439,SRR5973330
SAMN02138620,SRR850898
SAMN02138620,SRR850899
SAMN02138631,SRR850867
SAMN02138631,SRR850868
SAMN02138632,SRR850869
SAMN02138632,SRR850870
SAMN02138633,SRR850871
SAMN02138633,SRR850872
SAMN02138634,SRR850873
SAMN02138634,SRR960874
SAMN02138634,SRR850874
SAMN02138634,SRR867700
SAMN02138635,SRR850876
SAMN02138635,SRR1185272
SAMN02138635,SRR1185274
SAMN02138635,SRR1185316
SAMN02138635,SRR1185109
SAMN02138635,SRR1185276
SAMN02138635,SRR850875
SAMN02138636,SRR850879
SAMN02138636,SRR850880
SAMN02138636,SRR850881
SAMN02138636,SRR850877
SAMN02138636,SRR850878
SAMN02138637,SRR850882
SAMN02138637,SRR850883
SAMN02138639,SRR850884
SAMN02138639,SRR850885
SAMN02138639,SRR1185257
SAMN02138639,SRR1185270
SAMN02138639,SRR1185225
SAMN02138639,SRR1185230
SAMN02138639,SRR1185296
SAMN02138642,SRR850886
SAMN02138642,SRR850887
SAMN02138643,SRR1187713
SAMN02138643,SRR850888
SAMN02138643,SRR1181006
SAMN02138643,SRR1187743
SAMN02138643,SRR1180805
SAMN02138643,SRR850889
SAMN02138643,SRR850890
SAMN02138644,SRR1185305
SAMN02138644,SRR850891
SAMN02138644,SRR850894
SAMN02138644,SRR960952
SAMN02138644,SRR1185261
SAMN02138644,SRR1185290
SAMN02138644,SRR1185292
SAMN02138644,SRR850892
SAMN02138644,SRR850895
SAMN02138644,SRR1185237
SAMN02138644,SRR850893
SAMN02138645,SRR850896
SAMN02138645,SRR850897
SAMN02138651,SRR850901
SAMN02138651,SRR850903
SAMN02138651,SRR850900
SAMN02138651,SRR850902
SAMN02138652,SRR850904
SAMN02138652,SRR850905
SAMN02138652,SRR850907
SAMN02138652,SRR850906
SAMN02138653,SRR850911
SAMN02138653,SRR850909
SAMN02138653,SRR850908
SAMN02138653,SRR850910
SAMN02138654,SRR850915
SAMN02138654,SRR850912
SAMN02138654,SRR850913
SAMN02138654,SRR850914
SAMN02138655,SRR850919
SAMN02138655,SRR850917
SAMN02138655,SRR850916
SAMN02138655,SRR850918
SAMN02138621,SRR850921
SAMN02138621,SRR850920
SAMN02138662,SRR850923
SAMN02138662,SRR850925
SAMN02138662,SRR850924
SAMN02138662,SRR850926
SAMN02138664,SRR850683
SAMN02138664,SRR850686
SAMN02138664,SRR850684
SAMN02138664,SRR850685
SAMN02138665,SRR850933
SAMN02138665,SRR850934
SAMN02138665,SRR850931
SAMN02138665,SRR850932
SAMN02138666,SRR850936
SAMN02138666,SRR850937
SAMN02138666,SRR5659146
SAMN02138666,SRR5658729
SAMN02138666,SRR850935
SAMN02138666,SRR850938
SAMN02138667,SRR850939
SAMN02138667,SRR850941
SAMN02138667,SRR850940
SAMN02138667,SRR850942
SAMN02138624,SRR850952
SAMN02138624,SRR850951
SAMN02138671,SRR850946
SAMN02138671,SRR850943
SAMN02138671,SRR850944
SAMN02138671,SRR850945
SAMN02138672,SRR850947
SAMN02138672,SRR850949
SAMN02138672,SRR850948
SAMN02138672,SRR850950
SAMN02356579,SRR1010936
SAMN02356579,SRR1010937
SAMN02356579,SRR999498
SAMN02356579,SRR999499
SAMN02356580,SRR1010897
SAMN02356580,SRR999500
SAMN02356580,SRR1010898
SAMN02356580,SRR999501
SAMN02356594,SRR999502
SAMN02356594,SRR999503
SAMN02356594,SRR1010899
SAMN02356594,SRR1010900
SAMN02356584,SRR1010903
SAMN02356584,SRR999504
SAMN02356584,SRR1010901
SAMN02356584,SRR1010902
SAMN02356585,SRR1010904
SAMN02356585,SRR999505
SAMN02356585,SRR1010905
SAMN02356585,SRR999506
SAMN02356586,SRR999507
SAMN02356586,SRR1010906
SAMN02356586,SRR1010907
SAMN02356586,SRR999508
SAMN02356587,SRR1010908
SAMN02356587,SRR999510
SAMN02356587,SRR1010909
SAMN02356587,SRR999509
SAMN02138625,SRR850953
SAMN02138625,SRR850954
SAMN02356591,SRR999511
SAMN02356591,SRR1010910
SAMN02356591,SRR1010911
SAMN02356591,SRR999512
SAMN02356592,SRR1010912
SAMN02356592,SRR1010913
SAMN02356592,SRR999513
SAMN02356592,SRR999514
SAMN02356593,SRR999515
SAMN02356593,SRR1010915
SAMN02356593,SRR999516
SAMN02356593,SRR1010914
SAMN02581275,SRR1187696
SAMN02581275,SRR1187797
SAMN02581275,SRR1180896
SAMN02581275,SRR1181065
SAMN02581276,SRR1187745
SAMN02581276,SRR1187846
SAMN02581276,SRR1180886
SAMN02581276,SRR1181066
SAMN02581281,SRR1187746
SAMN02581281,SRR1180775
SAMN02581281,SRR1180948
SAMN02581281,SRR1187821
SAMN02581282,SRR1187798
SAMN02581282,SRR1181055
SAMN02581282,SRR1187759
SAMN02581282,SRR1180797
SAMN02581289,SRR1187811
SAMN02581289,SRR1180855
SAMN02581289,SRR1180931
SAMN02581289,SRR1187849
SAMN02581290,SRR1187719
SAMN02581290,SRR1180804
SAMN02581290,SRR1180932
SAMN02581290,SRR1187812
SAMN02138627,SRR850955
SAMN02138627,SRR850956
SAMN02138628,SRR850957
SAMN02138628,SRR850958
SAMN02138590,SRR850960
SAMN02138590,SRR850959
SAMN02138589,SRR850967
SAMN02138589,SRR850968
SAMN02138591,SRR850961
SAMN02138591,SRR850962
SAMN02138593,SRR850963
SAMN02138593,SRR850965
SAMN02138593,SRR850964
SAMN02138593,SRR960954
SAMN02138593,SRR850966
SAMN02138593,SRR960953
SAMN02138595,SRR850969
SAMN02138595,SRR850972
SAMN02138595,SRR850970
SAMN02138595,SRR850971
SAMN02138599,SRR850973
SAMN02138599,SRR850974
SAMN02138599,SRR850976
SAMN02138599,SRR850975
SAMN02138603,SRR850978
SAMN02138603,SRR1103629
SAMN02138603,SRR960876
SAMN02138603,SRR850977
SAMN02138603,SRR850979
SAMN02138603,SRR960875
SAMN02581304,SRR1180863
SAMN02581304,SRR1180993
SAMN02581304,SRR1187775
SAMN02581304,SRR1187806
SAMN02581305,SRR1180798
SAMN02581305,SRR1180966
SAMN02581305,SRR1187792
SAMN02581305,SRR1187822
SAMN02581307,SRR1187707
SAMN02581307,SRR1180783
SAMN02581307,SRR1181016
SAMN02581307,SRR1187787
SAMN02581308,SRR1187747
SAMN02581308,SRR1187742
SAMN02581308,SRR1181004
SAMN02581308,SRR1180769
SAMN02581309,SRR1187835
SAMN02581309,SRR1183491
SAMN02581309,SRR1187766
SAMN02581309,SRR1180695
SAMN02581310,SRR1172932
SAMN02581310,SRR1159182
SAMN02581310,SRR1172847
SAMN02581311,SRR1183628
SAMN02581311,SRR1187703
SAMN02581311,SRR1180688
SAMN02581311,SRR1187847
SAMN02581313,SRR1187828
SAMN02581313,SRR1180844
SAMN02581313,SRR1180955
SAMN02581313,SRR1187697
SAMN02581314,SRR1180962
SAMN02581314,SRR1187839
SAMN02581314,SRR1180897
SAMN02581314,SRR1187691
SAMN02581315,SRR1180706
SAMN02581315,SRR1187711
SAMN02581315,SRR1183660
SAMN02581315,SRR1187776
SAMN02581316,SRR1204076
SAMN02581316,SRR1197662
SAMN02581316,SRR1203939
SAMN02581316,SRR1196725
SAMN02581318,SRR1159223
SAMN02581318,SRR1172962
SAMN02581318,SRR1172972
SAMN02581319,SRR1204003
SAMN02581319,SRR1196703
SAMN02581319,SRR1197655
SAMN02581319,SRR1203982
SAMN02581320,SRR1196710
SAMN02581320,SRR1197658
SAMN02581320,SRR1203970
SAMN02581320,SRR1204031
SAMN02581321,SRR1203997
SAMN02581321,SRR1196771
SAMN02581321,SRR1197695
SAMN02581321,SRR1203931
SAMN02581322,SRR1196672
SAMN02581322,SRR1204069
SAMN02581322,SRR1197665
SAMN02581322,SRR1203946
SAMN02581323,SRR1159123
SAMN02581323,SRR1173016
SAMN02581323,SRR1172970
SAMN02581324,SRR1197696
SAMN02581324,SRR1196704
SAMN02581324,SRR1203942
SAMN02581324,SRR1204038
SAMN02581325,SRR1197667
SAMN02581325,SRR1204042
SAMN02581325,SRR1204045
SAMN02581325,SRR1196755
SAMN02581326,SRR1196679
SAMN02581326,SRR1203985
SAMN02581326,SRR1204077
SAMN02581326,SRR1197659
SAMN02581327,SRR1197656
SAMN02581327,SRR1196756
SAMN02581327,SRR1203955
SAMN02581327,SRR1204046
SAMN02581328,SRR1206026
SAMN02581328,SRR1196734
SAMN02581328,SRR1197669
SAMN02581328,SRR1203956
SAMN02581329,SRR1197697
SAMN02581329,SRR1203966
SAMN02581329,SRR1196718
SAMN02581329,SRR1204016
SAMN02581330,SRR1203971
SAMN02581330,SRR1196854
SAMN02581330,SRR1196976
SAMN02581330,SRR1204021
SAMN02581331,SRR1204032
SAMN02581331,SRR1203986
SAMN02581331,SRR1196711
SAMN02581331,SRR1197683
SAMN02581332,SRR1203947
SAMN02581332,SRR1196742
SAMN02581332,SRR1197645
SAMN02581332,SRR1204074
SAMN02581333,SRR1204039
SAMN02581333,SRR1196911
SAMN02581333,SRR1203980
SAMN02581333,SRR1196837
SAMN02581334,SRR1204057
SAMN02581334,SRR1203964
SAMN02581334,SRR1197663
SAMN02581334,SRR1196748
SAMN02581334,SRR30873060
SAMN02581335,SRR1203967
SAMN02581335,SRR1203998
SAMN02581335,SRR1196695
SAMN02581335,SRR1197660
SAMN02581336,SRR1203987
SAMN02581336,SRR1196673
SAMN02581336,SRR1197672
SAMN02581336,SRR1204054
SAMN02581337,SRR1196688
SAMN02581337,SRR1197666
SAMN02581337,SRR1203940
SAMN02581337,SRR1204005
SAMN02581338,SRR1204033
SAMN02581338,SRR1203959
SAMN02581338,SRR1196877
SAMN02581338,SRR1196961
SAMN02581339,SRR1196845
SAMN02581339,SRR1203957
SAMN02581339,SRR1196925
SAMN02581339,SRR1204019
SAMN02581340,SRR1203972
SAMN02581340,SRR1196812
SAMN02581340,SRR1196934
SAMN02581340,SRR1204009
SAMN02581341,SRR1196796
SAMN02581341,SRR1196942
SAMN02581341,SRR1204006
SAMN02581341,SRR1203981
SAMN02581342,SRR1203929
SAMN02581342,SRR1196977
SAMN02581342,SRR1196797
SAMN02581342,SRR1204078
SAMN02581343,SRR1196813
SAMN02581343,SRR1203977
SAMN02581343,SRR1206020
SAMN02581343,SRR1196962
SAMN02581344,SRR1159345
SAMN02581344,SRR1172960
SAMN02581344,SRR1172811
SAMN02581345,SRR1196821
SAMN02581345,SRR1196926
SAMN02581345,SRR1203943
SAMN02581345,SRR1203999
SAMN02581346,SRR1203950
SAMN02581346,SRR1196870
SAMN02581346,SRR1196935
SAMN02581346,SRR1204007
SAMN02581347,SRR1203992
SAMN02581347,SRR1204022
SAMN02581347,SRR1196772
SAMN02581347,SRR1197673
SAMN02581348,SRR1196719
SAMN02581348,SRR1204043
SAMN02581348,SRR1203993
SAMN02581348,SRR1197646
SAMN02581348,SRR30873059
SAMN02581349,SRR1172946
SAMN02581349,SRR1159063
SAMN02581349,SRR1173048
SAMN02581350,SRR1196936
SAMN02581350,SRR1203988
SAMN02581350,SRR1196805
SAMN02581350,SRR1204040
SAMN02581351,SRR1204044
SAMN02581351,SRR1203968
SAMN02581351,SRR1196838
SAMN02581351,SRR1196927
SAMN02581352,SRR1203951
SAMN02581352,SRR1204026
SAMN02581352,SRR1196822
SAMN02581352,SRR1196907
SAMN02581353,SRR1196829
SAMN02581353,SRR1203973
SAMN02581353,SRR1196968
SAMN02581353,SRR1206021
SAMN02581354,SRR1196943
SAMN02581354,SRR1204035
SAMN02581354,SRR1203994
SAMN02581354,SRR1196886
SAMN02581355,SRR1204055
SAMN02581355,SRR1196806
SAMN02581355,SRR1196944
SAMN02581355,SRR1203958
SAMN02581356,SRR1206028
SAMN02581356,SRR1203983
SAMN02581356,SRR1196887
SAMN02581356,SRR1196983
SAMN02581357,SRR1196992
SAMN02581357,SRR1203948
SAMN02581357,SRR1204036
SAMN02581357,SRR1196846
SAMN02581358,SRR1203952
SAMN02581358,SRR1204047
SAMN02581358,SRR1196855
SAMN02581358,SRR1196969
SAMN02581359,SRR1196743
SAMN02581359,SRR1197657
SAMN02581359,SRR1203990
SAMN02581359,SRR1204068
SAMN02581360,SRR1204027
SAMN02581360,SRR1196696
SAMN02581360,SRR1204058
SAMN02581360,SRR1197644
SAMN02581361,SRR1203991
SAMN02581361,SRR1206029
SAMN02581361,SRR1196749
SAMN02581361,SRR1197649
SAMN02581362,SRR1173007
SAMN02581362,SRR1159216
SAMN02581362,SRR1172784
SAMN02581363,SRR1196863
SAMN02581363,SRR1204004
SAMN02581363,SRR1196950
SAMN02581363,SRR1204049
SAMN02581364,SRR1196894
SAMN02581364,SRR1196951
SAMN02581364,SRR1204012
SAMN02581364,SRR1204023
SAMN02581365,SRR1204070
SAMN02581365,SRR1203996
SAMN02581365,SRR1196705
SAMN02581365,SRR1197691
SAMN02581366,SRR1196871
SAMN02581366,SRR1196919
SAMN02581366,SRR1203937
SAMN02581366,SRR1204050
SAMN02581367,SRR1203974
SAMN02581367,SRR1204079
SAMN02581367,SRR1196878
SAMN02581367,SRR1196922
SAMN02581368,SRR1204075
SAMN02581368,SRR1196839
SAMN02581368,SRR1196984
SAMN02581368,SRR1203978
SAMN02581369,SRR1204060
SAMN02581369,SRR1204071
SAMN02581369,SRR30873058
SAMN02581369,SRR1196814
SAMN02581369,SRR1196952
SAMN02581372,SRR1196680
SAMN02581372,SRR1203932
SAMN02581372,SRR1197687
SAMN02581372,SRR1206030
SAMN02581373,SRR1204072
SAMN02581373,SRR1203938
SAMN02581373,SRR1196664
SAMN02581373,SRR1197699
SAMN02581374,SRR1203953
SAMN02581374,SRR1196830
SAMN02581374,SRR1196912
SAMN02581374,SRR1204029
SAMN02581375,SRR1203944
SAMN02581375,SRR1204048
SAMN02581375,SRR1196959
SAMN02581375,SRR1196888
SAMN02581376,SRR1197700
SAMN02581376,SRR1196726
SAMN02581376,SRR1204020
SAMN02581376,SRR1204028
SAMN02581377,SRR1196665
SAMN02581377,SRR1197650
SAMN02581377,SRR1204062
SAMN02581377,SRR1204063
SAMN02581378,SRR1196779
SAMN02581378,SRR1204013
SAMN02581378,SRR1204030
SAMN02581378,SRR1197684
SAMN02581382,SRR1204017
SAMN02581382,SRR1204064
SAMN02581382,SRR1196735
SAMN02581382,SRR1197701
SAMN10527408,SRR8286459
SAMN10527405,SRR8286515
SAMN10527446,SRR8286456
SAMN10527447,SRR8286504
SAMN10527448,SRR8286503
SAMN10527483,SRR8286509
SAMN10527450,SRR8286501
SAMN10527460,SRR8286530
SAMN10527403,SRR8286521
SAMN10527461,SRR8286531
SAMN10527451,SRR8286500
SAMN10527452,SRR8286499
SAMN10527454,SRR8286497
SAMN10527457,SRR8286527
SAMN10527467,SRR8286486
SAMN10527459,SRR8286529
SAMN10527417,SRR8286481
SAMN10527429,SRR8286444
SAMN10527425,SRR8286475
SAMN10527393,SRR8286541
SAMN10527416,SRR8286465
SAMN10527415,SRR8286466
SAMN10527407,SRR8286460
SAMN10527402,SRR8286524
SAMN10527412,SRR8286463
SAMN10527394,SRR8286542
SAMN10527404,SRR8286522
SAMN10527413,SRR8286462
SAMN10527443,SRR8286447
SAMN10527432,SRR8286437
SAMN10527430,SRR8286443
SAMN10527434,SRR8286439
SAMN10527387,SRR8286539
SAMN10527431,SRR8286438
SAMN10527418,SRR8286482
SAMN10527438,SRR8286454
SAMN10527433,SRR8286440
SAMN10527436,SRR8286445
SAMN10527439,SRR8286451
SAMN10527441,SRR8286449
SAMN10527440,SRR8286452
SAMN10527400,SRR8286518
SAMN10527462,SRR8286532
SAMN10527453,SRR8286498
SAMN10527465,SRR8286525
SAMN10527455,SRR8286496
SAMN10527464,SRR8286534
SAMN10527444,SRR8286448
SAMN10527463,SRR8286533
SAMN10527456,SRR8286495
SAMN10527406,SRR8286516
SAMN10527466,SRR8286526
SAMN10527472,SRR8286489
SAMN10527477,SRR8286507
SAMN10527478,SRR8286508
SAMN10527445,SRR8286455
SAMN10527481,SRR8286511
SAMN10527473,SRR8286492
SAMN10527401,SRR8286523
SAMN10527474,SRR8286491
SAMN10527470,SRR8286487
SAMN10527469,SRR8286488
SAMN10527479,SRR8286505
SAMN10527468,SRR8286485
SAMN10527476,SRR8286493
SAMN10527485,SRR8286513
SAMN10527486,SRR8286514
SAMN10527395,SRR8286535
SAMN10527471,SRR8286490
SAMN10527475,SRR8286494
SAMN10527484,SRR8286510
SAMN10527480,SRR8286506
SAMN10527435,SRR8286446
SAMN10527399,SRR8286517
SAMN10527426,SRR8286476
SAMN10527427,SRR8286442
SAMN10527392,SRR8286544
SAMN10527423,SRR8286479
SAMN10527424,SRR8286480
SAMN10527420,SRR8286484
SAMN10527428,SRR8286441
SAMN10527421,SRR8286477
SAMN10527422,SRR8286478
SAMN10527409,SRR8286458
SAMN10527396,SRR8286536
SAMN10527437,SRR8286453
SAMN10527388,SRR8286540
SAMN10527389,SRR8286537
SAMN10527390,SRR8286538
SAMN10527391,SRR8286543
SAMN10527398,SRR8286520
SAMN10527414,SRR8286461
SAMN02141996,SRR863638
SAMN02141996,SRR849557
SAMN02141996,SRR900208
SAMN02141980,SRR900138
SAMN02141980,SRR849541
SAMN02141981,SRR2080783
SAMN02141981,SRR2080786
SAMN02141981,SRR849542
SAMN02141981,SRR900139
SAMN02141981,SRR2080785
SAMN02141981,SRR2080784
SAMN02141982,SRR849543
SAMN02141982,SRR900140
SAMEA3356947,ERR1023739
SAMEA3356971,ERR1023756
SAMEA3357025,ERR1023783
SAMEA3357063,ERR15284497
SAMEA3357063,ERR1008629
SAMEA3357070,ERR1008632
SAMEA3357109,ERR1008652
SAMEA3357109,ERR15284485
SAMEA3357111,ERR1008653
SAMEA3356988,ERR1008671
SAMEA3356993,ERR1008673
SAMEA3356995,ERR15284499
SAMEA3356995,ERR1008674
SAMEA3357082,ERR1023802
SAMEA3357217,ERR15284511
SAMEA3357217,ERR1035991
SAMEA3357242,ERR1008723
SAMEA3357244,ERR1008724
SAMEA3357259,ERR1008730
SAMEA3357278,ERR1008740
SAMEA3357292,ERR1008747
SAMEA3357292,ERR15284515
SAMEA3357302,ERR1008752
SAMN06112216,SRR5082444
SAMEA3357179,ERR1008767
SAMEA3357179,ERR15284522
SAMN06112231,SRR5082464
SAMEA3357258,ERR1015289
SAMEA3357266,ERR1015292
SAMN02141966,SRR849527
SAMN02141966,SRR900141
SAMN02141983,SRR849544
SAMN02141983,SRR900142
SAMEA4773863,ERR2743730
SAMEA4773864,ERR2743731
SAMEA4773865,ERR2743732
SAMEA4773866,ERR2743733
SAMEA4773867,ERR2743734
SAMEA4773868,ERR2743735
SAMEA4773869,ERR2743670
SAMEA4773870,ERR2743737
SAMEA4773871,ERR2743736
SAMEA4773872,ERR2743738
SAMEA4773873,ERR2743739
SAMEA4773874,ERR2743740
SAMEA4773875,ERR2743741
SAMEA4773876,ERR2743742
SAMEA4773877,ERR2743743
SAMEA4773879,ERR2743745
SAMEA4773880,ERR2743746
SAMEA4773881,ERR2743747
SAMEA4773882,ERR2743748
SAMEA4773883,ERR2743749
SAMEA4773884,ERR2743750
SAMEA4773885,ERR2743751
SAMEA4773886,ERR2743752
SAMEA4773888,ERR2743754
SAMEA4773889,ERR2743755
SAMEA4773890,ERR2743756
SAMEA4773887,ERR2743753
SAMEA4773878,ERR2743744
SAMEA4773891,ERR2743757
SAMEA4773892,ERR2743758
SAMN06437883,SRR5385822
SAMN06437884,SRR5385821
SAMN06437885,SRR5385820
SAMN06437886,SRR5385819
SAMN06437887,SRR5385818
SAMN06437889,SRR5385816
SAMN06437890,SRR5385815
SAMN06437891,SRR5385814
SAMN06437892,SRR5385813
SAMN06437893,SRR5385812
SAMN06437894,SRR5385811
SAMN06437895,SRR5385810
SAMN06437896,SRR5385809
SAMN06437897,SRR5385808
SAMN06437898,SRR5385807
SAMN06437899,SRR5385806
SAMN06437900,SRR5385805
SAMN06437901,SRR5385804
SAMN06437902,SRR5385803
SAMN06437903,SRR5385802
SAMN06437904,SRR5385801
SAMN06437905,SRR5385800
SAMN06437906,SRR5385799
SAMN06437907,SRR5385798
SAMN06437908,SRR5385797
