study_accession,Isolate accession number,secondary_sample_accession,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp,Nucleotide archive,Set,Isoniazid,Rifampicin,Ethambutol,Pyrazinamide,Streptomycin,Ciprofloxacin,Moxifloxacin,Ofloxacin,Amikacin,Capreomycin,Kanamycin,sample_accession
PRJNA282721,SAMN03647097,SRS991920,SRX1094618,SRR2099924,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/004/SRR2099924/SRR2099924_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/004/SRR2099924/SRR2099924_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,No result,No result,No result,No result,No result,No result,NA
PRJNA282721,SAMN03647098,SRS991918,SRX1094619,SRR2099925,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/005/SRR2099925/SRR2099925_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/005/SRR2099925/SRR2099925_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,No result,No result,No result,No result,No result,No result,NA
PRJNA282721,SAMN03647099,SRS991917,SRX1094620,SRR2099926,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/006/SRR2099926/SRR2099926_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/006/SRR2099926/SRR2099926_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,No result,No result,No result,No result,No result,No result,NA
PRJNA282721,SAMN03647100,SRS991919,SRX1094621,SRR2099927,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/007/SRR2099927/SRR2099927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/007/SRR2099927/SRR2099927_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,No result,No result,No result,No result,No result,No result,NA
PRJNA282721,SAMN03647101,SRS991916,SRX1094622,SRR2099928,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/008/SRR2099928/SRR2099928_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/008/SRR2099928/SRR2099928_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,No result,No result,No result,No result,No result,No result,NA
PRJNA282721,SAMN03647102,SRS991915,SRX1094623,SRR2099929,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/009/SRR2099929/SRR2099929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/009/SRR2099929/SRR2099929_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,No result,No result,No result,No result,No result,No result,NA
PRJNA282721,SAMN03647103,SRS991914,SRX1094624,SRR2099930,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/000/SRR2099930/SRR2099930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/000/SRR2099930/SRR2099930_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,No result,No result,No result,No result,No result,No result,NA
PRJNA282721,SAMN03647104,SRS991913,SRX1094625,SRR2099931,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/001/SRR2099931/SRR2099931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/001/SRR2099931/SRR2099931_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,No result,No result,No result,No result,No result,No result,NA
PRJNA282721,SAMN03647105,SRS991912,SRX1094626,SRR2099932,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/002/SRR2099932/SRR2099932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/002/SRR2099932/SRR2099932_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,No result,No result,No result,No result,No result,No result,NA
PRJNA282721,SAMN03647106,SRS991911,SRX1094627,SRR2099933,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/003/SRR2099933/SRR2099933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/003/SRR2099933/SRR2099933_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,No result,No result,No result,No result,No result,No result,NA
PRJNA282721,SAMN03647107,SRS991910,SRX1094628,SRR2099934,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/004/SRR2099934/SRR2099934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/004/SRR2099934/SRR2099934_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,S,No result,No result,No result,No result,No result,NA
PRJNA282721,SAMN03647108,SRS991908,SRX1094629,SRR2099935,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/005/SRR2099935/SRR2099935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/005/SRR2099935/SRR2099935_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,No result,No result,No result,No result,No result,No result,NA
PRJNA282721,SAMN03647109,SRS991909,SRX1094630,SRR2099936,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/006/SRR2099936/SRR2099936_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/006/SRR2099936/SRR2099936_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,No result,No result,No result,No result,No result,No result,NA
PRJNA282721,SAMN03647110,SRS991907,SRX1094631,SRR2099937,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/007/SRR2099937/SRR2099937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/007/SRR2099937/SRR2099937_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,No result,No result,No result,No result,No result,No result,NA
PRJNA282721,SAMN03647111,SRS991906,SRX1094632,SRR2099938,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/008/SRR2099938/SRR2099938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/008/SRR2099938/SRR2099938_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,No result,No result,No result,No result,No result,No result,NA
PRJNA282721,SAMN03647112,SRS991905,SRX1094633,SRR2099939,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/009/SRR2099939/SRR2099939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/009/SRR2099939/SRR2099939_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,No result,No result,No result,No result,No result,No result,NA
PRJNA282721,SAMN03647113,SRS991904,SRX1094634,SRR2099940,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/000/SRR2099940/SRR2099940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/000/SRR2099940/SRR2099940_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,No result,No result,No result,No result,No result,No result,NA
PRJNA282721,SAMN03647114,SRS991903,SRX1094635,SRR2099941,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/001/SRR2099941/SRR2099941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/001/SRR2099941/SRR2099941_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,No result,No result,No result,No result,No result,No result,NA
PRJNA282721,SAMN03647115,SRS991902,SRX1094636,SRR2099942,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/002/SRR2099942/SRR2099942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/002/SRR2099942/SRR2099942_2.fastq.gz,NA,NA,ncbi,training,S,S,S,S,No result,No result,No result,No result,No result,No result,No result,NA
