Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,pubmed_id-0,pubmed_id-1,ReleaseDate,Sample Name,SRA Study,collected_by,Genotype,host_description,Isolate,STRAIN,NOTE,type-material,MEM
SRR5386896,WGS,264,797720293,PRJNA376414,SAMN06437108,Pathogen.cl,316954278,HOUSTON METHODIST HOSPITAL,2011-10-25,public,"sra,fastq",s3,s3.us-east-1,SRX2681919,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,respiratory,29.710689 N 95.400586 W,KPN50,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN50,SRP102664,Houston Methodist Hospital,ST307; Capsule locus KL102,HMH:KPN:50,KPN50,NA,NA,NA,S
SRR5386897,WGS,269,970994346,PRJNA376414,SAMN06437107,Pathogen.cl,388128769,HOUSTON METHODIST HOSPITAL,2011-10-19,public,"fastq,sra",s3,s3.us-east-1,SRX2681920,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,PUS,29.710689 N 95.400586 W,KPN44,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN44,SRP102664,Houston Methodist Hospital,ST16; Capsule locus KL51,HMH:KPN:44,KPN44,NA,NA,NA,S
SRR5386898,WGS,257,295478766,PRJNA376414,SAMN06437106,Pathogen.cl,116962326,HOUSTON METHODIST HOSPITAL,2011-10-21,public,"sra,fastq",s3,s3.us-east-1,SRX2681921,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,blood,29.710689 N 95.400586 W,KPN43,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN43,SRP102664,Houston Methodist Hospital,ST258; Capsule locus KL102,HMH:KPN:43,KPN43,NA,NA,NA,R
SRR5386899,WGS,246,359992151,PRJNA376414,SAMN06437105,Pathogen.cl,143211778,HOUSTON METHODIST HOSPITAL,2011-10-19,public,"fastq,sra",s3,s3.us-east-1,SRX2681922,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,urine,29.710689 N 95.400586 W,KPN42,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN42,SRP102664,Houston Methodist Hospital,STNF*; Capsule locus KL102,HMH:KPN:42,KPN42,NA,NA,NA,R
SRR5386901,WGS,245,365989283,PRJNA376414,SAMN06437103,Pathogen.cl,145555988,HOUSTON METHODIST HOSPITAL,2011-10-01,public,"fastq,sra",s3,s3.us-east-1,SRX2681924,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,urine,29.710689 N 95.400586 W,KPN30,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN30,SRP102664,Houston Methodist Hospital,ST16; Capsule locus KL51,HMH:KPN:30,KPN30,NA,NA,NA,S
SRR5386902,WGS,257,826759330,PRJNA376414,SAMN06437102,Pathogen.cl,330759640,HOUSTON METHODIST HOSPITAL,2011-10-09,public,"fastq,sra",s3,s3.us-east-1,SRX2681925,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,blood,29.710689 N 95.400586 W,KPN28,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN28,SRP102664,Houston Methodist Hospital,ST258; Capsule locus KL106,HMH:KPN:28,KPN28,NA,NA,NA,R
SRR5386906,WGS,258,1120872706,PRJNA376414,SAMN06437101,Pathogen.cl,457012699,HOUSTON METHODIST HOSPITAL,2011-10-07,public,"sra,fastq",s3,s3.us-east-1,SRX2681929,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,blood,29.710689 N 95.400586 W,KPN27,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN27,SRP102664,Houston Methodist Hospital,ST307; Capsule locus KL102,HMH:KPN:27,KPN27,NA,NA,NA,S
SRR5386909,WGS,260,594336960,PRJNA376414,SAMN06437098,Pathogen.cl,241406895,HOUSTON METHODIST HOSPITAL,2011-10-08,public,"fastq,sra",s3,s3.us-east-1,SRX2681932,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,urine,29.710689 N 95.400586 W,KPN22,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN22,SRP102664,Houston Methodist Hospital,STNF*; Capsule locus KL24,HMH:KPN:22,KPN22,NA,NA,NA,S
SRR5386910,WGS,289,1076506128,PRJNA376414,SAMN06437097,Pathogen.cl,497892959,HOUSTON METHODIST HOSPITAL,2011-10-16,public,"fastq,sra",s3,s3.us-east-1,SRX2681933,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,urine,29.710689 N 95.400586 W,KPN18,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN18,SRP102664,Houston Methodist Hospital,ST307; Capsule locus KL102,HMH:KPN:18,KPN18,NA,NA,NA,S
SRR5386911,WGS,257,569490303,PRJNA376414,SAMN06437096,Pathogen.cl,229421245,HOUSTON METHODIST HOSPITAL,2011-10-15,public,"sra,fastq",s3,s3.us-east-1,SRX2681934,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,urine,29.710689 N 95.400586 W,KPN17,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN17,SRP102664,Houston Methodist Hospital,ST258; Capsule locus KL106,HMH:KPN:17,KPN17,NA,NA,NA,R
SRR5386913,WGS,262,360410727,PRJNA376414,SAMN06437094,Pathogen.cl,145491595,HOUSTON METHODIST HOSPITAL,2011-12-09,public,"sra,fastq",s3,s3.us-east-1,SRX2681936,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,wound,29.710689 N 95.400586 W,KPN12,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN12,SRP102664,Houston Methodist Hospital,ST258; Capsule locus KL106,HMH:KPN:12,KPN12,NA,NA,NA,S
SRR5386915,WGS,393,158158391,PRJNA376414,SAMN06437092,Pathogen.cl,99024184,HOUSTON METHODIST HOSPITAL,2011-09-18,public,"fastq,sra",s3,s3.us-east-1,SRX2681938,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,urine,29.710689 N 95.400586 W,KPN9,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN9,SRP102664,Houston Methodist Hospital,ST258; Capsule locus KL106,HMH:KPN:9,KPN9,NA,NA,NA,S
SRR5386917,WGS,242,866866407,PRJNA376414,SAMN06437090,Pathogen.cl,347880414,HOUSTON METHODIST HOSPITAL,2011-10-13,public,"fastq,sra",s3,s3.us-east-1,SRX2681940,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,blood,29.710689 N 95.400586 W,KPN6,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN6,SRP102664,Houston Methodist Hospital,STNF; Capsule locus KL52,HMH:KPN:6,KPN6,NA,NA,NA,S
SRR5386918,WGS,246,3634575006,PRJNA376414,SAMN06437089,Pathogen.cl,2050737354,HOUSTON METHODIST HOSPITAL,2011-09-14,public,"fastq,sra",s3,s3.us-east-1,SRX2681941,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,urine,29.710689 N 95.400586 W,KPN5,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN5,SRP102664,Houston Methodist Hospital,ST307; Capsule locus KL102,HMH:KPN:5,KPN5,NA,NA,NA,S
SRR5386920,WGS,386,159271790,PRJNA376414,SAMN06437087,Pathogen.cl,99264594,HOUSTON METHODIST HOSPITAL,2011-09-14,public,"sra,fastq",s3,s3.us-east-1,SRX2681943,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,urine,29.710689 N 95.400586 W,KPN2,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN2,SRP102664,Houston Methodist Hospital,ST13; Capsule locus KL3,HMH:KPN:2,KPN2,NA,NA,NA,S
SRR5386921,WGS,398,197112163,PRJNA376414,SAMN06437086,Pathogen.cl,123080154,HOUSTON METHODIST HOSPITAL,2011-10-14,public,"fastq,sra",s3,s3.us-east-1,SRX2681944,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,NextSeq 500,respiratory,29.710689 N 95.400586 W,KPN1,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN1,SRP102664,Houston Methodist Hospital,ST258; Capsule locus KL107,HMH:KPN:1,KPN1,NA,NA,NA,S
SRR5387148,RNA-Seq,75,4474396500,PRJNA376414,SAMN06437160,Pathogen.cl,1392583785,HOUSTON METHODIST HOSPITAL,2011-12-16,public,"sra,fastq",s3,s3.us-east-1,SRX2682171,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,Illumina MiSeq,blood,29.710689 N 95.400586 W,KPN137_RNAseq,PAIRED,RANDOM,TRANSCRIPTOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN137,SRP102664,Houston Methodist Hospital,ST307; Capsule locus KL102,HMH:KPN:137,KPN137,NA,NA,NA,S
SRR5387149,RNA-Seq,75,3491960850,PRJNA376414,SAMN06437136,Pathogen.cl,1088880004,HOUSTON METHODIST HOSPITAL,2011-11-29,public,"fastq,sra",s3,s3.us-east-1,SRX2682172,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,Illumina MiSeq,respiratory,29.710689 N 95.400586 W,KPN113_RNAseq,PAIRED,RANDOM,TRANSCRIPTOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN113,SRP102664,Houston Methodist Hospital,ST258; Capsule locus KL106,HMH:KPN:113,KPN113,NA,NA,NA,S
SRR5387151,RNA-Seq,75,3170765100,PRJNA376414,SAMN06437089,Pathogen.cl,1019635560,HOUSTON METHODIST HOSPITAL,2011-09-14,public,"fastq,sra",s3,s3.us-east-1,SRX2682174,USA,North America,USA: Houston,Klebsiella Infections,Homo sapiens,Illumina MiSeq,urine,29.710689 N 95.400586 W,KPN5_RNAseq,PAIRED,RANDOM,TRANSCRIPTOMIC,Klebsiella pneumoniae,ILLUMINA,28512093,28776045,2017-05-16T00:00:00Z,KPN5,SRP102664,Houston Methodist Hospital,ST307; Capsule locus KL102,HMH:KPN:5,KPN5,NA,NA,NA,S
